State,Year,Value
Andaman & Nicobar Islands,2018-2019,0.28
Andhra Pradesh,2018-2019,250.00
Arunachal Pradesh,2018-2019,0.82
Assam,2018-2019,5.55
Bihar,2018-2019,17.10
Chhattisgarh,2018-2019,67.53
Dadra & Nagar Haveli  ,2018-2019,1.52
Gujarat,2018-2019,254.35
Haryana,2018-2019,1.90
Himachal Pradesh,2018-2019,0.05
Jharkhand,2018-2019,231.04
Karnataka,2018-2019,1482.95
Kerala,2018-2019,0.27
Madhya Pradesh,2018-2019,213.00
Maharashtra,2018-2019,1261.30
Manipur,2018-2019,0.53
Meghalaya,2018-2019,1.18
Mizoram,2018-2019,0.33
Nagaland,2018-2019,3.21
Odisha,2018-2019,144.06
Punjab,2018-2019,2.30
Rajasthan,2018-2019,9.66
Tamil Nadu,2018-2019,41.38
Telangana,2018-2019,296.00
Tripura,2018-2019,5.63
Uttarakhand,2018-2019,3.00
Uttar Pradesh,2018-2019,251.00
West Bengal,2018-2019,3.61
India,2018-2019,4549.54
Andhra Pradesh,2019-2020,243.00
Arunachal Pradesh,2019-2020,0.82
Assam,2019-2020,5.83
Bihar,2019-2020,16.75
Chhattisgarh,2019-2020,51.16
Dadra & Nagar Haveli  ,2019-2020,1.40
Daman & Diu  ,2019-2020,0.04
Gujarat,2019-2020,212.70
Haryana,2019-2020,1.11
Himachal Pradesh,2019-2020,0.08
Jharkhand,2019-2020,230.56
Karnataka,2019-2020,1545.00
Kerala,2019-2020,0.31
Madhya Pradesh,2019-2020,249.00
Maharashtra,2019-2020,1195.50
Manipur,2019-2020,0.51
Meghalaya,2019-2020,1.18
Mizoram,2019-2020,0.34
Nagaland,2019-2020,3.21
Odisha,2019-2020,128.63
Punjab,2019-2020,2.00
Rajasthan,2019-2020,8.86
Tamil Nadu,2019-2020,41.81
Telangana,2019-2020,295.00
Tripura,2019-2020,4.83
Uttarakhand,2019-2020,3.00
Uttar Pradesh,2019-2020,285.00
West Bengal,2019-2020,4.85
India,2019-2020,4532.47
Andhra Pradesh,2020-2021,231.00
Assam,2020-2021,6.04
Bihar,2020-2021,14.60
Chhattisgarh,2020-2021,45.36
Gujarat,2020-2021,241.02
Haryana,2020-2021,0.82
Himachal Pradesh,2020-2021,0.01
Jharkhand,2020-2021,235.39
Karnataka,2020-2021,1631.00
Kerala,2020-2021,0.20
Madhya Pradesh,2020-2021,219.00
Maharashtra,2020-2021,1274.02
Manipur,2020-2021,0.56
Meghalaya,2020-2021,1.19
Mizoram,2020-2021,0.40
Nagaland,2020-2021,3.21
Odisha,2020-2021,129.69
Punjab,2020-2021,1.80
Rajasthan,2020-2021,7.77
Tamil Nadu,2020-2021,47.33
Telangana,2020-2021,325.70
Tripura,2020-2021,4.84
Uttarakhand,2020-2021,3.00
Uttar Pradesh,2020-2021,296.00
West Bengal,2020-2021,4.49
India,2020-2021,4724.45
Andhra Pradesh,2021-2022,251.00
Arunachal Pradesh,2021-2022,0.85
Assam,2021-2022,5.81
Bihar,2021-2022,12.99
Chhattisgarh,2021-2022,43.44
Gujarat,2021-2022,250.84
Haryana,2021-2022,1.15
Himachal Pradesh,2021-2022,0.02
Jharkhand,2021-2022,253.64
Karnataka,2021-2022,1719.00
Kerala,2021-2022,0.18
Madhya Pradesh,2021-2022,225.00
Maharashtra,2021-2022,1335.10
Manipur,2021-2022,0.55
Meghalaya,2021-2022,1.19
Mizoram,2021-2022,0.37
Nagaland,2021-2022,0.43
Odisha,2021-2022,126.06
Punjab,2021-2022,1.40
Rajasthan,2021-2022,7.36
Tamil Nadu,2021-2022,48.31
Telangana,2021-2022,314.00
Tripura,2021-2022,5.27
Uttarakhand,2021-2022,3.00
Uttar Pradesh,2021-2022,290.00
West Bengal,2021-2022,3.29
India,2021-2022,4900.26
