State,Year,Value
Andhra Pradesh,2013-2014,472.06
Assam,2013-2014,2.05
Bihar,2013-2014,61.33
Chhattisgarh,2013-2014,276.50
Dadra & Nagar Haveli  ,2013-2014,0.17
Delhi ,2013-2014,0.04
Gujarat,2013-2014,247.00
Haryana,2013-2014,83.00
Himachal Pradesh,2013-2014,0.48
Jharkhand,2013-2014,155.84
Karnataka,2013-2014,946.00
Kerala ,2013-2014,0.00
Madhya Pradesh,2013-2014,3160.10
Maharashtra,2013-2014,1820.00
Manipur,2013-2014,2.00
Meghalaya,2013-2014,1.80
Nagaland,2013-2014,0.74
Odisha,2013-2014,47.15
Punjab,2013-2014,1.90
Rajasthan ,2013-2014,1923.50
Tamil Nadu,2013-2014,8.91
Telangana,2013-2014,113.94
Tripura,2013-2014,0.13
Uttar Pradesh,2013-2014,577.00
Uttarakhand,2013-2014,0.84
West Bengal,2013-2014,24.90
India ,2013-2014,9927.38
Andhra Pradesh,2014-2015,342.04
Assam,2014-2015,2.09
Bihar,2014-2015,60.00
Chhattisgarh,2014-2015,280.60
Dadra & Nagar Haveli  ,2014-2015,0.17
Gujarat,2014-2015,161.00
Haryana,2014-2015,65.00
Himachal Pradesh,2014-2015,0.41
Jharkhand,2014-2015,160.70
Karnataka,2014-2015,939.00
Kerala ,2014-2015,0.60
Madhya Pradesh,2014-2015,2853.00
Maharashtra,2014-2015,1427.00
Manipur,2014-2015,0.68
Meghalaya,2014-2015,1.81
Nagaland,2014-2015,0.76
Odisha,2014-2015,47.25
Punjab,2014-2015,1.80
Rajasthan ,2014-2015,1256.34
Tamil Nadu,2014-2015,6.82
Telangana,2014-2015,59.04
Tripura,2014-2015,0.16
Uttar Pradesh,2014-2015,558.00
Uttarakhand,2014-2015,0.67
West Bengal,2014-2015,26.18
India ,2014-2015,8251.12
Andhra Pradesh,2015-2016,471.00
Assam,2015-2016,2.19
Bihar,2015-2016,59.37
Chhattisgarh,2015-2016,303.20
Dadra & Nagar Haveli  ,2015-2016,0.02
Delhi ,2015-2016,0.04
Gujarat,2015-2016,115.00
Haryana,2015-2016,42.00
Himachal Pradesh,2015-2016,0.36
Jharkhand,2015-2016,164.07
Karnataka,2015-2016,1420.00
Kerala ,2015-2016,2.08
Madhya Pradesh,2015-2016,3017.00
Maharashtra,2015-2016,1442.00
Manipur,2015-2016,0.77
Meghalaya,2015-2016,1.82
Nagaland,2015-2016,0.77
Odisha,2015-2016,39.18
Punjab,2015-2016,1.70
Rajasthan ,2015-2016,941.95
Tamil Nadu,2015-2016,4.87
Telangana,2015-2016,70.00
Tripura,2015-2016,0.25
Uttar Pradesh,2015-2016,268.00
Uttarakhand,2015-2016,0.52
West Bengal,2015-2016,30.79
India ,2015-2016,8398.95
Andhra Pradesh,2016-2017,397.00
Assam,2016-2017,2.43
Bihar,2016-2017,59.36
Chhattisgarh,2016-2017,307.40
Dadra & Nagar Haveli  ,2016-2017,0.10
Delhi ,2016-2017,0.03
Gujarat,2016-2017,164.00
Haryana,2016-2017,37.00
Himachal Pradesh,2016-2017,0.43
Jharkhand,2016-2017,210.74
Karnataka,2016-2017,1003.00
Kerala ,2016-2017,1.56
Madhya Pradesh,2016-2017,3222.00
Maharashtra,2016-2017,1929.30
Manipur,2016-2017,0.78
Meghalaya,2016-2017,1.85
Nagaland,2016-2017,0.75
Odisha,2016-2017,40.32
Punjab,2016-2017,1.60
Rajasthan ,2016-2017,1547.91
Tamil Nadu,2016-2017,5.23
Telangana,2016-2017,102.00
Tripura,2016-2017,0.25
