State,Year,Value
Assam,1976-1977,6.7
Bihar,1976-1977,533.7
Madhya Pradesh,1976-1977,679.3
Maharashtra,1976-1977,118.7
West Bengal,1976-1977,185.7
India,1976-1977,1524.1
Assam,1977-1978,8.0
Bihar,1977-1978,526.7
Madhya Pradesh,1977-1978,773.3
Maharashtra,1977-1978,119.8
West Bengal,1977-1978,150.0
India,1977-1978,1577.8
Assam,1978-1979,9.2
Bihar,1978-1979,530.5
Madhya Pradesh,1978-1979,782.9
Maharashtra,1978-1979,120.6
West Bengal,1978-1979,156.8
India,1978-1979,1600.0
Assam,1979-1980,7.8
Bihar,1979-1980,397.2
Madhya Pradesh,1979-1980,470.2
Maharashtra,1979-1980,78.8
West Bengal,1979-1980,130.3
India,1979-1980,1084.3
Assam,1980-1981,9.2
Bihar,1980-1981,447.8
Madhya Pradesh,1980-1981,682.1
Maharashtra,1980-1981,78.8
West Bengal,1980-1981,134.7
India,1980-1981,1352.6
Bihar,1981-1982,410.7
Madhya Pradesh,1981-1982,703.7
Maharashtra,1981-1982,107.2
West Bengal,1981-1982,85.5
India,1981-1982,1307.1
Bihar,1982-1983,335.1
Madhya Pradesh,1982-1983,646.8
Maharashtra,1982-1983,81.7
West Bengal,1982-1983,53.9
India,1982-1983,1117.5
Bihar,1983-1984,335.3
Madhya Pradesh,1983-1984,717.4
Maharashtra,1983-1984,110.9
West Bengal,1983-1984,70.0
India,1983-1984,1233.6
Bihar,1984-1985,342.2
Madhya Pradesh,1984-1985,671.6
Maharashtra,1984-1985,75.3
West Bengal,1984-1985,89.3
India,1984-1985,1178.4
Bihar,1985-1986,361.6
Madhya Pradesh,1985-1986,745.4
Maharashtra,1985-1986,87.5
West Bengal,1985-1986,99.0
India,1985-1986,1293.5
Bihar,1986-1987,374.3
Madhya Pradesh,1986-1987,555.6
Maharashtra,1986-1987,66.7
West Bengal,1986-1987,59.7
India,1986-1987,1056.3
Bihar,1987-1988,346.7
Madhya Pradesh,1987-1988,542.2
Maharashtra,1987-1988,68.1
West Bengal,1987-1988,67.1
India,1987-1988,1024.1
Bihar,1988-1989,312.0
Madhya Pradesh,1988-1989,497.3
Maharashtra,1988-1989,48.7
West Bengal,1988-1989,45.6
India,1988-1989,903.6
Bihar,1989-1990,317.5
Madhya Pradesh,1989-1990,524.0
Maharashtra,1989-1990,45.9
West Bengal,1989-1990,46.7
India,1989-1990,934.1
Bihar,1990-1991,304.1
Madhya Pradesh,1990-1991,674.9
Maharashtra,1990-1991,35.5
West Bengal,1990-1991,44.8
India,1990-1991,1059.3
Bihar,1991-1992,271.0
Madhya Pradesh,1991-1992,625.9
Maharashtra,1991-1992,19.4
West Bengal,1991-1992,39.8
India,1991-1992,956.1
Bihar,1992-1993,208.3
Madhya Pradesh,1992-1993,601.8
Maharashtra,1992-1993,31.9
West Bengal,1992-1993,37.3
India,1992-1993,879.3
Bihar,1993-1994,207.7
Madhya Pradesh,1993-1994,682.5
Maharashtra,1993-1994,39.1
West Bengal,1993-1994,38.4
India,1993-1994,967.7
Bihar,1994-1995,199.1
Madhya Pradesh,1994-1995,707.9
Maharashtra,1994-1995,53.2
West Bengal,1994-1995,25.9
India,1994-1995,986.1
Bihar,1995-1996,175.4
Madhya Pradesh,1995-1996,681.3
Maharashtra,1995-1996,41.2
West Bengal,1995-1996,27.9
India,1995-1996,925.8
Bihar,1996-1997,177.7
Madhya Pradesh,1996-1997,638.4
Maharashtra,1996-1997,41.4
West Bengal,1996-1997,26.7
India,1996-1997,884.2
Bihar,1997-1998,179.5
Madhya Pradesh,1997-1998,599.7
Maharashtra,1997-1998,41.3
West Bengal,1997-1998,25.3
India,1997-1998,845.8
Bihar,1998-1999,160.8
Madhya Pradesh,1998-1999,441.2
Maharashtra,1998-1999,39.6
West Bengal,1998-1999,23.3
India,1998-1999,664.9
Bihar,1999-2000,169.5
Madhya Pradesh,1999-2000,509.0
Maharashtra,1999-2000,43.0
West Bengal,1999-2000,36.8
India,1999-2000,758.3
Bihar,2000-2001,157.1
Chhattisgarh,2000-2001,250.8
Madhya Pradesh,2000-2001,50.6
Maharashtra,2000-2001,24.0
West Bengal,2000-2001,40.4
India,2000-2001,522.9
Bihar,2001-2002,157.0
Chhattisgarh,2001-2002,416.8
Madhya Pradesh,2001-2002,53.4
Maharashtra,2001-2002,30.0
West Bengal,2001-2002,34.7
India,2001-2002,691.9
Bihar,2002-2003,141.6
Chhattisgarh,2002-2003,330.1
Madhya Pradesh,2002-2003,49.1
Maharashtra,2002-2003,21.0
West Bengal,2002-2003,32.8
India,2002-2003,574.6
Bihar,2003-2004,133.1
Chhattisgarh,2003-2004,460.9
Madhya Pradesh,2003-2004,50.8
Maharashtra,2003-2004,29.0
West Bengal,2003-2004,35.7
India,2003-2004,709.5
Bihar,2004-2005,118.2
Chhattisgarh,2004-2005,428.4
Madhya Pradesh,2004-2005,39.5
Maharashtra,2004-2005,20.1
West Bengal,2004-2005,35.0
India,2004-2005,641.2
Bihar,2005-2006,92.1
Chhattisgarh,2005-2006,426.9
Madhya Pradesh,2005-2006,42.1
Maharashtra,2005-2006,31.7
West Bengal,2005-2006,33.3
India,2005-2006,626.1
Bihar,2006-2007,101.5
Chhattisgarh,2006-2007,414.5
Madhya Pradesh,2006-2007,43.6
Maharashtra,2006-2007,32.6
West Bengal,2006-2007,32.2
India,2006-2007,624.4
Bihar,2007-2008,103.5
Chhattisgarh,2007-2008,406.0
Madhya Pradesh,2007-2008,43.5
Maharashtra,2007-2008,15.0
West Bengal,2007-2008,33.5
India,2007-2008,601.5
Bihar,2008-2009,97.2
Chhattisgarh,2008-2009,350.3
Madhya Pradesh,2008-2009,49.4
Maharashtra,2008-2009,9.0
West Bengal,2008-2009,27.7
India,2008-2009,533.6
Bihar,2009-2010,87.1
Chhattisgarh,2009-2010,280.9
Madhya Pradesh,2009-2010,43.4
Maharashtra,2009-2010,9.9
West Bengal,2009-2010,28.1
India,2009-2010,449.4
Bihar,2010-2011,73.8
Chhattisgarh,2010-2011,349.3
Madhya Pradesh,2010-2011,48.2
Maharashtra,2010-2011,24.0
West Bengal,2010-2011,25.8
India,2010-2011,521.1
Bihar,2011-2012,72.8
Chhattisgarh,2011-2012,307.6
Madhya Pradesh,2011-2012,50.4
Maharashtra,2011-2012,18.8
West Bengal,2011-2012,25.8
India,2011-2012,475.4
Bihar,2012-2013,71.0
Chhattisgarh,2012-2013,417.0
Madhya Pradesh,2012-2013,43.0
Maharashtra,2012-2013,21.0
West Bengal,2012-2013,28.0
India,2012-2013,581.0
Bihar,2013-2014,63.0
Chhattisgarh,2013-2014,309.0
West Bengal,2013-2014,31.0
India,2013-2014,403.0
Bihar,2014-2015,81.0
Chhattisgarh,2014-2015,363.0
Maharashtra,2014-2015,19.0
West Bengal,2014-2015,33.0
India,2014-2015,495.0
Bihar,2015-2016,54.61
Chhattisgarh,2015-2016,275.8
West Bengal,2015-2016,65.42
India,2015-2016,395.83
Bihar,2016-2017,52.1
Chhattisgarh,2016-2017,308.9
West Bengal,2016-2017,55.0
India,2016-2017,416.0
Bihar,2017-2018,47.59
Chhattisgarh,2017-2018,222.72
West Bengal,2017-2018,87.0
India,2017-2018,357.31
Bihar,2018-2019,50.45
Chhattisgarh,2018-2019,183.16
West Bengal,2018-2019,92.5
India,2018-2019,326.11
Bihar,2019-2020,43.78
Chhattisgarh,2019-2020,172.81
West Bengal,2019-2020,97.11
India,2019-2020,313.71
Bihar,2020-2021,39.52
Chhattisgarh,2020-2021,152.32
West Bengal,2020-2021,92.99
India,2020-2021,284.83
