State,Year,Value
Andhra Pradesh,1976-1977,135.00
Bihar,1976-1977,106.00
Himachal Pradesh,1976-1977,9.00
Jammu & Kashmir,1976-1977,3.00
Karnataka,1976-1977,284.00
Madhya Pradesh,1976-1977,198.00
Maharashtra,1976-1977,287.00
Odisha,1976-1977,13.00
Tamil Nadu,1976-1977,197.00
India,1976-1977,1231.00
Andhra Pradesh,1977-1978,138.00
Bihar,1977-1978,120.00
Himachal Pradesh,1977-1978,5.00
Jammu & Kashmir,1977-1978,3.00
Karnataka,1977-1978,433.00
Madhya Pradesh,1977-1978,189.00
Maharashtra,1977-1978,260.00
Odisha,1977-1978,9.00
Tamil Nadu,1977-1978,193.00
India,1977-1978,1350.00
Andhra Pradesh,1978-1979,138.00
Bihar,1978-1979,106.00
Himachal Pradesh,1978-1979,8.00
Jammu & Kashmir,1978-1979,3.00
Karnataka,1978-1979,553.00
Madhya Pradesh,1978-1979,190.00
Maharashtra,1978-1979,249.00
Odisha,1978-1979,11.00
Tamil Nadu,1978-1979,207.00
India,1978-1979,1465.00
Andhra Pradesh,1979-1980,127.00
Bihar,1979-1980,89.00
Himachal Pradesh,1979-1980,4.00
Jammu & Kashmir,1979-1980,3.00
Karnataka,1979-1980,559.00
Madhya Pradesh,1979-1980,177.00
Maharashtra,1979-1980,280.00
Odisha,1979-1980,11.00
Tamil Nadu,1979-1980,195.00
India,1979-1980,1445.00
Andhra Pradesh,1980-1981,126.00
Bihar,1980-1981,93.00
Himachal Pradesh,1980-1981,2.00
Jammu & Kashmir,1980-1981,3.00
Karnataka,1980-1981,528.00
Madhya Pradesh,1980-1981,170.00
Maharashtra,1980-1981,304.00
Odisha,1980-1981,13.00
Tamil Nadu,1980-1981,161.00
India,1980-1981,1401.00
Andhra Pradesh,1981-1982,107.00
Bihar,1981-1982,89.00
Himachal Pradesh,1981-1982,6.00
Jammu & Kashmir,1981-1982,2.00
Karnataka,1981-1982,528.00
Madhya Pradesh,1981-1982,172.00
Maharashtra,1981-1982,274.00
Odisha,1981-1982,2.00
Tamil Nadu,1981-1982,149.00
India,1981-1982,1328.00
Andhra Pradesh,1982-1983,113.00
Bihar,1982-1983,80.00
Himachal Pradesh,1982-1983,1.00
Jammu & Kashmir,1982-1983,2.00
Karnataka,1982-1983,557.00
Madhya Pradesh,1982-1983,179.00
Maharashtra,1982-1983,223.00
Odisha,1982-1983,12.00
Tamil Nadu,1982-1983,176.00
India,1982-1983,1343.00
Andhra Pradesh,1983-1984,102.00
Bihar,1983-1984,90.00
Himachal Pradesh,1983-1984,3.00
Jammu & Kashmir,1983-1984,2.00
Karnataka,1983-1984,496.00
Madhya Pradesh,1983-1984,177.00
Maharashtra,1983-1984,285.00
Tamil Nadu,1983-1984,153.00
India,1983-1984,1309.00
Andhra Pradesh,1984-1985,87.00
Bihar,1984-1985,82.00
Himachal Pradesh,1984-1985,8.00
Jammu & Kashmir,1984-1985,3.00
Karnataka,1984-1985,356.00
Madhya Pradesh,1984-1985,173.00
Maharashtra,1984-1985,258.00
Odisha,1984-1985,7.00
Tamil Nadu,1984-1985,156.00
India,1984-1985,1128.00
Andhra Pradesh,1985-1986,78.00
Bihar,1985-1986,83.00
Himachal Pradesh,1985-1986,7.00
Jammu & Kashmir,1985-1986,3.00
Karnataka,1985-1986,351.00
Madhya Pradesh,1985-1986,170.00
Maharashtra,1985-1986,260.00
Odisha,1985-1986,14.00
Tamil Nadu,1985-1986,166.00
India,1985-1986,1132.00
Andhra Pradesh,1986-1987,62.00
Bihar,1986-1987,81.00
Himachal Pradesh,1986-1987,5.00
Jammu & Kashmir,1986-1987,3.00
Karnataka,1986-1987,319.00
Madhya Pradesh,1986-1987,165.00
Maharashtra,1986-1987,312.00
Odisha,1986-1987,11.00
Tamil Nadu,1986-1987,126.00
India,1986-1987,1084.00
Andhra Pradesh,1987-1988,63.00
Bihar,1987-1988,75.00
Himachal Pradesh,1987-1988,7.00
Jammu & Kashmir,1987-1988,3.00
Karnataka,1987-1988,334.00
Madhya Pradesh,1987-1988,161.00
Maharashtra,1987-1988,279.00
Odisha,1987-1988,18.00
Tamil Nadu,1987-1988,163.00
India,1987-1988,1103.00
Andhra Pradesh,1988-1989,59.00
Bihar,1988-1989,76.00
Himachal Pradesh,1988-1989,6.00
Karnataka,1988-1989,282.00
Madhya Pradesh,1988-1989,151.00
Maharashtra,1988-1989,202.00
Tamil Nadu,1988-1989,121.00
India,1988-1989,898.00
Andhra Pradesh,1989-1990,41.00
Bihar,1989-1990,74.00
Himachal Pradesh,1989-1990,4.00
Jammu & Kashmir,1989-1990,3.00
Karnataka,1989-1990,278.00
Madhya Pradesh,1989-1990,153.00
Maharashtra,1989-1990,247.00
Odisha,1989-1990,9.00
Tamil Nadu,1989-1990,134.00
India,1989-1990,943.00
Andhra Pradesh,1990-1991,40.00
Bihar,1990-1991,72.00
Himachal Pradesh,1990-1991,5.00
Jammu & Kashmir,1990-1991,3.00
Karnataka,1990-1991,242.00
Madhya Pradesh,1990-1991,152.00
Maharashtra,1990-1991,174.00
Odisha,1990-1991,9.00
Tamil Nadu,1990-1991,123.00
India,1990-1991,819.00
Andhra Pradesh,1991-1992,33.00
Bihar,1991-1992,63.00
Himachal Pradesh,1991-1992,3.00
Jammu & Kashmir,1991-1992,3.00
Karnataka,1991-1992,224.00
Madhya Pradesh,1991-1992,150.00
Maharashtra,1991-1992,177.00
Odisha,1991-1992,11.00
Tamil Nadu,1991-1992,120.00
India,1991-1992,785.00
Andhra Pradesh,1992-1993,28.00
Bihar,1992-1993,62.00
Himachal Pradesh,1992-1993,3.00
Jammu & Kashmir,1992-1993,2.00
Karnataka,1992-1993,231.00
Madhya Pradesh,1992-1993,140.00
Maharashtra,1992-1993,226.00
Odisha,1992-1993,111.00
Tamil Nadu,1992-1993,121.00
India,1992-1993,923.00
Andhra Pradesh,1993-1994,29.00
Bihar,1993-1994,11.00
Himachal Pradesh,1993-1994,3.00
Jammu & Kashmir,1993-1994,2.00
Karnataka,1993-1994,218.00
Madhya Pradesh,1993-1994,142.00
Maharashtra,1993-1994,170.00
Odisha,1993-1994,7.00
India,1993-1994,582.00
Andhra Pradesh,1994-1995,22.00
Bihar,1994-1995,58.00
Himachal Pradesh,1994-1995,3.00
Jammu & Kashmir,1994-1995,3.00
