State,Year,Value
Andhra Pradesh,1976-1977,184.00
Karnataka,1976-1977,100.00
Madhya Pradesh,1976-1977,7.00
Maharashtra,1976-1977,13.00
Odisha,1976-1977,191.00
West Bengal,1976-1977,4.00
India,1976-1977,500.00
Andhra Pradesh,1977-1978,208.00
Karnataka,1977-1978,118.00
Madhya Pradesh,1977-1978,8.00
Maharashtra,1977-1978,13.00
Odisha,1977-1978,301.00
West Bengal,1977-1978,5.00
India,1977-1978,652.00
Andhra Pradesh,1978-1979,220.00
Karnataka,1978-1979,135.00
Madhya Pradesh,1978-1979,10.00
Maharashtra,1978-1979,16.00
Odisha,1978-1979,329.00
West Bengal,1978-1979,4.00
India,1978-1979,713.00
Andhra Pradesh,1979-1980,219.00
Bihar,1979-1980,132.00
Kerala,1979-1980,17.00
Madhya Pradesh,1979-1980,10.00
Maharashtra,1979-1980,10.00
Odisha,1979-1980,352.00
West Bengal,1979-1980,4.00
India,1979-1980,744.00
Andhra Pradesh,1980-1981,194.00
Karnataka,1980-1981,157.00
Kerala,1980-1981,16.00
Madhya Pradesh,1980-1981,10.00
Maharashtra,1980-1981,10.00
Odisha,1980-1981,330.00
West Bengal,1980-1981,3.00
India,1980-1981,720.00
Andhra Pradesh,1981-1982,187.00
Karnataka,1981-1982,153.00
Kerala,1981-1982,15.00
Madhya Pradesh,1981-1982,9.00
Maharashtra,1981-1982,18.00
Odisha,1981-1982,330.00
West Bengal,1981-1982,4.00
India,1981-1982,716.00
Andhra Pradesh,1982-1983,195.00
Karnataka,1982-1983,126.00
Kerala,1982-1983,17.00
Madhya Pradesh,1982-1983,10.00
Maharashtra,1982-1983,15.00
Odisha,1982-1983,262.00
West Bengal,1982-1983,6.00
India,1982-1983,630.00
Andhra Pradesh,1983-1984,180.00
Karnataka,1983-1984,131.00
Kerala,1983-1984,18.00
Madhya Pradesh,1983-1984,11.00
Maharashtra,1983-1984,17.00
Odisha,1983-1984,262.00
West Bengal,1983-1984,4.00
India,1983-1984,623.00
Andhra Pradesh,1984-1985,150.00
Karnataka,1984-1985,210.00
Kerala,1984-1985,17.00
Madhya Pradesh,1984-1985,10.00
Maharashtra,1984-1985,13.00
Odisha,1984-1985,338.00
West Bengal,1984-1985,6.00
India,1984-1985,744.00
Andhra Pradesh,1985-1986,138.00
Karnataka,1985-1986,153.00
Kerala,1985-1986,22.00
Madhya Pradesh,1985-1986,9.00
Maharashtra,1985-1986,12.00
Odisha,1985-1986,327.00
West Bengal,1985-1986,7.00
India,1985-1986,668.00
Andhra Pradesh,1986-1987,124.00
Karnataka,1986-1987,145.00
Kerala,1986-1987,16.00
