State,Year,Value
Andhra Pradesh,1976-1977,319.00
Bihar,1976-1977,106.00
Himachal Pradesh,1976-1977,9.00
Jammu & Kashmir,1976-1977,3.00
Karnataka,1976-1977,384.00
Madhya Pradesh,1976-1977,205.00
Maharashtra,1976-1977,300.00
Odisha,1976-1977,205.00
Tamil Nadu,1976-1977,197.00
West Bengal,1976-1977,4.00
India,1976-1977,1731.00
Andhra Pradesh,1977-1978,345.00
Bihar,1977-1978,120.00
Himachal Pradesh,1977-1978,5.00
Jammu & Kashmir,1977-1978,3.00
Karnataka,1977-1978,550.00
Madhya Pradesh,1977-1978,196.00
Maharashtra,1977-1978,274.00
Odisha,1977-1978,310.00
Tamil Nadu,1977-1978,193.00
West Bengal,1977-1978,5.00
India,1977-1978,2002.00
Andhra Pradesh,1978-1979,358.00
Bihar,1978-1979,106.00
Himachal Pradesh,1978-1979,8.00
Jammu & Kashmir,1978-1979,3.00
Karnataka,1978-1979,687.00
Madhya Pradesh,1978-1979,199.00
Maharashtra,1978-1979,265.00
Odisha,1978-1979,340.00
Tamil Nadu,1978-1979,207.00
West Bengal,1978-1979,4.00
India,1978-1979,2178.00
Andhra Pradesh,1979-1980,346.00
Bihar,1979-1980,221.00
Himachal Pradesh,1979-1980,4.00
Jammu & Kashmir,1979-1980,3.00
Karnataka,1979-1980,559.00
Kerala,1979-1980,17.00
Madhya Pradesh,1979-1980,187.00
Maharashtra,1979-1980,290.00
Odisha,1979-1980,363.00
Tamil Nadu,1979-1980,195.00
West Bengal,1979-1980,4.00
India,1979-1980,2189.00
Andhra Pradesh,1980-1981,320.00
Bihar,1980-1981,93.00
Himachal Pradesh,1980-1981,2.00
Jammu & Kashmir,1980-1981,3.00
Karnataka,1980-1981,686.00
Kerala,1980-1981,16.00
Madhya Pradesh,1980-1981,180.00
Maharashtra,1980-1981,315.00
Odisha,1980-1981,343.00
Tamil Nadu,1980-1981,161.00
West Bengal,1980-1981,3.00
India,1980-1981,2121.00
Andhra Pradesh,1981-1982,295.00
Bihar,1981-1982,89.00
Himachal Pradesh,1981-1982,6.00
Jammu & Kashmir,1981-1982,2.00
Karnataka,1981-1982,681.00
Kerala,1981-1982,15.00
Madhya Pradesh,1981-1982,181.00
Maharashtra,1981-1982,292.00
Odisha,1981-1982,332.00
Tamil Nadu,1981-1982,149.00
West Bengal,1981-1982,4.00
India,1981-1982,2044.00
Andhra Pradesh,1982-1983,307.00
Bihar,1982-1983,80.00
Himachal Pradesh,1982-1983,1.00
Jammu & Kashmir,1982-1983,2.00
Karnataka,1982-1983,683.00
Kerala,1982-1983,17.00
Madhya Pradesh,1982-1983,188.00
Maharashtra,1982-1983,238.00
Odisha,1982-1983,274.00
Tamil Nadu,1982-1983,176.00
West Bengal,1982-1983,6.00
India,1982-1983,1973.00
Andhra Pradesh,1983-1984,283.00
Bihar,1983-1984,90.00
Himachal Pradesh,1983-1984,3.00
Jammu & Kashmir,1983-1984,2.00
Karnataka,1983-1984,627.00
Kerala,1983-1984,18.00
Madhya Pradesh,1983-1984,188.00
Maharashtra,1983-1984,301.00
Odisha,1983-1984,262.00
Tamil Nadu,1983-1984,153.00
West Bengal,1983-1984,4.00
India,1983-1984,1931.00
Andhra Pradesh,1984-1985,237.00
Bihar,1984-1985,82.00
Himachal Pradesh,1984-1985,8.00
Jammu & Kashmir,1984-1985,3.00
Karnataka,1984-1985,566.00
Kerala,1984-1985,17.00
Madhya Pradesh,1984-1985,183.00
Maharashtra,1984-1985,270.00
Odisha,1984-1985,345.00
Tamil Nadu,1984-1985,156.00
West Bengal,1984-1985,6.00
India,1984-1985,1872.00
Andhra Pradesh,1985-1986,216.00
Bihar,1985-1986,83.00
Himachal Pradesh,1985-1986,7.00
Jammu & Kashmir,1985-1986,3.00
Karnataka,1985-1986,503.00
Kerala,1985-1986,22.00
Madhya Pradesh,1985-1986,179.00
Maharashtra,1985-1986,272.00
Odisha,1985-1986,341.00
Tamil Nadu,1985-1986,166.00
West Bengal,1985-1986,7.00
India,1985-1986,1800.00
Andhra Pradesh,1986-1987,186.00
Bihar,1986-1987,81.00
Himachal Pradesh,1986-1987,5.00
Jammu & Kashmir,1986-1987,3.00
Karnataka,1986-1987,463.00
Kerala,1986-1987,16.00
Madhya Pradesh,1986-1987,174.00
Maharashtra,1986-1987,325.00
Odisha,1986-1987,368.00
Tamil Nadu,1986-1987,126.00
West Bengal,1986-1987,7.00
India,1986-1987,1755.00
Andhra Pradesh,1987-1988,196.00
Bihar,1987-1988,75.00
Himachal Pradesh,1987-1988,7.00
Jammu & Kashmir,1987-1988,3.00
Karnataka,1987-1988,513.00
Kerala,1987-1988,16.00
Madhya Pradesh,1987-1988,169.00
Maharashtra,1987-1988,288.00
Odisha,1987-1988,431.00
Tamil Nadu,1987-1988,163.00
West Bengal,1987-1988,9.00
India,1987-1988,1870.00
Andhra Pradesh,1988-1989,155.00
Bihar,1988-1989,76.00
Himachal Pradesh,1988-1989,6.00
Karnataka,1988-1989,396.00
Kerala,1988-1989,15.00
Madhya Pradesh,1988-1989,160.00
Maharashtra,1988-1989,219.00
Odisha,1988-1989,394.00
Tamil Nadu,1988-1989,121.00
India,1988-1989,1542.00
Andhra Pradesh,1989-1990,136.00
Bihar,1989-1990,74.00
Himachal Pradesh,1989-1990,4.00
Jammu & Kashmir,1989-1990,3.00
Karnataka,1989-1990,413.00
Kerala,1989-1990,15.00
Madhya Pradesh,1989-1990,161.00
Maharashtra,1989-1990,263.00
Odisha,1989-1990,391.00
Tamil Nadu,1989-1990,134.00
West Bengal,1989-1990,9.00
India,1989-1990,1602.00
Andhra Pradesh,1990-1991,130.00
Bihar,1990-1991,72.00
Himachal Pradesh,1990-1991,5.00
Jammu & Kashmir,1990-1991,3.00
Karnataka,1990-1991,353.00
Kerala,1990-1991,15.00
Madhya Pradesh,1990-1991,160.00
Maharashtra,1990-1991,188.00
Odisha,1990-1991,406.00
Tamil Nadu,1990-1991,123.00
West Bengal,1990-1991,9.00
India,1990-1991,1463.00
Andhra Pradesh,1991-1992,131.00
Bihar,1991-1992,63.00
Himachal Pradesh,1991-1992,3.00
Jammu & Kashmir,1991-1992,3.00
Karnataka,1991-1992,365.00
Kerala,1991-1992,15.00
Madhya Pradesh,1991-1992,157.00
Maharashtra,1991-1992,188.00
Odisha,1991-1992,410.00
Tamil Nadu,1991-1992,120.00
West Bengal,1991-1992,9.00
India,1991-1992,1465.00
Andhra Pradesh,1992-1993,133.00
Bihar,1992-1993,62.00
Himachal Pradesh,1992-1993,3.00
Jammu & Kashmir,1992-1993,2.00
Karnataka,1992-1993,391.00
Kerala,1992-1993,14.00
Madhya Pradesh,1992-1993,147.00
Maharashtra,1992-1993,243.00
Odisha,1992-1993,111.00
Tamil Nadu,1992-1993,121.00
India,1992-1993,1235.00
Andhra Pradesh,1993-1994,139.00
Bihar,1993-1994,11.00
Himachal Pradesh,1993-1994,3.00
Jammu & Kashmir,1993-1994,2.00
Karnataka,1993-1994,390.00
Madhya Pradesh,1993-1994,149.00
Maharashtra,1993-1994,187.00
Odisha,1993-1994,8.00
Tamil Nadu,1993-1994,128.00
West Bengal,1993-1994,7.00
India,1993-1994,1038.00
Andhra Pradesh,1994-1995,133.00
Bihar,1994-1995,58.00
Himachal Pradesh,1994-1995,3.00
Jammu & Kashmir,1994-1995,3.00
Karnataka,1994-1995,403.00
Kerala,1994-1995,13.00
Madhya Pradesh,1994-1995,146.00
Maharashtra,1994-1995,176.00
Odisha,1994-1995,121.00
Tamil Nadu,1994-1995,128.00
West Bengal,1994-1995,8.00
India,1994-1995,1192.00
Andhra Pradesh,1995-1996,126.00
Bihar,1995-1996,62.00
Gujarat,1995-1996,54.00
Himachal Pradesh,1995-1996,3.00
Jammu & Kashmir,1995-1996,3.00
Karnataka,1995-1996,314.00
Kerala,1995-1996,14.00
Madhya Pradesh,1995-1996,139.00
Maharashtra,1995-1996,139.00
Odisha,1995-1996,108.00
Tamil Nadu,1995-1996,91.00
West Bengal,1995-1996,6.00
India,1995-1996,1059.00
Andhra Pradesh,1996-1997,121.00
Bihar,1996-1997,60.00
Himachal Pradesh,1996-1997,3.00
Jammu & Kashmir,1996-1997,3.00
Karnataka,1996-1997,321.00
Kerala,1996-1997,14.00
Madhya Pradesh,1996-1997,135.00
Maharashtra,1996-1997,124.00
Odisha,1996-1997,102.00
Tamil Nadu,1996-1997,78.00
West Bengal,1996-1997,5.00
India,1996-1997,965.00
Andhra Pradesh,1997-1998,110.00
Bihar,1997-1998,60.00
Himachal Pradesh,1997-1998,2.00
Jammu & Kashmir,1997-1998,3.00
Karnataka,1997-1998,342.00
Kerala,1997-1998,14.00
Madhya Pradesh,1997-1998,128.00
Maharashtra,1997-1998,112.00
Odisha,1997-1998,115.00
Tamil Nadu,1997-1998,84.00
West Bengal,1997-1998,6.00
India,1997-1998,977.00
Andhra Pradesh,1998-1999,111.00
Bihar,1998-1999,57.00
Himachal Pradesh,1998-1999,2.00
Jammu & Kashmir,1998-1999,2.00
Karnataka,1998-1999,324.00
Kerala,1998-1999,11.00
Madhya Pradesh,1998-1999,124.00
Maharashtra,1998-1999,104.00
Odisha,1998-1999,97.00
Tamil Nadu,1998-1999,84.00
West Bengal,1998-1999,5.00
India,1998-1999,922.00
Andhra Pradesh,1999-2000,101.00
Bihar,1999-2000,54.00
Himachal Pradesh,1999-2000,3.00
Jammu & Kashmir,1999-2000,2.00
Karnataka,1999-2000,355.00
Kerala,1999-2000,9.00
Madhya Pradesh,1999-2000,115.00
Maharashtra,1999-2000,104.00
Odisha,1999-2000,90.00
Tamil Nadu,1999-2000,132.00
West Bengal,1999-2000,8.00
India,1999-2000,972.00
Andhra Pradesh,2000-2001,79.00
Bihar,2000-2001,18.00
Chhattisgarh,2000-2001,65.00
Himachal Pradesh,2000-2001,3.00
Jammu & Kashmir,2000-2001,2.00
Jharkhand,2000-2001,38.00
Karnataka,2000-2001,295.00
Kerala,2000-2001,5.00
Madhya Pradesh,2000-2001,37.00
Maharashtra,2000-2001,91.00
Odisha,2000-2001,76.00
Tamil Nadu,2000-2001,102.00
West Bengal,2000-2001,4.00
India,2000-2001,814.00
Andhra Pradesh,2001-2002,80.00
Bihar,2001-2002,14.00
Chhattisgarh,2001-2002,61.00
Himachal Pradesh,2001-2002,2.00
Jammu & Kashmir,2001-2002,2.00
Jharkhand,2001-2002,11.00
Karnataka,2001-2002,343.00
Kerala,2001-2002,5.00
Madhya Pradesh,2001-2002,36.00
Maharashtra,2001-2002,53.00
Odisha,2001-2002,91.00
Tamil Nadu,2001-2002,132.00
West Bengal,2001-2002,4.00
India,2001-2002,835.00
Andhra Pradesh,2002-2003,82.00
Bihar,2002-2003,13.00
Chhattisgarh,2002-2003,58.00
Himachal Pradesh,2002-2003,3.00
Jammu & Kashmir,2002-2003,2.00
Jharkhand,2002-2003,14.00
Karnataka,2002-2003,335.00
Kerala,2002-2003,5.00
Madhya Pradesh,2002-2003,33.00
Maharashtra,2002-2003,54.00
Odisha,2002-2003,76.00
Tamil Nadu,2002-2003,86.00
West Bengal,2002-2003,6.00
India,2002-2003,766.00
Andhra Pradesh,2003-2004,79.00
Bihar,2003-2004,15.00
Chhattisgarh,2003-2004,56.00
Haryana,2003-2004,4.00
Himachal Pradesh,2003-2004,3.00
Jammu & Kashmir,2003-2004,1.00
Jharkhand,2003-2004,18.00
Karnataka,2003-2004,274.00
Kerala,2003-2004,4.00
Madhya Pradesh,2003-2004,31.00
Maharashtra,2003-2004,63.00
Odisha,2003-2004,88.00
Tamil Nadu,2003-2004,68.00
West Bengal,2003-2004,4.00
India,2003-2004,709.00
Andhra Pradesh,2004-2005,67.00
Bihar,2004-2005,15.00
Chhattisgarh,2004-2005,56.00
Himachal Pradesh,2004-2005,2.00
Jammu & Kashmir,2004-2005,2.00
Jharkhand,2004-2005,17.00
Karnataka,2004-2005,283.00
Kerala,2004-2005,2.00
Madhya Pradesh,2004-2005,32.00
Maharashtra,2004-2005,73.00
Odisha,2004-2005,84.00
Tamil Nadu,2004-2005,103.00
West Bengal,2004-2005,3.00
India,2004-2005,738.00
Andhra Pradesh,2005-2006,57.00
Bihar,2005-2006,11.00
Chhattisgarh,2005-2006,54.00
Himachal Pradesh,2005-2006,2.00
Jharkhand,2005-2006,18.00
Karnataka,2005-2006,270.00
Kerala,2005-2006,4.00
Madhya Pradesh,2005-2006,29.00
Maharashtra,2005-2006,65.00
Odisha,2005-2006,75.00
Tamil Nadu,2005-2006,60.00
West Bengal,2005-2006,3.00
India,2005-2006,650.00
Andhra Pradesh,2006-2007,64.00
Bihar,2006-2007,14.00
Chhattisgarh,2006-2007,52.00
Himachal Pradesh,2006-2007,3.00
Jammu & Kashmir,2006-2007,2.00
Jharkhand,2006-2007,16.00
Karnataka,2006-2007,329.00
Kerala,2006-2007,4.00
Madhya Pradesh,2006-2007,29.00
Maharashtra,2006-2007,72.00
Odisha,2006-2007,73.00
Tamil Nadu,2006-2007,56.00
West Bengal,2006-2007,2.00
India,2006-2007,717.00
Andhra Pradesh,2007-2008,50.00
Bihar,2007-2008,14.00
Chhattisgarh,2007-2008,50.00
Himachal Pradesh,2007-2008,2.00
Jammu & Kashmir,2007-2008,2.00
Jharkhand,2007-2008,16.00
Karnataka,2007-2008,227.00
Kerala,2007-2008,4.00
Madhya Pradesh,2007-2008,26.00
Maharashtra,2007-2008,78.00
Odisha,2007-2008,72.00
Tamil Nadu,2007-2008,48.00
West Bengal,2007-2008,2.00
India,2007-2008,593.00
Andhra Pradesh,2008-2009,38.00
Bihar,2008-2009,11.00
Chhattisgarh,2008-2009,54.00
Haryana,2008-2009,1.00
Himachal Pradesh,2008-2009,2.00
Jammu & Kashmir,2008-2009,2.00
Jharkhand,2008-2009,14.00
Karnataka,2008-2009,216.00
Kerala,2008-2009,4.00
Madhya Pradesh,2008-2009,24.00
Maharashtra,2008-2009,43.00
Odisha,2008-2009,59.00
Tamil Nadu,2008-2009,45.00
West Bengal,2008-2009,2.00
India,2008-2009,515.00
Andhra Pradesh,2009-2010,59.00
Bihar,2009-2010,11.00
Chhattisgarh,2009-2010,50.00
Haryana,2009-2010,1.00
Himachal Pradesh,2009-2010,2.00
Jammu & Kashmir,2009-2010,2.00
Jharkhand,2009-2010,14.00
Karnataka,2009-2010,228.00
Kerala,2009-2010,4.00
Madhya Pradesh,2009-2010,23.00
Maharashtra,2009-2010,35.00
Odisha,2009-2010,64.00
Tamil Nadu,2009-2010,47.00
West Bengal,2009-2010,2.00
India,2009-2010,542.00
Andhra Pradesh,2010-2011,32.00
Bihar,2010-2011,9.90
Chhattisgarh,2010-2011,49.20
Himachal Pradesh,2010-2011,2.20
Jammu & Kashmir,2010-2011,1.00
Jharkhand,2010-2011,20.90
Karnataka,2010-2011,221.00
Madhya Pradesh,2010-2011,0.40
Maharashtra,2010-2011,34.00
Odisha,2010-2011,69.40
Tamil Nadu,2010-2011,47.30
Telangana,2010-2011,5.00
Uttarakhand,2010-2011,12.80
West Bengal,2010-2011,2.40
India,2010-2011,507.50
Andhra Pradesh,2011-2012,28.00
Bihar,2011-2012,8.60
Chhattisgarh,2011-2012,50.20
Himachal Pradesh,2011-2012,2.10
Jammu & Kashmir,2011-2012,2.10
Jharkhand,2011-2012,16.20
Karnataka,2011-2012,180.00
Madhya Pradesh,2011-2012,20.30
Maharashtra,2011-2012,11.70
Odisha,2011-2012,44.30
Tamil Nadu,2011-2012,69.00
Telangana,2011-2012,3.00
Uttarakhand,2011-2012,12.00
India,2011-2012,447.50
Andhra Pradesh,2012-2013,28.10
Bihar,2012-2013,8.00
Chhattisgarh,2012-2013,44.80
Haryana,2012-2013,0.70
Himachal Pradesh,2012-2013,2.00
Jammu & Kashmir,2012-2013,2.20
Jharkhand,2012-2013,12.20
Karnataka,2012-2013,206.00
Madhya Pradesh,2012-2013,16.00
Maharashtra,2012-2013,13.30
Odisha,2012-2013,48.40
Tamil Nadu,2012-2013,62.50
Telangana,2012-2013,3.90
Uttarakhand,2012-2013,13.30
West Bengal,2012-2013,2.50
India,2012-2013,463.80
Andhra Pradesh,2013-2014,28.00
Bihar,2013-2014,8.20
Chhattisgarh,2013-2014,51.20
Himachal Pradesh,2013-2014,1.80
Jammu & Kashmir,2013-2014,0.60
Jharkhand,2013-2014,24.70
Karnataka,2013-2014,163.00
Kerala,2013-2014,0.10
Madhya Pradesh,2013-2014,11.70
Odisha,2013-2014,42.10
Tamil Nadu,2013-2014,88.70
Telangana,2013-2014,3.00
Uttarakhand,2013-2014,15.10
West Bengal,2013-2014,3.00
India,2013-2014,441.20
Andhra Pradesh,2014-2015,36.00
Bihar,2014-2015,8.30
Chhattisgarh,2014-2015,54.60
Haryana,2014-2015,0.40
Himachal Pradesh,2014-2015,1.50
Jammu & Kashmir,2014-2015,0.80
Jharkhand,2014-2015,32.30
Karnataka,2014-2015,181.00
Madhya Pradesh,2014-2015,25.00
Maharashtra,2014-2015,12.00
Odisha,2014-2015,38.30
Tamil Nadu,2014-2015,92.00
Telangana,2014-2015,2.00
West Bengal,2014-2015,3.00
Uttarakhand,2014-2015,14.30
India,2014-2015,501.80
Andhra Pradesh,2015-2016,57.00
Bihar,2015-2016,7.80
Chhattisgarh,2015-2016,47.80
Haryana,2015-2016,0.30
Jharkhand,2015-2016,26.50
Karnataka,2015-2016,166.00
Madhya Pradesh,2015-2016,14.00
Odisha,2015-2016,33.40
Tamil Nadu,2015-2016,75.90
Telangana,2015-2016,2.00
Uttarakhand,2015-2016,12.30
West Bengal,2015-2016,3.00
India,2015-2016,445.90
Andhra Pradesh,2016-2017,12.00
Bihar,2016-2017,8.30
Chhattisgarh,2016-2017,44.80
Haryana,2016-2017,0.10
Himachal Pradesh,2016-2017,1.84
Jammu & Kashmir,2016-2017,0.80
Jharkhand,2016-2017,25.01
Karnataka,2016-2017,124.00
Madhya Pradesh,2016-2017,20.45
Odisha,2016-2017,34.09
Tamil Nadu,2016-2017,38.60
Telangana,2016-2017,1.00
Uttarakhand,2016-2017,13.00
West Bengal,2016-2017,2.00
India,2016-2017,325.99
Andhra Pradesh,2017-2018,39.00
Bihar,2017-2018,8.59
Chhattisgarh,2017-2018,42.69
Haryana,2017-2018,0.40
Himachal Pradesh,2017-2018,1.61
Jammu & Kashmir,2017-2018,1.11
Jharkhand,2017-2018,14.09
Karnataka,2017-2018,173.00
Madhya Pradesh,2017-2018,14.00
Odisha,2017-2018,26.21
Tamil Nadu,2017-2018,62.21
Telangana,2017-2018,1.00
Uttarakhand,2017-2018,14.00
West Bengal,2017-2018,2.08
India,2017-2018,399.99
Andhra Pradesh,2018-2019,119.00
Bihar,2018-2019,9.91
Chhattisgarh,2018-2019,40.15
Haryana,2018-2019,0.50
Himachal Pradesh,2018-2019,1.62
Jammu & Kashmir,2018-2019,0.78
Jharkhand,2018-2019,17.05
Karnataka,2018-2019,153.01
Madhya Pradesh,2018-2019,2.00
Odisha,2018-2019,23.61
Tamil Nadu,2018-2019,77.45
Telangana,2018-2019,1.00
Uttarakhand,2018-2019,13.00
West Bengal,2018-2019,1.41
India,2018-2019,460.49
Andhra Pradesh,2019-2020,114.00
Bihar,2019-2020,8.08
Chhattisgarh,2019-2020,35.46
Haryana,2019-2020,0.80
Himachal Pradesh,2019-2020,1.63
Jammu & Kashmir,2019-2020,0.63
Jharkhand,2019-2020,20.26
Karnataka,2019-2020,161.00
Madhya Pradesh,2019-2020,-
Odisha,2019-2020,22.76
Tamil Nadu,2019-2020,79.06
Telangana,2019-2020,1.00
Uttarakhand,2019-2020,11.00
West Bengal,2019-2020,1.74
India,2019-2020,457.43
Andhra Pradesh,2020-2021,26.00
Bihar,2020-2021,6.92
Chhattisgarh,2020-2021,25.63
Haryana,2020-2021,0.67
Himachal Pradesh,2020-2021,1.56
Jammu & Kashmir,2020-2021,0.71
Jharkhand,2020-2021,18.66
Karnataka,2020-2021,147.00
Madhya Pradesh,2020-2021,2.00
Odisha,2020-2021,26.37
Tamil Nadu,2020-2021,75.82
Telangana,2020-2021,2.00
Uttarakhand,2020-2021,-
West Bengal,2020-2021,1.81
India,2020-2021,348.16
