State,Year,Value
Arunachal Pradesh,2018-2019,0.45
Assam,2018-2019,26.73
Bihar,2018-2019,147.91
Chhattisgarh,2018-2019,13.66
Haryana,2018-2019,1.1
Himachal Pradesh,2018-2019,0.48
Jharkhand,2018-2019,57.26
Madhya Pradesh,2018-2019,421.0
Manipur,2018-2019,0.76
Meghalaya,2018-2019,1.26
Nagaland,2018-2019,2.18
Odisha,2018-2019,9.73
Punjab,2018-2019,0.7
Rajasthan,2018-2019,19.77
Tripura,2018-2019,2.52
Uttarakhand,2018-2019,11.0
Uttar Pradesh,2018-2019,476.0
West Bengal,2018-2019,170.2
India,2018-2019,1362.72
Arunachal Pradesh,2019-2020,0.45
Assam,2019-2020,24.12
Bihar,2019-2020,143.05
Chhattisgarh,2019-2020,13.81
Haryana,2019-2020,0.8
Himachal Pradesh,2019-2020,0.49
Jammu & Kashmir,2019-2020,0.38
Jharkhand,2019-2020,62.32
Madhya Pradesh,2019-2020,379.0
Manipur,2019-2020,0.66
Nagaland,2019-2020,2.21
Odisha,2019-2020,9.34
Punjab,2019-2020,0.8
Rajasthan,2019-2020,17.02
Tripura,2019-2020,2.21
Uttarakhand,2019-2020,11.0
Uttar Pradesh,2019-2020,463.0
West Bengal,2019-2020,172.03
India,2019-2020,1302.69
Arunachal Pradesh,2020-2021,0.45
Assam,2020-2021,23.27
Bihar,2020-2021,136.53
Chhattisgarh,2020-2021,14.41
Haryana,2020-2021,1.15
Himachal Pradesh,2020-2021,0.3
Jammu & Kashmir,2020-2021,0.4
Jharkhand,2020-2021,72.44
Madhya Pradesh,2020-2021,542.0
Manipur,2020-2021,0.81
Nagaland,2020-2021,2.21
Odisha,2020-2021,9.05
Punjab,2020-2021,0.6
Rajasthan,2020-2021,20.14
Tripura,2020-2021,1.56
Uttarakhand,2020-2021,12.0
Uttar Pradesh,2020-2021,472.0
West Bengal,2020-2021,158.98
India,2020-2021,1468.31
Arunachal Pradesh,2021-2022,0.46
Assam,2021-2022,23.46
Bihar,2021-2022,133.15
Chhattisgarh,2021-2022,12.82
Haryana,2021-2022,0.51
Himachal Pradesh,2021-2022,0.29
Jammu & Kashmir,2021-2022,0.25
Jharkhand,2021-2022,65.46
Madhya Pradesh,2021-2022,492.0
Manipur,2021-2022,0.95
Nagaland,2021-2022,0.15
Odisha,2021-2022,11.64
Punjab,2021-2022,0.5
Rajasthan,2021-2022,16.73
Tripura,2021-2022,0.73
Uttarakhand,2021-2022,9.0
Uttar Pradesh,2021-2022,494.0
West Bengal,2021-2022,149.82
India,2021-2022,1411.92
