State,Year,Value
Andhra Pradesh,1996-1997,353.00
Bihar,1996-1997,7.00
Gujarat,1996-1997,162.00
Haryana,1996-1997,13.00
Jammu & Kashmir,1996-1997,2.00
Karnataka,1996-1997,303.00
Kerala,1996-1997,1.00
Madhya Pradesh,1996-1997,111.00
Maharashtra,1996-1997,641.00
Odisha,1996-1997,95.00
Punjab,1996-1997,50.00
Rajasthan,1996-1997,592.00
Tamil Nadu,1996-1997,46.00
Tripura,1996-1997,1.00
Uttar Pradesh,1996-1997,29.00
West Bengal,1996-1997,2.00
India,1996-1997,2408.00
Andhra Pradesh,1997-1998,317.00
Bihar,1997-1998,8.00
Gujarat,1997-1998,179.00
Haryana,1997-1998,14.00
Jammu & Kashmir,1997-1998,3.00
Karnataka,1997-1998,238.00
Kerala,1997-1998,4.00
Madhya Pradesh,1997-1998,109.00
Maharashtra,1997-1998,613.00
Odisha,1997-1998,142.00
Punjab,1997-1998,49.00
Rajasthan,1997-1998,631.00
Tamil Nadu,1997-1998,46.00
Tripura,1997-1998,1.00
Uttar Pradesh,1997-1998,28.00
West Bengal,1997-1998,2.00
India,1997-1998,2384.00
Andhra Pradesh,1998-1999,333.00
Bihar,1998-1999,9.00
Gujarat,1998-1999,174.00
Haryana,1998-1999,19.00
Jammu & Kashmir,1998-1999,2.00
Karnataka,1998-1999,312.00
Kerala,1998-1999,4.00
Madhya Pradesh,1998-1999,104.00
Maharashtra,1998-1999,649.00
Odisha,1998-1999,129.00
Punjab,1998-1999,42.00
Rajasthan,1998-1999,564.00
Tamil Nadu,1998-1999,59.00
Tripura,1998-1999,1.00
Uttar Pradesh,1998-1999,26.00
West Bengal,1998-1999,1.00
India,1998-1999,2428.00
Andhra Pradesh,1999-2000,321.00
Bihar,1999-2000,11.00
Gujarat,1999-2000,108.00
Haryana,1999-2000,11.00
Himachal Pradesh,1999-2000,1.00
Jammu & Kashmir,1999-2000,2.00
Karnataka,1999-2000,376.00
Kerala,1999-2000,3.00
Madhya Pradesh,1999-2000,100.00
Maharashtra,1999-2000,657.00
Odisha,1999-2000,130.00
Punjab,1999-2000,39.00
Rajasthan,1999-2000,415.00
Tamil Nadu,1999-2000,48.00
Tripura,1999-2000,1.00
Uttar Pradesh,1999-2000,27.00
West Bengal,1999-2000,1.00
India,1999-2000,2250.00
Andhra Pradesh,2000-2001,392.00
Bihar,2000-2001,9.00
Chhattisgarh,2000-2001,10.00
Gujarat,2000-2001,150.00
Haryana,2000-2001,10.00
Jammu & Kashmir,2000-2001,2.00
Jharkhand,2000-2001,1.00
Karnataka,2000-2001,435.00
Kerala,2000-2001,2.00
Madhya Pradesh,2000-2001,87.00
Maharashtra,2000-2001,714.00
Odisha,2000-2001,99.00
Punjab,2000-2001,30.00
Rajasthan,2000-2001,458.00
Tamil Nadu,2000-2001,52.00
Tripura,2000-2001,2.00
Uttar Pradesh,2000-2001,28.00
West Bengal,2000-2001,1.00
India,2000-2001,2482.00
Andhra Pradesh,2001-2002,338.00
Bihar,2001-2002,8.00
Chhattisgarh,2001-2002,10.00
Gujarat,2001-2002,168.00
Haryana,2001-2002,15.00
Jammu & Kashmir,2001-2002,2.00
Karnataka,2001-2002,251.00
Kerala,2001-2002,2.00
Madhya Pradesh,2001-2002,83.00
Maharashtra,2001-2002,711.00
Odisha,2001-2002,131.00
Punjab,2001-2002,23.00
Rajasthan,2001-2002,702.00
Tamil Nadu,2001-2002,55.00
Tripura,2001-2002,1.00
Uttar Pradesh,2001-2002,28.00
West Bengal,2001-2002,1.00
India,2001-2002,2530.00
Andhra Pradesh,2002-2003,355.00
Bihar,2002-2003,11.00
Chhattisgarh,2002-2003,10.00
Gujarat,2002-2003,140.00
Haryana,2002-2003,23.00
Jammu & Kashmir,2002-2003,3.00
Jharkhand,2002-2003,10.00
Karnataka,2002-2003,402.00
Madhya Pradesh,2002-2003,83.00
Maharashtra,2002-2003,762.00
Odisha,2002-2003,89.00
Punjab,2002-2003,16.00
Rajasthan,2002-2003,515.00
Tamil Nadu,2002-2003,32.00
Tripura,2002-2003,1.00
Uttar Pradesh,2002-2003,22.00
