State,Year,Value
Andhra Pradesh,1996-1997,138.00
Assam,1996-1997,8.00
Bihar,1996-1997,182.00
Gujarat,1996-1997,3.00
Karnataka,1996-1997,15.00
Kerala,1996-1997,-
Madhya Pradesh,1996-1997,9.00
Maharashtra,1996-1997,21.00
Odisha,1996-1997,107.00
Puducherry,1996-1997,2.00
Rajasthan,1996-1997,-
Tamil Nadu,1996-1997,62.00
Uttar Pradesh,1996-1997,96.00
West Bengal,1996-1997,14.00
India,1996-1997,655.00
Andhra Pradesh,1997-1998,138.00
Assam,1997-1998,9.00
Bihar,1997-1998,180.00
Gujarat,1997-1998,3.00
Karnataka,1997-1998,17.00
Madhya Pradesh,1997-1998,9.00
Maharashtra,1997-1998,12.00
Odisha,1997-1998,107.00
Puducherry,1997-1998,3.00
Tamil Nadu,1997-1998,61.00
Uttar Pradesh,1997-1998,85.00
West Bengal,1997-1998,13.00
India,1997-1998,633.00
Andhra Pradesh,1998-1999,137.00
Assam,1998-1999,8.00
Bihar,1998-1999,185.00
Gujarat,1998-1999,3.00
Karnataka,1998-1999,16.00
Madhya Pradesh,1998-1999,9.00
Maharashtra,1998-1999,15.00
Odisha,1998-1999,93.00
Puducherry,1998-1999,3.00
Tamil Nadu,1998-1999,65.00
Tripura,1998-1999,1.00
Uttar Pradesh,1998-1999,84.00
West Bengal,1998-1999,12.00
India,1998-1999,626.00
Andhra Pradesh,1999-2000,138.00
Assam,1999-2000,8.00
Bihar,1999-2000,173.00
Gujarat,1999-2000,6.00
Karnataka,1999-2000,17.00
Madhya Pradesh,1999-2000,9.00
Maharashtra,1999-2000,17.00
Odisha,1999-2000,61.00
Puducherry,1999-2000,3.00
Tamil Nadu,1999-2000,129.00
Uttar Pradesh,1999-2000,82.00
West Bengal,1999-2000,19.00
India,1999-2000,656.00
Andhra Pradesh,2000-2001,128.00
Assam,2000-2001,7.00
Bihar,2000-2001,178.00
Chhattisgarh,2000-2001,4.00
Gujarat,2000-2001,3.00
Karnataka,2000-2001,16.00
Madhya Pradesh,2000-2001,3.00
Odisha,2000-2001,49.00
