State,Year,Value
Andhra Pradesh,1996-1997,491.00
Assam,1996-1997,8.00
Bihar,1996-1997,189.00
Gujarat,1996-1997,165.00
Haryana,1996-1997,13.00
Jammu & Kashmir,1996-1997,2.00
Karnataka,1996-1997,318.00
Kerala,1996-1997,1.00
Madhya Pradesh,1996-1997,121.00
Maharashtra,1996-1997,662.00
Odisha,1996-1997,203.00
Punjab,1996-1997,50.00
Puducherry,1996-1997,2.00
Rajasthan,1996-1997,592.00
Tamil Nadu,1996-1997,108.00
Tripura,1996-1997,1.00
Uttar Pradesh,1996-1997,125.00
West Bengal,1996-1997,16.00
India,1996-1997,3063.00
Andhra Pradesh,1997-1998,455.00
Assam,1997-1998,9.00
Bihar,1997-1998,187.00
Gujarat,1997-1998,182.00
Haryana,1997-1998,14.00
Jammu & Kashmir,1997-1998,3.00
Karnataka,1997-1998,255.00
Kerala,1997-1998,4.00
Madhya Pradesh,1997-1998,118.00
Maharashtra,1997-1998,625.00
Odisha,1997-1998,250.00
Puducherry,1997-1998,3.00
Punjab,1997-1998,49.00
Rajasthan,1997-1998,631.00
Tamil Nadu,1997-1998,107.00
Tripura,1997-1998,1.00
Uttar Pradesh,1997-1998,113.00
West Bengal,1997-1998,15.00
India,1997-1998,3017.00
Andhra Pradesh,1998-1999,470.00
Assam,1998-1999,8.00
Bihar,1998-1999,193.00
Gujarat,1998-1999,177.00
Haryana,1998-1999,19.00
Jammu & Kashmir,1998-1999,2.00
Karnataka,1998-1999,327.00
Kerala,1998-1999,4.00
Madhya Pradesh,1998-1999,113.00
Maharashtra,1998-1999,664.00
Odisha,1998-1999,222.00
Punjab,1998-1999,42.00
Rajasthan,1998-1999,564.00
Tamil Nadu,1998-1999,124.00
Tripura,1998-1999,1.00
Uttar Pradesh,1998-1999,110.00
West Bengal,1998-1999,13.00
India,1998-1999,3054.00
Andhra Pradesh,1999-2000,459.00
Assam,1999-2000,8.00
Bihar,1999-2000,184.00
Gujarat,1999-2000,113.00
Haryana,1999-2000,11.00
Himachal Pradesh,1999-2000,1.00
Jammu & Kashmir,1999-2000,2.00
Karnataka,1999-2000,393.00
Kerala,1999-2000,3.00
Madhya Pradesh,1999-2000,109.00
Maharashtra,1999-2000,675.00
Odisha,1999-2000,191.00
Puducherry,1999-2000,3.00
Punjab,1999-2000,-
Rajasthan,1999-2000,-
Tamil Nadu,1999-2000,177.00
Tripura,1999-2000,1.00
Uttar Pradesh,1999-2000,109.00
West Bengal,1999-2000,20.00
India,1999-2000,2909.00
Andhra Pradesh,2000-2001,520.00
Assam,2000-2001,7.00
Bihar,2000-2001,187.00
