State,Year,Value
Haryana,1970-1971,12.00
Jammu & Kashmir,1970-1971,11.00
Maharashtra,1970-1971,147.00
Punjab,1970-1971,2.00
Rajasthan,1970-1971,1556.00
Uttar Pradesh,1970-1971,8.00
India,1970-1971,1736.00
Haryana,1971-1972,9.00
Jammu & Kashmir,1971-1972,11.00
Maharashtra,1971-1972,114.00
Punjab,1971-1972,2.00
Rajasthan,1971-1972,1564.00
Uttar Pradesh,1971-1972,8.00
India,1971-1972,1709.00
Haryana,1972-1973,5.00
Jammu & Kashmir,1972-1973,10.00
Maharashtra,1972-1973,63.00
Punjab,1972-1973,3.00
Rajasthan,1972-1973,1474.00
Uttar Pradesh,1972-1973,8.00
India,1972-1973,1563.00
Haryana,1973-1974,7.00
Maharashtra,1973-1974,162.00
Punjab,1973-1974,3.00
Rajasthan,1973-1974,1522.00
Uttar Pradesh,1973-1974,8.00
India,1973-1974,1702.00
Haryana,1974-1975,8.00
Jammu & Kashmir,1974-1975,13.00
Maharashtra,1974-1975,167.00
Punjab,1974-1975,2.00
Rajasthan,1974-1975,1578.00
Uttar Pradesh,1974-1975,7.00
India,1974-1975,1774.00
Haryana,1975-1976,10.00
Jammu & Kashmir,1975-1976,11.00
Maharashtra,1975-1976,194.00
Punjab,1975-1976,2.00
Rajasthan,1975-1976,1805.00
Uttar Pradesh,1975-1976,7.00
India,1975-1976,2030.00
Haryana,1976-1977,9.00
Jammu & Kashmir,1976-1977,11.00
Maharashtra,1976-1977,178.00
Punjab,1976-1977,1.00
Rajasthan,1976-1977,1790.00
Uttar Pradesh,1976-1977,7.00
India,1976-1977,1997.00
Haryana,1977-1978,3.00
Jammu & Kashmir,1977-1978,9.00
Maharashtra,1977-1978,173.00
Rajasthan,1977-1978,1534.00
Uttar Pradesh,1977-1978,6.00
India,1977-1978,1726.00
Haryana,1978-1979,2.00
Jammu & Kashmir,1978-1979,10.00
Maharashtra,1978-1979,163.00
Punjab,1978-1979,1.00
Rajasthan,1978-1979,1218.00
Uttar Pradesh,1978-1979,5.00
India,1978-1979,1400.00
Haryana,1979-1980,1.00
Jammu & Kashmir,1979-1980,10.00
Maharashtra,1979-1980,146.00
Rajasthan,1979-1980,1123.00
Uttar Pradesh,1979-1980,3.00
India,1979-1980,1283.00
Haryana,1980-1981,1.00
Jammu & Kashmir,1980-1981,11.00
Maharashtra,1980-1981,174.00
Punjab,1980-1981,1.00
Rajasthan,1980-1981,1330.00
Uttar Pradesh,1980-1981,4.00
India,1980-1981,1520.00
Haryana,1981-1982,2.00
Jammu & Kashmir,1981-1982,11.00
Maharashtra,1981-1982,159.00
Punjab,1981-1982,1.00
Rajasthan,1981-1982,1257.00
Uttar Pradesh,1981-1982,4.00
India,1981-1982,1434.00
Gujarat,1982-1983,76.00
Haryana,1982-1983,1.00
Jammu & Kashmir,1982-1983,12.00
Maharashtra,1982-1983,109.00
Punjab,1982-1983,1.00
Rajasthan,1982-1983,1208.00
Uttar Pradesh,1982-1983,3.00
India,1982-1983,1411.00
Gujarat,1983-1984,103.00
Haryana,1983-1984,1.00
Jammu & Kashmir,1983-1984,10.00
Maharashtra,1983-1984,148.00
Punjab,1983-1984,2.00
Rajasthan,1983-1984,1275.00
Uttar Pradesh,1983-1984,3.00
India,1983-1984,1542.00
Gujarat,1984-1985,91.00
Jammu & Kashmir,1984-1985,10.00
Maharashtra,1984-1985,120.00
Punjab,1984-1985,2.00
Rajasthan,1984-1985,1220.00
Uttar Pradesh,1984-1985,2.00
India,1984-1985,1446.00
Gujarat,1985-1986,84.00
Haryana,1985-1986,-
Jammu & Kashmir,1985-1986,9.00
Maharashtra,1985-1986,125.00
Punjab,1985-1986,1.00
Rajasthan,1985-1986,1247.00
Uttar Pradesh,1985-1986,2.00
India,1985-1986,1469.00
Gujarat,1986-1987,70.00
Jammu & Kashmir,1986-1987,9.00
Maharashtra,1986-1987,137.00
Punjab,1986-1987,1.00
Rajasthan,1986-1987,1173.00
Uttar Pradesh,1986-1987,2.00
India,1986-1987,1391.00
Gujarat,1987-1988,20.00
Jammu & Kashmir,1987-1988,6.00
Maharashtra,1987-1988,135.00
Punjab,1987-1988,1.00
Rajasthan,1987-1988,723.00
Uttar Pradesh,1987-1988,2.00
India,1987-1988,886.00
Gujarat,1988-1989,49.00
Haryana,1988-1989,2.00
Maharashtra,1988-1989,107.00
Rajasthan,1988-1989,1116.00
Uttar Pradesh,1988-1989,2.00
India,1988-1989,1276.00
Gujarat,1989-1990,64.00
Haryana,1989-1990,1.00
Jammu & Kashmir,1989-1990,6.00
Maharashtra,1989-1990,135.00
Punjab,1989-1990,1.00
Rajasthan,1989-1990,1207.00
Uttar Pradesh,1989-1990,1.00
India,1989-1990,1416.00
Gujarat,1990-1991,44.00
Haryana,1990-1991,1.00
Jammu & Kashmir,1990-1991,6.00
Maharashtra,1990-1991,101.00
Punjab,1990-1991,1.00
Rajasthan,1990-1991,1336.00
Uttar Pradesh,1990-1991,1.00
India,1990-1991,1490.00
Gujarat,1991-1992,54.50
Haryana,1991-1992,0.40
Himachal Pradesh,1991-1992,0.10
Jammu & Kashmir,1991-1992,5.30
Maharashtra,1991-1992,102.70
Punjab,1991-1992,1.30
Rajasthan,1991-1992,1145.10
Uttar Pradesh,1991-1992,1.00
India,1991-1992,1310.40
Gujarat,1992-1993,72.10
Haryana,1992-1993,0.30
Jammu & Kashmir,1992-1993,5.10
Maharashtra,1992-1993,140.90
Punjab,1992-1993,0.80
Rajasthan,1992-1993,1280.20
Uttar Pradesh,1992-1993,0.90
India,1992-1993,1500.30
Gujarat,1993-1994,62.60
Haryana,1993-1994,0.20
Himachal Pradesh,1993-1994,0.10
Jammu & Kashmir,1993-1994,5.30
Maharashtra,1993-1994,107.60
Punjab,1993-1994,2.30
Rajasthan,1993-1994,1336.40
Uttar Pradesh,1993-1994,0.90
India,1993-1994,1515.40
Gujarat,1994-1995,51.90
Haryana,1994-1995,0.20
Jammu & Kashmir,1994-1995,5.30
Maharashtra,1994-1995,113.30
Punjab,1994-1995,1.10
Rajasthan,1994-1995,1291.40
Uttar Pradesh,1994-1995,0.70
India,1994-1995,1463.90
Gujarat,1995-1996,54.40
Haryana,1995-1996,0.20
Jammu & Kashmir,1995-1996,5.20
Maharashtra,1995-1996,101.50
Punjab,1995-1996,0.30
Rajasthan,1995-1996,1211.60
Uttar Pradesh,1995-1996,1.00
India,1995-1996,1374.20
Gujarat,1996-1997,55.00
Haryana,1996-1997,0.20
Jammu & Kashmir,1996-1997,4.70
Maharashtra,1996-1997,100.80
Punjab,1996-1997,0.80
Rajasthan,1996-1997,1219.20
Uttar Pradesh,1996-1997,0.50
India,1996-1997,1381.20
Gujarat,1997-1998,48.50
Haryana,1997-1998,0.20
Himachal Pradesh,1997-1998,0.20
Jammu & Kashmir,1997-1998,4.80
Maharashtra,1997-1998,96.40
Punjab,1997-1998,1.00
Rajasthan,1997-1998,1122.80
Uttar Pradesh,1997-1998,0.30
India,1997-1998,1274.20
Gujarat,1998-1999,42.90
Haryana,1998-1999,0.20
Himachal Pradesh,1998-1999,0.20
Jammu & Kashmir,1998-1999,4.80
Maharashtra,1998-1999,92.00
Punjab,1998-1999,0.50
Rajasthan,1998-1999,876.50
Uttar Pradesh,1998-1999,0.20
India,1998-1999,1017.30
Gujarat,1999-2000,25.90
Haryana,1999-2000,0.20
Jammu & Kashmir,1999-2000,2.90
Maharashtra,1999-2000,93.40
Punjab,1999-2000,0.20
Rajasthan,1999-2000,771.60
India,1999-2000,894.20
Gujarat,2000-2001,43.80
Haryana,2000-2001,0.20
Himachal Pradesh,2000-2001,0.40
Jammu & Kashmir,2000-2001,4.00
Maharashtra,2000-2001,88.20
Rajasthan,2000-2001,961.50
Uttar Pradesh,2000-2001,0.20
India,2000-2001,1098.30
Gujarat,2001-2002,43.20
Haryana,2001-2002,0.20
