State,Year,Value
Andhra Pradesh,1970-1971,60.00
Bihar,1970-1971,109.00
Haryana,1970-1971,10.00
Himachal Pradesh,1970-1971,28.00
Jammu & Kashmir,1970-1971,18.00
Karnataka,1970-1971,62.00
Kerala,1970-1971,4.00
Madhya Pradesh,1970-1971,476.00
Maharashtra,1970-1971,418.00
Punjab,1970-1971,26.00
Rajasthan,1970-1971,55.00
Tamil Nadu,1970-1971,97.00
Uttar Pradesh,1970-1971,152.00
West Bengal,1970-1971,41.00
India,1970-1971,1557.00
Andhra Pradesh,1971-1972,54.00
Bihar,1971-1972,94.00
Haryana,1971-1972,10.00
Himachal Pradesh,1971-1972,25.00
Jammu & Kashmir,1971-1972,20.00
Karnataka,1971-1972,58.00
Kerala,1971-1972,3.00
Madhya Pradesh,1971-1972,484.00
Maharashtra,1971-1972,294.00
Punjab,1971-1972,23.00
Rajasthan,1971-1972,53.00
Tamil Nadu,1971-1972,97.00
Uttar Pradesh,1971-1972,146.00
West Bengal,1971-1972,32.00
India,1971-1972,1394.00
Andhra Pradesh,1972-1973,49.00
Bihar,1972-1973,100.00
Dadra & Nagar Haveli  ,1972-1973,2.00
Haryana,1972-1973,12.00
Himachal Pradesh,1972-1973,21.00
Jammu & Kashmir,1972-1973,20.00
Karnataka,1972-1973,34.00
Kerala,1972-1973,3.00
Madhya Pradesh,1972-1973,516.00
Maharashtra,1972-1973,300.00
Punjab,1972-1973,31.00
Rajasthan,1972-1973,61.00
Tamil Nadu,1972-1973,148.00
Uttar Pradesh,1972-1973,151.00
West Bengal,1972-1973,38.00
India,1972-1973,1487.00
Andhra Pradesh,1973-1974,54.00
Bihar,1973-1974,106.00
Dadra & Nagar Haveli  ,1973-1974,2.00
Gujarat,1973-1974,-
Haryana,1973-1974,13.00
Himachal Pradesh,1973-1974,27.00
Jammu & Kashmir,1973-1974,24.00
Karnataka,1973-1974,37.00
Kerala,1973-1974,3.00
Madhya Pradesh,1973-1974,580.00
Maharashtra,1973-1974,484.00
Punjab,1973-1974,39.00
Rajasthan,1973-1974,99.00
Tamil Nadu,1973-1974,158.00
Uttar Pradesh,1973-1974,164.00
West Bengal,1973-1974,46.00
India,1973-1974,1836.00
Andhra Pradesh,1974-1975,48.00
Bihar,1974-1975,115.00
Dadra & Nagar Haveli  ,1974-1975,2.00
Haryana,1974-1975,11.00
Himachal Pradesh,1974-1975,24.00
Jammu & Kashmir,1974-1975,21.00
Karnataka,1974-1975,38.00
Kerala,1974-1975,3.00
Madhya Pradesh,1974-1975,576.00
Maharashtra,1974-1975,474.00
Punjab,1974-1975,26.00
Rajasthan,1974-1975,109.00
Tamil Nadu,1974-1975,96.00
Uttar Pradesh,1974-1975,151.00
West Bengal,1974-1975,54.00
India,1974-1975,1750.00
Andhra Pradesh,1975-1976,42.00
Bihar,1975-1976,110.00
Dadra & Nagar Haveli  ,1975-1976,2.00
Haryana,1975-1976,8.00
Himachal Pradesh,1975-1976,26.00
Jammu & Kashmir,1975-1976,24.00
Karnataka,1975-1976,41.00
Kerala,1975-1976,3.00
Madhya Pradesh,1975-1976,561.00
Maharashtra,1975-1976,475.00
Punjab,1975-1976,24.00
Rajasthan,1975-1976,102.00
Tamil Nadu,1975-1976,92.00
Tripura,1975-1976,1.00
Uttar Pradesh,1975-1976,146.00
West Bengal,1975-1976,46.00
India,1975-1976,1704.00
Andhra Pradesh,1976-1977,39.00
Bihar,1976-1977,100.00
Dadra & Nagar Haveli  ,1976-1977,2.00
Haryana,1976-1977,8.00
Himachal Pradesh,1976-1977,25.00
Jammu & Kashmir,1976-1977,18.00
Karnataka,1976-1977,37.00
Madhya Pradesh,1976-1977,569.00
Maharashtra,1976-1977,458.00
Punjab,1976-1977,18.00
Rajasthan,1976-1977,91.00
Tamil Nadu,1976-1977,120.00
Tripura,1976-1977,1.00
Uttar Pradesh,1976-1977,134.00
West Bengal,1976-1977,59.00
India,1976-1977,1681.00
Andhra Pradesh,1977-1978,43.00
Bihar,1977-1978,110.00
Dadra & Nagar Haveli  ,1977-1978,2.00
Haryana,1977-1978,10.00
Himachal Pradesh,1977-1978,20.00
Jammu & Kashmir,1977-1978,23.00
Karnataka,1977-1978,40.00
Kerala,1977-1978,3.00
Madhya Pradesh,1977-1978,600.00
Maharashtra,1977-1978,465.00
Rajasthan,1977-1978,108.00
Tamil Nadu,1977-1978,146.00
Tripura,1977-1978,1.00
Uttar Pradesh,1977-1978,148.00
West Bengal,1977-1978,24.00
India,1977-1978,1744.00
Andhra Pradesh,1978-1979,48.00
Bihar,1978-1979,101.00
Dadra & Nagar Haveli  ,1978-1979,2.00
Haryana,1978-1979,8.00
Himachal Pradesh,1978-1979,24.00
Jammu & Kashmir,1978-1979,25.00
Karnataka,1978-1979,47.00
Kerala,1978-1979,3.00
