State,Year,Value
Andhra Pradesh,1970-1971,-
Assam,1970-1971,50.00
Chandigarh,1970-1971,130.00
Karnataka,1970-1971,6.00
Madhya Pradesh,1970-1971,152.00
Maharashtra,1970-1971,38.00
Tripura,1970-1971,1.00
West Bengal,1970-1971,134.00
India,1970-1971,510.00
Andhra Pradesh,1971-1972,132.00
Assam,1971-1972,51.00
Delhi,1971-1972,5.00
Gujarat,1971-1972,141.00
Haryana,1971-1972,44.00
Karnataka,1971-1972,-
Madhya Pradesh,1971-1972,-
Maharashtra,1971-1972,-
Meghalaya,1971-1972,1.00
Nagaland,1971-1972,100.00
West Bengal,1971-1972,-
India,1971-1972,474.00
Andhra Pradesh,1972-1973,133.00
Assam,1972-1973,-
Gujarat,1972-1973,124.00
Haryana,1972-1973,26.00
Karnataka,1972-1973,-
Madhya Pradesh,1972-1973,-
Maharashtra,1972-1973,-
West Bengal,1972-1973,-
India,1972-1973,470.00
Andhra Pradesh,1973-1974,163.00
Assam,1973-1974,49.00
Gujarat,1973-1974,120.00
Haryana,1973-1974,38.00
Karnataka,1973-1974,-
Madhya Pradesh,1973-1974,-
Maharashtra,1973-1974,-
Meghalaya,1973-1974,1.00
Nagaland,1973-1974,157.00
West Bengal,1973-1974,-
India,1973-1974,533.00
Andhra Pradesh,1974-1975,144.00
Assam,1974-1975,48.00
Karnataka,1974-1975,6.00
Madhya Pradesh,1974-1975,44.00
Maharashtra,1974-1975,37.00
Puducherry,1974-1975,3.00
Tripura,1974-1975,1.00
West Bengal,1974-1975,138.00
India,1974-1975,419.00
Andhra Pradesh,1975-1976,146.00
Assam,1975-1976,46.00
Karnataka,1975-1976,6.00
Madhya Pradesh,1975-1976,72.00
Maharashtra,1975-1976,34.00
Puducherry,1975-1976,3.00
Tripura,1975-1976,1.00
West Bengal,1975-1976,149.00
India,1975-1976,457.00
Andhra Pradesh,1976-1977,137.00
Assam,1976-1977,49.00
Karnataka,1976-1977,6.00
Madhya Pradesh,1976-1977,54.00
Maharashtra,1976-1977,37.00
Puducherry,1976-1977,3.00
Tripura,1976-1977,1.00
West Bengal,1976-1977,106.00
India,1976-1977,393.00
Andhra Pradesh,1977-1978,112.00
Assam,1977-1978,48.00
Karnataka,1977-1978,7.00
Madhya Pradesh,1977-1978,68.00
Maharashtra,1977-1978,38.00
Puducherry,1977-1978,4.00
West Bengal,1977-1978,151.00
India,1977-1978,428.00
Andhra Pradesh,1978-1979,179.00
Assam,1978-1979,48.00
Karnataka,1978-1979,7.00
Madhya Pradesh,1978-1979,66.00
Maharashtra,1978-1979,37.00
Puducherry,1978-1979,4.00
West Bengal,1978-1979,102.00
India,1978-1979,443.00
Andhra Pradesh,1979-1980,189.00
Assam,1979-1980,46.00
Karnataka,1979-1980,6.00
Madhya Pradesh,1979-1980,47.00
Maharashtra,1979-1980,24.00
Odisha,1979-1980,299.00
Puducherry,1979-1980,4.00
West Bengal,1979-1980,108.00
India,1979-1980,723.00
Andhra Pradesh,1980-1981,181.00
Assam,1980-1981,47.00
Karnataka,1980-1981,3.00
Madhya Pradesh,1980-1981,94.00
Maharashtra,1980-1981,19.00
