State,Year,Value
Andhra Pradesh,1970-1971,190.00
Assam,1970-1971,50.00
Bihar,1970-1971,109.00
Haryana,1970-1971,10.00
Himachal Pradesh,1970-1971,28.00
Jammu & Kashmir,1970-1971,18.00
Karnataka,1970-1971,68.00
Kerala,1970-1971,4.00
Madhya Pradesh,1970-1971,628.00
Maharashtra,1970-1971,457.00
Punjab,1970-1971,26.00
Rajasthan,1970-1971,55.00
Tamil Nadu,1970-1971,97.00
Tripura,1970-1971,1.00
Uttar Pradesh,1970-1971,152.00
West Bengal,1970-1971,175.00
India,1970-1971,2067.00
Andhra Pradesh,1971-1972,186.00
Assam,1971-1972,51.00
Bihar,1971-1972,94.00
Haryana,1971-1972,10.00
Himachal Pradesh,1971-1972,25.00
Jammu & Kashmir,1971-1972,20.00
Karnataka,1971-1972,63.00
Kerala,1971-1972,3.00
Madhya Pradesh,1971-1972,625.00
Maharashtra,1971-1972,338.00
Punjab,1971-1972,23.00
Rajasthan,1971-1972,53.00
Tamil Nadu,1971-1972,97.00
Tripura,1971-1972,1.00
Uttar Pradesh,1971-1972,146.00
West Bengal,1971-1972,133.00
India,1971-1972,1868.00
Andhra Pradesh,1972-1973,182.00
Assam,1972-1973,50.00
Bihar,1972-1973,100.00
Dadra & Nagar Haveli  ,1972-1973,2.00
Haryana,1972-1973,12.00
Himachal Pradesh,1972-1973,21.00
Jammu & Kashmir,1972-1973,20.00
Karnataka,1972-1973,43.00
Kerala,1972-1973,3.00
Madhya Pradesh,1972-1973,640.00
Maharashtra,1972-1973,326.00
Punjab,1972-1973,31.00
Rajasthan,1972-1973,61.00
Tamil Nadu,1972-1973,148.00
Tripura,1972-1973,1.00
Uttar Pradesh,1972-1973,151.00
West Bengal,1972-1973,166.00
India,1972-1973,1957.00
Andhra Pradesh,1973-1974,217.00
Assam,1973-1974,49.00
Bihar,1973-1974,106.00
Dadra & Nagar Haveli  ,1973-1974,2.00
Haryana,1973-1974,13.00
Himachal Pradesh,1973-1974,27.00
Jammu & Kashmir,1973-1974,24.00
Karnataka,1973-1974,44.00
Kerala,1973-1974,3.00
Madhya Pradesh,1973-1974,700.00
Maharashtra,1973-1974,522.00
Punjab,1973-1974,39.00
Rajasthan,1973-1974,99.00
Tamil Nadu,1973-1974,158.00
Uttar Pradesh,1973-1974,164.00
West Bengal,1973-1974,203.00
India,1973-1974,2369.00
Andhra Pradesh,1974-1975,192.00
Assam,1974-1975,48.00
Bihar,1974-1975,115.00
