State,Year,Value
Andaman & Nicobar Islands,2018-2019,0.10
Andhra Pradesh,2018-2019,45.50
Arunachal Pradesh,2018-2019,0.71
Assam,2018-2019,4.62
Bihar,2018-2019,31.67
Chhattisgarh,2018-2019,32.41
Dadra & Nagar Haveli  ,2018-2019,2.03
Gujarat,2018-2019,307.51
Haryana,2018-2019,2.30
Himachal Pradesh,2018-2019,0.02
Jharkhand,2018-2019,234.27
Karnataka,2018-2019,947.61
Kerala,2018-2019,0.44
Madhya Pradesh,2018-2019,180.20
Maharashtra,2018-2019,834.48
Manipur,2018-2019,0.56
Meghalaya,2018-2019,1.53
Mizoram,2018-2019,0.33
Nagaland,2018-2019,2.92
Odisha,2018-2019,147.23
Punjab,2018-2019,2.41
Rajasthan,2018-2019,9.09
Tamil Nadu,2018-2019,51.64
Telangana,2018-2019,191.51
Tripura,2018-2019,4.28
Uttarakhand,2018-2019,2.42
Uttar Pradesh,2018-2019,272.08
West Bengal,2018-2019,5.56
India,2018-2019,3315.44
Andhra Pradesh,2019-2020,118.10
Arunachal Pradesh,2019-2020,0.71
Assam,2019-2020,5.04
Bihar,2019-2020,28.16
Chhattisgarh,2019-2020,32.13
Dadra & Nagar Haveli  ,2019-2020,1.40
Daman & Diu  ,2019-2020,0.04
Gujarat,2019-2020,210.79
Haryana,2019-2020,1.24
Himachal Pradesh,2019-2020,0.05
Jharkhand,2019-2020,241.63
Karnataka,2019-2020,1126.31
Kerala,2019-2020,0.52
Madhya Pradesh,2019-2020,274.65
Maharashtra,2019-2020,1084.32
Manipur,2019-2020,0.46
Meghalaya,2019-2020,1.53
Mizoram,2019-2020,0.32
Nagaland,2019-2020,2.92
Odisha,2019-2020,144.58
Punjab,2019-2020,2.19
Rajasthan,2019-2020,5.19
Tamil Nadu,2019-2020,53.22
Telangana,2019-2020,266.39
Tripura,2019-2020,3.88
Uttarakhand,2019-2020,2.55
Uttar Pradesh,2019-2020,279.30
West Bengal,2019-2020,4.13
India,2019-2020,3891.73
Andhra Pradesh,2020-2021,83.85
Assam,2020-2021,5.17
Bihar,2020-2021,23.45
Chhattisgarh,2020-2021,27.17
Gujarat,2020-2021,285.85
Haryana,2020-2021,1.03
Himachal Pradesh,2020-2021,0.01
Jharkhand,2020-2021,259.87
Karnataka,2020-2021,1237.93
Kerala,2020-2021,0.33
Madhya Pradesh,2020-2021,285.80
Maharashtra,2020-2021,1327.53
Manipur,2020-2021,0.57
Meghalaya,2020-2021,1.55
Mizoram,2020-2021,0.42
Nagaland,2020-2021,2.95
Odisha,2020-2021,151.22
Punjab,2020-2021,2.09
Rajasthan,2020-2021,6.83
Tamil Nadu,2020-2021,49.63
Telangana,2020-2021,252.42
Tripura,2020-2021,3.78
Uttarakhand,2020-2021,3.56
Uttar Pradesh,2020-2021,297.48
West Bengal,2020-2021,5.43
India,2020-2021,4315.90
Andhra Pradesh,2021-2022,68.02
Arunachal Pradesh,2021-2022,0.75
Assam,2021-2022,4.98
Bihar,2021-2022,20.87
Chhattisgarh,2021-2022,24.93
Gujarat,2021-2022,291.23
Haryana,2021-2022,1.36
Himachal Pradesh,2021-2022,0.01
Jharkhand,2021-2022,286.36
Karnataka,2021-2022,1144.85
Kerala,2021-2022,0.30
Madhya Pradesh,2021-2022,189.90
Maharashtra,2021-2022,1391.17
Manipur,2021-2022,0.54
Meghalaya,2021-2022,1.56
Mizoram,2021-2022,0.38
Nagaland,2021-2022,0.38
Odisha,2021-2022,130.60
Punjab,2021-2022,1.42
Rajasthan,2021-2022,6.74
Tamil Nadu,2021-2022,45.22
Telangana,2021-2022,241.47
Tripura,2021-2022,4.13
Uttarakhand,2021-2022,3.20
Uttar Pradesh,2021-2022,354.67
West Bengal,2021-2022,5.16
India,2021-2022,4220.19
