State,Year,Value
Andhra Pradesh,2013-2014,596.66
Assam,2013-2014,1.43
Bihar,2013-2014,70.34
Chhattisgarh,2013-2014,213.20
Dadra & Nagar Haveli  ,2013-2014,0.17
Delhi ,2013-2014,0.06
Gujarat,2013-2014,309.00
Haryana,2013-2014,75.00
Himachal Pradesh,2013-2014,0.48
Jharkhand,2013-2014,181.73
Karnataka,2013-2014,716.00
Kerala ,2013-2014,0.40
Madhya Pradesh,2013-2014,3299.14
Maharashtra,2013-2014,1622.00
Manipur,2013-2014,1.75
Meghalaya,2013-2014,1.78
Nagaland,2013-2014,0.62
Odisha,2013-2014,36.21
Punjab,2013-2014,2.30
Rajasthan ,2013-2014,1640.39
Tamil Nadu,2013-2014,5.82
Telangana,2013-2014,246.34
Tripura,2013-2014,0.10
Uttar Pradesh,2013-2014,475.45
Uttarakhand,2013-2014,0.66
West Bengal,2013-2014,29.27
India ,2013-2014,9526.30
Andhra Pradesh,2014-2015,391.00
Assam,2014-2015,1.96
Bihar,2014-2015,57.49
Chhattisgarh,2014-2015,290.40
Dadra & Nagar Haveli  ,2014-2015,0.17
Gujarat,2014-2015,199.00
Haryana,2014-2015,42.00
Himachal Pradesh,2014-2015,0.38
Jharkhand,2014-2015,186.37
Karnataka,2014-2015,674.00
Kerala ,2014-2015,0.50
Madhya Pradesh,2014-2015,2964.00
Maharashtra,2014-2015,1088.00
Manipur,2014-2015,0.57
Meghalaya,2014-2015,1.87
Nagaland,2014-2015,0.64
Odisha,2014-2015,36.38
Punjab,2014-2015,1.90
Rajasthan ,2014-2015,911.09
Tamil Nadu,2014-2015,4.40
Telangana,2014-2015,81.00
Tripura,2014-2015,0.12
Uttar Pradesh,2014-2015,367.70
Uttarakhand,2014-2015,0.55
West Bengal,2014-2015,30.84
India ,2014-2015,7332.33
Andhra Pradesh,2015-2016,500.00
Assam,2015-2016,1.54
Bihar,2015-2016,58.55
Chhattisgarh,2015-2016,219.00
Dadra & Nagar Haveli  ,2015-2016,0.16
Delhi ,2015-2016,0.05
Gujarat,2015-2016,153.00
Haryana,2015-2016,26.00
Himachal Pradesh,2015-2016,0.38
Jharkhand,2015-2016,163.21
Karnataka,2015-2016,662.29
Kerala ,2015-2016,1.94
Madhya Pradesh,2015-2016,3364.00
Maharashtra,2015-2016,777.00
Manipur,2015-2016,0.71
Meghalaya,2015-2016,1.93
Nagaland,2015-2016,0.65
Odisha,2015-2016,30.13
Punjab,2015-2016,2.20
Rajasthan ,2015-2016,840.34
Tamil Nadu,2015-2016,3.18
Telangana,2015-2016,50.00
Tripura,2015-2016,0.20
Uttar Pradesh,2015-2016,164.00
Uttarakhand,2015-2016,0.44
West Bengal,2015-2016,36.70
India ,2015-2016,7057.60
Andhra Pradesh,2016-2017,381.00
Assam,2016-2017,1.58
Bihar,2016-2017,66.50
Chhattisgarh,2016-2017,359.90
Dadra & Nagar Haveli  ,2016-2017,0.11
Delhi ,2016-2017,0.05
Gujarat,2016-2017,183.00
Haryana,2016-2017,44.00
Himachal Pradesh,2016-2017,0.40
Jharkhand,2016-2017,247.41
