State,Year,Value
Assam,1976-1977,2.8
Bihar,1976-1977,251.7
Madhya Pradesh,1976-1977,140.6
Maharashtra,1976-1977,27.6
West Bengal,1976-1977,100.9
India,1976-1977,520.8
Assam,1977-1978,3.3
Bihar,1977-1978,216.6
Madhya Pradesh,1977-1978,309.3
Maharashtra,1977-1978,23.0
West Bengal,1977-1978,88.7
India,1977-1978,637.6
Assam,1978-1979,4.8
Bihar,1978-1979,240.7
Madhya Pradesh,1978-1979,269.3
Maharashtra,1978-1979,26.7
West Bengal,1978-1979,75.3
India,1978-1979,612.0
Assam,1979-1980,3.3
Bihar,1979-1980,182.0
Madhya Pradesh,1979-1980,76.7
Maharashtra,1979-1980,25.0
West Bengal,1979-1980,64.4
India,1979-1980,348.1
Assam,1980-1981,3.8
Bihar,1980-1981,277.4
Madhya Pradesh,1980-1981,220.3
Maharashtra,1980-1981,14.5
West Bengal,1980-1981,49.5
India,1980-1981,561.7
Bihar,1981-1982,258.0
Madhya Pradesh,1981-1982,173.1
Maharashtra,1981-1982,21.1
West Bengal,1981-1982,45.8
India,1981-1982,498.0
Bihar,1982-1983,249.4
Madhya Pradesh,1982-1983,230.3
Maharashtra,1982-1983,26.0
West Bengal,1982-1983,43.6
India,1982-1983,549.3
Bihar,1983-1984,250.6
Madhya Pradesh,1983-1984,180.7
Maharashtra,1983-1984,20.7
West Bengal,1983-1984,52.2
India,1983-1984,504.2
Bihar,1984-1985,284.7
Madhya Pradesh,1984-1985,211.7
Maharashtra,1984-1985,24.5
West Bengal,1984-1985,63.5
India,1984-1985,584.4
Bihar,1985-1986,284.7
Madhya Pradesh,1985-1986,211.7
Maharashtra,1985-1986,24.5
West Bengal,1985-1986,63.5
India,1985-1986,584.4
Bihar,1986-1987,265.4
Madhya Pradesh,1986-1987,166.1
Maharashtra,1986-1987,16.9
West Bengal,1986-1987,37.8
India,1986-1987,486.2
Bihar,1987-1988,233.5
Madhya Pradesh,1987-1988,197.9
Maharashtra,1987-1988,18.5
West Bengal,1987-1988,35.9
India,1987-1988,485.8
Bihar,1988-1989,219.1
Madhya Pradesh,1988-1989,162.1
Maharashtra,1988-1989,24.4
West Bengal,1988-1989,35.2
India,1988-1989,440.8
Bihar,1989-1990,223.2
Madhya Pradesh,1989-1990,202.2
Maharashtra,1989-1990,19.7
West Bengal,1989-1990,35.0
India,1989-1990,480.1
Bihar,1990-1991,240.2
Madhya Pradesh,1990-1991,278.1
Maharashtra,1990-1991,14.2
West Bengal,1990-1991,29.1
India,1990-1991,561.6
Bihar,1991-1992,212.1
Madhya Pradesh,1991-1992,329.8
Maharashtra,1991-1992,4.2
West Bengal,1991-1992,25.3
India,1991-1992,571.4
Bihar,1992-1993,169.1
Madhya Pradesh,1992-1993,290.1
Maharashtra,1992-1993,8.1
West Bengal,1992-1993,43.1
India,1992-1993,510.4
Bihar,1993-1994,186.8
Madhya Pradesh,1993-1994,376.7
Maharashtra,1993-1994,16.9
West Bengal,1993-1994,40.1
India,1993-1994,620.5
Bihar,1994-1995,194.5
Madhya Pradesh,1994-1995,359.6
Maharashtra,1994-1995,21.3
West Bengal,1994-1995,20.8
India,1994-1995,596.2
Bihar,1995-1996,115.2
Madhya Pradesh,1995-1996,254.8
Maharashtra,1995-1996,20.8
West Bengal,1995-1996,30.9
India,1995-1996,421.7
Bihar,1996-1997,158.4
Madhya Pradesh,1996-1997,337.7
Maharashtra,1996-1997,22.6
West Bengal,1996-1997,32.2
India,1996-1997,550.9
Bihar,1997-1998,155.2
Madhya Pradesh,1997-1998,43.2
Maharashtra,1997-1998,16.6
West Bengal,1997-1998,28.5
India,1997-1998,243.5
Bihar,1998-1999,147.7
Madhya Pradesh,1998-1999,228.0
Maharashtra,1998-1999,16.1
West Bengal,1998-1999,20.9
India,1998-1999,412.7
Bihar,1999-2000,168.5
Madhya Pradesh,1999-2000,344.1
Maharashtra,1999-2000,21.0
West Bengal,1999-2000,39.7
India,1999-2000,573.3
Bihar,2000-2001,143.7
Chhattisgarh,2000-2001,108.9
Madhya Pradesh,2000-2001,29.7
Maharashtra,2000-2001,9.0
West Bengal,2000-2001,42.6
India,2000-2001,333.9
Bihar,2001-2002,129.7
Chhattisgarh,2001-2002,230.5
Madhya Pradesh,2001-2002,38.2
Maharashtra,2001-2002,16.0
West Bengal,2001-2002,28.7
India,2001-2002,443.1
Bihar,2002-2003,114.7
Chhattisgarh,2002-2003,170.3
Madhya Pradesh,2002-2003,33.7
Maharashtra,2002-2003,9.0
West Bengal,2002-2003,27.1
India,2002-2003,354.8
Bihar,2003-2004,122.6
Chhattisgarh,2003-2004,278.8
Madhya Pradesh,2003-2004,38.4
Maharashtra,2003-2004,12.0
West Bengal,2003-2004,40.9
India,2003-2004,492.7
Bihar,2004-2005,79.7
Chhattisgarh,2004-2005,158.1
Madhya Pradesh,2004-2005,27.1
Maharashtra,2004-2005,5.8
West Bengal,2004-2005,33.3
India,2004-2005,304.0
Bihar,2005-2006,78.6
Chhattisgarh,2005-2006,194.2
Madhya Pradesh,2005-2006,27.8
Maharashtra,2005-2006,14.8
West Bengal,2005-2006,30.4
India,2005-2006,345.8
Bihar,2006-2007,87.6
Chhattisgarh,2006-2007,220.5
Madhya Pradesh,2006-2007,30.0
Maharashtra,2006-2007,15.2
West Bengal,2006-2007,30.5
India,2006-2007,383.8
Bihar,2007-2008,91.3
Chhattisgarh,2007-2008,234.3
Madhya Pradesh,2007-2008,25.3
Maharashtra,2007-2008,7.0
West Bengal,2007-2008,26.9
India,2007-2008,384.8
Bihar,2008-2009,79.8
Chhattisgarh,2008-2009,202.8
Madhya Pradesh,2008-2009,35.5
Maharashtra,2008-2009,4.0
West Bengal,2008-2009,17.4
India,2008-2009,339.5
Bihar,2009-2010,79.8
Chhattisgarh,2009-2010,202.8
Madhya Pradesh,2009-2010,35.5
Maharashtra,2009-2010,4.0
West Bengal,2009-2010,17.4
India,2009-2010,339.5
Bihar,2010-2011,73.7
Chhattisgarh,2010-2011,212.4
Madhya Pradesh,2010-2011,27.4
Maharashtra,2010-2011,8.0
West Bengal,2010-2011,30.2
India,2010-2011,351.7
Bihar,2011-2012,92.1
Chhattisgarh,2011-2012,172.3
Madhya Pradesh,2011-2012,33.8
Maharashtra,2011-2012,5.5
West Bengal,2011-2012,15.4
India,2011-2012,319.1
Bihar,2012-2013,84.0
Chhattisgarh,2012-2013,271.0
Madhya Pradesh,2012-2013,36.0
Maharashtra,2012-2013,6.0
West Bengal,2012-2013,35.0
India,2012-2013,431.0
Bihar,2013-2014,71.0
Chhattisgarh,2013-2014,176.0
West Bengal,2013-2014,38.0
India,2013-2014,285.0
Bihar,2014-2015,70.0
Chhattisgarh,2014-2015,341.0
Maharashtra,2014-2015,5.0
West Bengal,2014-2015,41.0
India,2014-2015,456.0
Bihar,2015-2016,50.99
Chhattisgarh,2015-2016,198.4
West Bengal,2015-2016,84.0
India,2015-2016,333.39
Bihar,2016-2017,55.18
Chhattisgarh,2016-2017,288.8
West Bengal,2016-2017,69.0
India,2016-2017,412.98
Bihar,2017-2018,50.31
Chhattisgarh,2017-2018,128.51
West Bengal,2017-2018,108.3
India,2017-2018,287.12
Bihar,2018-2019,51.38
Chhattisgarh,2018-2019,113.56
West Bengal,2018-2019,72.9
India,2018-2019,237.84
Bihar,2019-2020,33.29
Chhattisgarh,2019-2020,67.22
West Bengal,2019-2020,85.93
India,2019-2020,186.44
Bihar,2020-2021,42.8
Chhattisgarh,2020-2021,95.96
West Bengal,2020-2021,118.4
India,2020-2021,257.16
