State,Year,Value
Andhra Pradesh,1976-1977,22.00
Bihar,1976-1977,37.00
Himachal Pradesh,1976-1977,3.00
Jammu & Kashmir,1976-1977,1.00
Karnataka,1976-1977,97.00
Madhya Pradesh,1976-1977,46.00
Maharashtra,1976-1977,90.00
Odisha,1976-1977,4.00
Tamil Nadu,1976-1977,46.00
India,1976-1977,345.00
Andhra Pradesh,1977-1978,33.00
Bihar,1977-1978,49.00
Himachal Pradesh,1977-1978,2.00
Jammu & Kashmir,1977-1978,1.00
Karnataka,1977-1978,216.00
Madhya Pradesh,1977-1978,56.00
Maharashtra,1977-1978,79.00
Odisha,1977-1978,4.00
Tamil Nadu,1977-1978,46.00
India,1977-1978,486.00
Andhra Pradesh,1978-1979,29.00
Bihar,1978-1979,51.00
Himachal Pradesh,1978-1979,3.00
Jammu & Kashmir,1978-1979,1.00
Karnataka,1978-1979,241.00
Madhya Pradesh,1978-1979,53.00
Maharashtra,1978-1979,72.00
Odisha,1978-1979,5.00
Tamil Nadu,1978-1979,49.00
India,1978-1979,503.00
Andhra Pradesh,1979-1980,24.00
Bihar,1979-1980,42.00
Himachal Pradesh,1979-1980,1.00
Jammu & Kashmir,1979-1980,1.00
Karnataka,1979-1980,201.00
Madhya Pradesh,1979-1980,38.00
Maharashtra,1979-1980,79.00
Odisha,1979-1980,4.00
Tamil Nadu,1979-1980,46.00
India,1979-1980,435.00
Andhra Pradesh,1980-1981,15.00
Bihar,1980-1981,36.00
Himachal Pradesh,1980-1981,1.00
Jammu & Kashmir,1980-1981,1.00
Karnataka,1980-1981,159.00
Madhya Pradesh,1980-1981,45.00
Maharashtra,1980-1981,55.00
Odisha,1980-1981,6.00
Tamil Nadu,1980-1981,38.00
India,1980-1981,355.00
Andhra Pradesh,1981-1982,28.00
Bihar,1981-1982,45.00
Himachal Pradesh,1981-1982,1.00
Jammu & Kashmir,1981-1982,1.00
Karnataka,1981-1982,216.00
Madhya Pradesh,1981-1982,51.00
Maharashtra,1981-1982,60.00
Odisha,1981-1982,1.00
Tamil Nadu,1981-1982,36.00
India,1981-1982,438.00
Andhra Pradesh,1982-1983,35.00
Bihar,1982-1983,35.00
Himachal Pradesh,1982-1983,0.00
Jammu & Kashmir,1982-1983,1.00
Karnataka,1982-1983,151.00
Madhya Pradesh,1982-1983,43.00
Maharashtra,1982-1983,49.00
Odisha,1982-1983,6.00
Tamil Nadu,1982-1983,77.00
India,1982-1983,396.00
Andhra Pradesh,1983-1984,31.00
Bihar,1983-1984,41.00
Himachal Pradesh,1983-1984,1.00
Jammu & Kashmir,1983-1984,1.00
Karnataka,1983-1984,197.00
Madhya Pradesh,1983-1984,55.00
Maharashtra,1983-1984,91.00
Tamil Nadu,1983-1984,61.00
India,1983-1984,476.00
Andhra Pradesh,1984-1985,18.00
Bihar,1984-1985,43.00
Himachal Pradesh,1984-1985,2.00
Jammu & Kashmir,1984-1985,1.00
Karnataka,1984-1985,123.00
Madhya Pradesh,1984-1985,44.00
Maharashtra,1984-1985,81.00
