State,Year,Value
Andhra Pradesh,1976-1977,42.00
Karnataka,1976-1977,13.00
Madhya Pradesh,1976-1977,1.00
Maharashtra,1976-1977,3.00
Odisha,1976-1977,75.00
West Bengal,1976-1977,2.00
India,1976-1977,136.00
Andhra Pradesh,1977-1978,52.00
Karnataka,1977-1978,17.00
Madhya Pradesh,1977-1978,2.00
Maharashtra,1977-1978,2.00
Odisha,1977-1978,139.00
West Bengal,1977-1978,2.00
India,1977-1978,214.00
Andhra Pradesh,1978-1979,60.00
Karnataka,1978-1979,18.00
Madhya Pradesh,1978-1979,3.00
Maharashtra,1978-1979,3.00
Odisha,1978-1979,151.00
West Bengal,1978-1979,2.00
India,1978-1979,237.00
Andhra Pradesh,1979-1980,50.00
Bihar,1979-1980,59.00
Kerala,1979-1980,8.00
Madhya Pradesh,1979-1980,2.00
Maharashtra,1979-1980,3.00
Odisha,1979-1980,107.00
West Bengal,1979-1980,2.00
India,1979-1980,230.00
Andhra Pradesh,1980-1981,46.00
Karnataka,1980-1981,44.00
Kerala,1980-1981,11.00
Madhya Pradesh,1980-1981,3.00
Maharashtra,1980-1981,2.00
Odisha,1980-1981,155.00
West Bengal,1980-1981,1.00
India,1980-1981,262.00
Andhra Pradesh,1981-1982,49.00
Karnataka,1981-1982,60.00
Kerala,1981-1982,10.00
Madhya Pradesh,1981-1982,3.00
Maharashtra,1981-1982,3.00
Odisha,1981-1982,155.00
West Bengal,1981-1982,2.00
India,1981-1982,282.00
Andhra Pradesh,1982-1983,61.00
Karnataka,1982-1983,32.00
Kerala,1982-1983,12.00
Madhya Pradesh,1982-1983,3.00
Maharashtra,1982-1983,2.00
Odisha,1982-1983,132.00
West Bengal,1982-1983,3.00
India,1982-1983,244.00
Andhra Pradesh,1983-1984,51.00
Karnataka,1983-1984,54.00
Kerala,1983-1984,12.00
Madhya Pradesh,1983-1984,3.00
Maharashtra,1983-1984,4.00
Odisha,1983-1984,155.00
West Bengal,1983-1984,2.00
India,1983-1984,282.00
Andhra Pradesh,1984-1985,43.00
Karnataka,1984-1985,47.00
Kerala,1984-1985,12.00
Madhya Pradesh,1984-1985,3.00
Maharashtra,1984-1985,3.00
Odisha,1984-1985,143.00
West Bengal,1984-1985,3.00
India,1984-1985,254.00
Andhra Pradesh,1985-1986,43.00
Karnataka,1985-1986,52.00
Kerala,1985-1986,17.00
Madhya Pradesh,1985-1986,3.00
Maharashtra,1985-1986,3.00
Odisha,1985-1986,161.00
West Bengal,1985-1986,4.00
India,1985-1986,282.00
Andhra Pradesh,1986-1987,42.00
Karnataka,1986-1987,67.00
Kerala,1986-1987,12.00
Madhya Pradesh,1986-1987,2.00
Maharashtra,1986-1987,3.00
Odisha,1986-1987,157.00
West Bengal,1986-1987,4.00
India,1986-1987,287.00
Andhra Pradesh,1987-1988,37.00
Karnataka,1987-1988,75.00
Kerala,1987-1988,12.00
Madhya Pradesh,1987-1988,2.00
Maharashtra,1987-1988,2.00
Odisha,1987-1988,200.00
West Bengal,1987-1988,5.00
India,1987-1988,333.00
Andhra Pradesh,1988-1989,23.00
Karnataka,1988-1989,30.00
Kerala,1988-1989,11.00
Madhya Pradesh,1988-1989,2.00
Maharashtra,1988-1989,7.00
Odisha,1988-1989,205.00
India,1988-1989,278.00
Andhra Pradesh,1989-1990,26.00
Karnataka,1989-1990,43.00
Kerala,1989-1990,11.00
Madhya Pradesh,1989-1990,2.00
Maharashtra,1989-1990,7.00
Odisha,1989-1990,203.00
West Bengal,1989-1990,4.00
India,1989-1990,296.00
Andhra Pradesh,1990-1991,34.00
Karnataka,1990-1991,29.00
Kerala,1990-1991,11.00
