State,Year,Value
Andhra Pradesh,1976-1977,64.00
Bihar,1976-1977,37.00
Himachal Pradesh,1976-1977,3.00
Jammu & Kashmir,1976-1977,1.00
Karnataka,1976-1977,110.00
Madhya Pradesh,1976-1977,47.00
Maharashtra,1976-1977,92.00
Odisha,1976-1977,79.00
Tamil Nadu,1976-1977,46.00
West Bengal,1976-1977,2.00
India,1976-1977,482.00
Andhra Pradesh,1977-1978,85.00
Bihar,1977-1978,49.00
Himachal Pradesh,1977-1978,2.00
Jammu & Kashmir,1977-1978,1.00
Karnataka,1977-1978,232.00
Madhya Pradesh,1977-1978,59.00
Maharashtra,1977-1978,81.00
Odisha,1977-1978,143.00
Tamil Nadu,1977-1978,46.00
West Bengal,1977-1978,2.00
India,1977-1978,700.00
Andhra Pradesh,1978-1979,89.00
Bihar,1978-1979,51.00
Himachal Pradesh,1978-1979,3.00
Jammu & Kashmir,1978-1979,1.00
Karnataka,1978-1979,260.00
Madhya Pradesh,1978-1979,55.00
Maharashtra,1978-1979,75.00
Odisha,1978-1979,156.00
Tamil Nadu,1978-1979,49.00
West Bengal,1978-1979,2.00
India,1978-1979,740.00
Andhra Pradesh,1979-1980,74.00
Bihar,1979-1980,100.00
Himachal Pradesh,1979-1980,1.00
Jammu & Kashmir,1979-1980,1.00
Karnataka,1979-1980,201.00
Kerala,1979-1980,8.00
Madhya Pradesh,1979-1980,40.00
Maharashtra,1979-1980,82.00
Odisha,1979-1980,111.00
Tamil Nadu,1979-1980,46.00
West Bengal,1979-1980,2.00
India,1979-1980,665.00
Andhra Pradesh,1980-1981,61.00
Bihar,1980-1981,36.00
Himachal Pradesh,1980-1981,1.00
Jammu & Kashmir,1980-1981,1.00
Karnataka,1980-1981,203.00
Kerala,1980-1981,11.00
Madhya Pradesh,1980-1981,48.00
Maharashtra,1980-1981,57.00
Odisha,1980-1981,160.00
Tamil Nadu,1980-1981,38.00
West Bengal,1980-1981,1.00
India,1980-1981,616.00
Andhra Pradesh,1981-1982,78.00
Bihar,1981-1982,45.00
Himachal Pradesh,1981-1982,1.00
Jammu & Kashmir,1981-1982,1.00
Karnataka,1981-1982,276.00
Kerala,1981-1982,10.00
Madhya Pradesh,1981-1982,53.00
Maharashtra,1981-1982,63.00
Odisha,1981-1982,155.00
Tamil Nadu,1981-1982,36.00
West Bengal,1981-1982,2.00
India,1981-1982,720.00
Andhra Pradesh,1982-1983,96.00
Bihar,1982-1983,35.00
Himachal Pradesh,1982-1983,0.00
Jammu & Kashmir,1982-1983,1.00
Karnataka,1982-1983,183.00
Kerala,1982-1983,12.00
Madhya Pradesh,1982-1983,46.00
Maharashtra,1982-1983,51.00
Odisha,1982-1983,138.00
Tamil Nadu,1982-1983,77.00
West Bengal,1982-1983,3.00
India,1982-1983,640.00
Andhra Pradesh,1983-1984,82.00
Bihar,1983-1984,41.00
Himachal Pradesh,1983-1984,1.00
Jammu & Kashmir,1983-1984,1.00
Karnataka,1983-1984,251.00
Kerala,1983-1984,12.00
Madhya Pradesh,1983-1984,58.00
Maharashtra,1983-1984,95.00
Odisha,1983-1984,155.00
Tamil Nadu,1983-1984,61.00
West Bengal,1983-1984,2.00
India,1983-1984,758.00
Andhra Pradesh,1984-1985,61.00
Bihar,1984-1985,43.00
Himachal Pradesh,1984-1985,2.00
Jammu & Kashmir,1984-1985,1.00
Karnataka,1984-1985,169.00
Kerala,1984-1985,12.00
Madhya Pradesh,1984-1985,47.00
Maharashtra,1984-1985,84.00
Odisha,1984-1985,146.00
Tamil Nadu,1984-1985,61.00
West Bengal,1984-1985,3.00
India,1984-1985,629.00
Andhra Pradesh,1985-1986,64.00
Bihar,1985-1986,46.00
Himachal Pradesh,1985-1986,2.00
Jammu & Kashmir,1985-1986,1.00
Karnataka,1985-1986,123.00
Kerala,1985-1986,17.00
Madhya Pradesh,1985-1986,43.00
Maharashtra,1985-1986,78.00
Odisha,1985-1986,169.00
Tamil Nadu,1985-1986,64.00
West Bengal,1985-1986,4.00
India,1985-1986,610.00
Andhra Pradesh,1986-1987,42.00
Bihar,1986-1987,43.00
Himachal Pradesh,1986-1987,1.00
Jammu & Kashmir,1986-1987,1.00
Karnataka,1986-1987,186.00
Kerala,1986-1987,12.00
Madhya Pradesh,1986-1987,2.00
Maharashtra,1986-1987,3.00
Odisha,1986-1987,157.00
Tamil Nadu,1986-1987,54.00
West Bengal,1986-1987,4.00
India,1986-1987,505.00
Andhra Pradesh,1987-1988,53.00
Bihar,1987-1988,30.00
Himachal Pradesh,1987-1988,1.00
Jammu & Kashmir,1987-1988,-
Karnataka,1987-1988,203.00
Kerala,1987-1988,12.00
Madhya Pradesh,1987-1988,39.00
Maharashtra,1987-1988,70.00
Odisha,1987-1988,208.00
Tamil Nadu,1987-1988,72.00
West Bengal,1987-1988,5.00
India,1987-1988,692.00
Andhra Pradesh,1988-1989,35.00
Bihar,1988-1989,34.00
Himachal Pradesh,1988-1989,1.00
Karnataka,1988-1989,92.00
Kerala,1988-1989,11.00
Madhya Pradesh,1988-1989,46.00
Maharashtra,1988-1989,76.00
Odisha,1988-1989,205.00
Tamil Nadu,1988-1989,54.00
India,1988-1989,555.00
Andhra Pradesh,1989-1990,41.00
Bihar,1989-1990,34.00
Himachal Pradesh,1989-1990,1.00
