State,Year,Value
Arunachal Pradesh,2018-2019,0.35
Assam,2018-2019,19.57
Bihar,2018-2019,148.06
Chhattisgarh,2018-2019,4.97
Haryana,2018-2019,0.79
Himachal Pradesh,2018-2019,0.43
Jharkhand,2018-2019,50.10
Madhya Pradesh,2018-2019,329.64
Manipur,2018-2019,0.70
Meghalaya,2018-2019,1.39
Nagaland,2018-2019,1.79
Odisha,2018-2019,5.14
Punjab,2018-2019,0.48
Rajasthan,2018-2019,23.01
Tripura,2018-2019,1.88
Uttarakhand,2018-2019,9.70
Uttar Pradesh,2018-2019,488.38
West Bengal,2018-2019,141.44
India,2018-2019,1227.82
Arunachal Pradesh,2019-2020,0.36
Assam,2019-2020,18.43
Bihar,2019-2020,90.12
Chhattisgarh,2019-2020,4.46
Haryana,2019-2020,0.90
Himachal Pradesh,2019-2020,0.46
Jammu & Kashmir,2019-2020,0.27
Jharkhand,2019-2020,52.91
Madhya Pradesh,2019-2020,294.48
Manipur,2019-2020,0.61
Nagaland,2019-2020,1.82
Odisha,2019-2020,4.94
Punjab,2019-2020,0.43
Rajasthan,2019-2020,23.40
Tripura,2019-2020,1.66
Uttarakhand,2019-2020,11.15
Uttar Pradesh,2019-2020,452.81
West Bengal,2019-2020,143.81
India,2019-2020,1103.03
Arunachal Pradesh,2020-2021,0.36
Assam,2020-2021,16.96
Bihar,2020-2021,124.52
Chhattisgarh,2020-2021,5.82
Haryana,2020-2021,0.91
Himachal Pradesh,2020-2021,0.20
Jammu & Kashmir,2020-2021,0.29
Jharkhand,2020-2021,63.75
Madhya Pradesh,2020-2021,615.17
Manipur,2020-2021,0.75
Nagaland,2020-2021,1.82
Odisha,2020-2021,4.76
Punjab,2020-2021,0.36
Rajasthan,2020-2021,26.82
Tripura,2020-2021,1.14
Uttarakhand,2020-2021,9.01
Uttar Pradesh,2020-2021,478.61
West Bengal,2020-2021,142.61
India,2020-2021,1493.85
Arunachal Pradesh,2021-2022,0.37
Assam,2021-2022,18.49
Bihar,2021-2022,124.23
Chhattisgarh,2021-2022,5.14
Haryana,2021-2022,0.49
Himachal Pradesh,2021-2022,0.42
Jammu & Kashmir,2021-2022,0.14
Jharkhand,2021-2022,57.60
Madhya Pradesh,2021-2022,442.31
Manipur,2021-2022,0.91
Nagaland,2021-2022,0.13
Odisha,2021-2022,6.15
Punjab,2021-2022,0.28
Rajasthan,2021-2022,22.18
Tripura,2021-2022,0.56
Uttarakhand,2021-2022,7.88
Uttar Pradesh,2021-2022,466.34
West Bengal,2021-2022,115.21
India,2021-2022,1268.83
