State,Year,Value
Andhra Pradesh,1996-1997,174.00
Bihar,1996-1997,4.00
Gujarat,1996-1997,66.00
Haryana,1996-1997,6.00
Jammu & Kashmir,1996-1997,1.00
Karnataka,1996-1997,56.00
Kerala,1996-1997,0.00
Madhya Pradesh,1996-1997,39.00
Maharashtra,1996-1997,339.00
Odisha,1996-1997,18.00
Punjab,1996-1997,43.00
Rajasthan,1996-1997,246.00
Tamil Nadu,1996-1997,19.00
Tripura,1996-1997,1.00
Uttar Pradesh,1996-1997,9.00
West Bengal,1996-1997,1.00
India,1996-1997,1020.00
Andhra Pradesh,1997-1998,81.00
Bihar,1997-1998,4.00
Gujarat,1997-1998,101.00
Haryana,1997-1998,7.00
Jammu & Kashmir,1997-1998,1.00
Karnataka,1997-1998,32.00
Kerala,1997-1998,3.00
Madhya Pradesh,1997-1998,37.00
Maharashtra,1997-1998,191.00
Odisha,1997-1998,30.00
Punjab,1997-1998,32.00
Rajasthan,1997-1998,164.00
Tamil Nadu,1997-1998,17.00
Tripura,1997-1998,1.00
Uttar Pradesh,1997-1998,8.00
West Bengal,1997-1998,1.00
India,1997-1998,710.00
Andhra Pradesh,1998-1999,163.00
Bihar,1998-1999,4.00
Gujarat,1998-1999,69.00
Haryana,1998-1999,5.00
Jammu & Kashmir,1998-1999,1.00
Karnataka,1998-1999,61.00
Kerala,1998-1999,3.00
Madhya Pradesh,1998-1999,35.00
Maharashtra,1998-1999,376.00
Odisha,1998-1999,23.00
Punjab,1998-1999,26.00
Rajasthan,1998-1999,59.00
Tamil Nadu,1998-1999,32.00
Tripura,1998-1999,-
Uttar Pradesh,1998-1999,6.00
West Bengal,1998-1999,-
India,1998-1999,862.00
Andhra Pradesh,1999-2000,175.00
Bihar,1999-2000,6.00
Gujarat,1999-2000,26.00
Haryana,1999-2000,2.00
Himachal Pradesh,1999-2000,-
Jammu & Kashmir,1999-2000,1.00
Karnataka,1999-2000,130.00
Kerala,1999-2000,2.00
Madhya Pradesh,1999-2000,31.00
Maharashtra,1999-2000,306.00
Odisha,1999-2000,25.00
Punjab,1999-2000,23.00
Rajasthan,1999-2000,41.00
Tamil Nadu,1999-2000,26.00
Tripura,1999-2000,-
Uttar Pradesh,1999-2000,8.00
West Bengal,1999-2000,-
India,1999-2000,803.00
Andhra Pradesh,2000-2001,141.00
Bihar,2000-2001,5.00
Chhattisgarh,2000-2001,3.00
Gujarat,2000-2001,38.00
Haryana,2000-2001,2.00
Jammu & Kashmir,2000-2001,1.00
Jharkhand,2000-2001,1.00
Karnataka,2000-2001,181.00
Kerala,2000-2001,1.00
Madhya Pradesh,2000-2001,22.00
Maharashtra,2000-2001,244.00
Odisha,2000-2001,16.00
Punjab,2000-2001,18.00
Rajasthan,2000-2001,79.00
Tamil Nadu,2000-2001,24.00
Tripura,2000-2001,1.00
Uttar Pradesh,2000-2001,9.00
West Bengal,2000-2001,-
India,2000-2001,786.00
Andhra Pradesh,2001-2002,113.00
Bihar,2001-2002,4.00
Chhattisgarh,2001-2002,3.00
Gujarat,2001-2002,77.00
Haryana,2001-2002,4.00
Jammu & Kashmir,2001-2002,1.00
Karnataka,2001-2002,65.00
Kerala,2001-2002,1.00
Madhya Pradesh,2001-2002,29.00
Maharashtra,2001-2002,291.00
Odisha,2001-2002,28.00
Punjab,2001-2002,11.00
Rajasthan,2001-2002,207.00
Tamil Nadu,2001-2002,25.00
Tripura,2001-2002,-
Uttar Pradesh,2001-2002,8.00
West Bengal,2001-2002,-
India,2001-2002,867.00
Andhra Pradesh,2002-2003,87.00
Bihar,2002-2003,6.00
Chhattisgarh,2002-2003,2.00
Gujarat,2002-2003,32.00
Haryana,2002-2003,4.00
Jammu & Kashmir,2002-2003,1.00
Jharkhand,2002-2003,5.00
Karnataka,2002-2003,26.00
Madhya Pradesh,2002-2003,23.00
Maharashtra,2002-2003,376.00
Odisha,2002-2003,14.00
Punjab,2002-2003,11.00
Rajasthan,2002-2003,33.00
Tamil Nadu,2002-2003,11.00
Tripura,2002-2003,-
Uttar Pradesh,2002-2003,6.00
West Bengal,2002-2003,-
India,2002-2003,638.00
Andhra Pradesh,2003-2004,244.00
Bihar,2003-2004,4.00
Chhattisgarh,2003-2004,3.00
Gujarat,2003-2004,121.00
Haryana,2003-2004,4.00
Jammu & Kashmir,2003-2004,1.00
Jharkhand,2003-2004,5.00
Karnataka,2003-2004,40.00
Madhya Pradesh,2003-2004,31.00
Maharashtra,2003-2004,391.00
Odisha,2003-2004,29.00
Punjab,2003-2004,16.00
Rajasthan,2003-2004,514.00
Tamil Nadu,2003-2004,16.00
Tripura,2003-2004,-
Uttar Pradesh,2003-2004,8.00
West Bengal,2003-2004,-
India,2003-2004,1427.00
Andhra Pradesh,2004-2005,111.00
Bihar,2004-2005,4.00
Chhattisgarh,2004-2005,3.00
Gujarat,2004-2005,72.00
Haryana,2004-2005,11.00
Jammu & Kashmir,2004-2005,1.00
Jharkhand,2004-2005,6.00
Karnataka,2004-2005,82.00
Madhya Pradesh,2004-2005,28.00
Maharashtra,2004-2005,228.00
Odisha,2004-2005,22.00
Punjab,2004-2005,12.00
Rajasthan,2004-2005,205.00
Tamil Nadu,2004-2005,16.00
Tripura,2004-2005,1.00
Uttar Pradesh,2004-2005,9.00
West Bengal,2004-2005,0.00
India,2004-2005,810.00
Andhra Pradesh,2005-2006,125.00
Bihar,2005-2006,5.00
Chhattisgarh,2005-2006,3.00
Gujarat,2005-2006,54.00
Haryana,2005-2006,6.00
Jammu & Kashmir,2005-2006,1.00
Jharkhand,2005-2006,6.00
Karnataka,2005-2006,87.00
Kerala,2005-2006,1.00
Madhya Pradesh,2005-2006,25.00
Maharashtra,2005-2006,189.00
Odisha,2005-2006,24.00
Punjab,2005-2006,10.00
Rajasthan,2005-2006,130.00
Tamil Nadu,2005-2006,14.00
Tripura,2005-2006,1.00
Uttar Pradesh,2005-2006,8.00
West Bengal,2005-2006,-
India,2005-2006,687.00
Andhra Pradesh,2006-2007,80.00
Bihar,2006-2007,6.00
Chhattisgarh,2006-2007,3.00
Gujarat,2006-2007,64.00
Haryana,2006-2007,8.00
Himachal Pradesh,2006-2007,-
Jammu & Kashmir,2006-2007,1.00
Jharkhand,2006-2007,14.00
Karnataka,2006-2007,52.00
Kerala,2006-2007,1.00
Madhya Pradesh,2006-2007,26.00
Maharashtra,2006-2007,236.00
Odisha,2006-2007,23.00
Punjab,2006-2007,11.00
Rajasthan,2006-2007,270.00
Tamil Nadu,2006-2007,25.00
Tripura,2006-2007,-
Uttar Pradesh,2006-2007,17.00
West Bengal,2006-2007,0.00
India,2006-2007,835.00
Andhra Pradesh,2007-2008,140.00
Bihar,2007-2008,6.00
Chhattisgarh,2007-2008,3.00
Gujarat,2007-2008,114.00
Haryana,2007-2008,8.00
Himachal Pradesh,2007-2008,-
Jammu & Kashmir,2007-2008,-
Jharkhand,2007-2008,9.00
Karnataka,2007-2008,108.00
Kerala,2007-2008,1.00
Madhya Pradesh,2007-2008,26.00
Maharashtra,2007-2008,367.00
Odisha,2007-2008,24.00
Punjab,2007-2008,8.00
Rajasthan,2007-2008,417.00
Tamil Nadu,2007-2008,15.00
Uttar Pradesh,2007-2008,6.00
West Bengal,2007-2008,-
India,2007-2008,1251.00
Andhra Pradesh,2008-2009,92.00
Bihar,2008-2009,6.00
Chhattisgarh,2008-2009,2.00
Gujarat,2008-2009,70.00
Haryana,2008-2009,7.00
Jammu & Kashmir,2008-2009,1.00
Jharkhand,2008-2009,9.00
Karnataka,2008-2009,35.00
Kerala,2008-2009,1.00
Madhya Pradesh,2008-2009,27.00
Maharashtra,2008-2009,106.00
Odisha,2008-2009,24.00
Punjab,2008-2009,8.00
Rajasthan,2008-2009,373.00
Tamil Nadu,2008-2009,7.00
Uttar Pradesh,2008-2009,11.00
West Bengal,2008-2009,0.00
India,2008-2009,779.00
