State,Year,Value
Andhra Pradesh,1996-1997,57.00
Assam,1996-1997,3.00
Bihar,1996-1997,103.00
Gujarat,1996-1997,1.00
Karnataka,1996-1997,5.00
Kerala,1996-1997,2.00
Madhya Pradesh,1996-1997,12.00
Maharashtra,1996-1997,22.00
Odisha,1996-1997,1.00
Puducherry,1996-1997,-
Rajasthan,1996-1997,25.00
Tamil Nadu,1996-1997,-
Uttar Pradesh,1996-1997,63.00
West Bengal,1996-1997,5.00
India,1996-1997,299.00
Andhra Pradesh,1997-1998,53.00
Assam,1997-1998,4.00
Bihar,1997-1998,89.00
Gujarat,1997-1998,2.00
Karnataka,1997-1998,4.00
Madhya Pradesh,1997-1998,2.00
Maharashtra,1997-1998,5.00
Odisha,1997-1998,22.00
Puducherry,1997-1998,1.00
Tamil Nadu,1997-1998,22.00
Uttar Pradesh,1997-1998,34.00
West Bengal,1997-1998,5.00
India,1997-1998,240.00
Andhra Pradesh,1998-1999,54.00
Assam,1998-1999,4.00
Bihar,1998-1999,122.00
Gujarat,1998-1999,2.00
Karnataka,1998-1999,7.00
Madhya Pradesh,1998-1999,2.00
Maharashtra,1998-1999,6.00
Odisha,1998-1999,22.00
Puducherry,1998-1999,1.00
Tamil Nadu,1998-1999,35.00
Tripura,1998-1999,-
Uttar Pradesh,1998-1999,42.00
West Bengal,1998-1999,5.00
India,1998-1999,300.00
Andhra Pradesh,1999-2000,36.00
Assam,1999-2000,4.00
Bihar,1999-2000,95.00
Gujarat,1999-2000,3.00
Karnataka,1999-2000,4.00
Madhya Pradesh,1999-2000,3.00
Maharashtra,1999-2000,8.00
Odisha,1999-2000,14.00
Puducherry,1999-2000,1.00
Tamil Nadu,1999-2000,51.00
Uttar Pradesh,1999-2000,50.00
West Bengal,1999-2000,9.00
India,1999-2000,275.00
Andhra Pradesh,2000-2001,43.00
Assam,2000-2001,3.00
Bihar,2000-2001,103.00
Chhattisgarh,2000-2001,1.00
Gujarat,2000-2001,2.00
Karnataka,2000-2001,4.00
Madhya Pradesh,2000-2001,1.00
Odisha,2000-2001,13.00
Puducherry,2000-2001,1.00
Tamil Nadu,2000-2001,37.00
Uttar Pradesh,2000-2001,24.00
West Bengal,2000-2001,6.00
India,2000-2001,237.00
Andhra Pradesh,2001-2002,42.00
Assam,2001-2002,4.00
Bihar,2001-2002,103.00
Chhattisgarh,2001-2002,2.00
Gujarat,2001-2002,1.00
Karnataka,2001-2002,2.00
Madhya Pradesh,2001-2002,1.00
Maharashtra,2001-2002,6.00
Odisha,2001-2002,24.00
Tamil Nadu,2001-2002,33.00
Uttar Pradesh,2001-2002,22.00
West Bengal,2001-2002,6.00
India,2001-2002,244.00
Andhra Pradesh,2002-2003,30.00
Assam,2002-2003,30.00
Bihar,2002-2003,113.00
Chhattisgarh,2002-2003,2.00
Gujarat,2002-2003,2.00
Karnataka,2002-2003,2.00
Madhya Pradesh,2002-2003,1.00
Maharashtra,2002-2003,6.00
Odisha,2002-2003,24.00
Tamil Nadu,2002-2003,26.00
Uttar Pradesh,2002-2003,18.00
West Bengal,2002-2003,5.00
India,2002-2003,229.00
Andhra Pradesh,2003-2004,68.00
Assam,2003-2004,4.00
Bihar,2003-2004,89.00
Chhattisgarh,2003-2004,2.00
Gujarat,2003-2004,3.00
Karnataka,2003-2004,3.00
Madhya Pradesh,2003-2004,1.00
Maharashtra,2003-2004,4.00
Odisha,2003-2004,31.00
Puducherry,2003-2004,-
Tamil Nadu,2003-2004,38.00
Uttar Pradesh,2003-2004,31.00
West Bengal,2003-2004,4.00
