State,Year,Value
Andhra Pradesh,1996-1997,231.00
Assam,1996-1997,3.00
Bihar,1996-1997,107.00
Gujarat,1996-1997,67.00
Haryana,1996-1997,6.00
Jammu & Kashmir,1996-1997,1.00
Karnataka,1996-1997,60.00
Kerala,1996-1997,3.00
Madhya Pradesh,1996-1997,51.00
Maharashtra,1996-1997,361.00
Odisha,1996-1997,19.00
Punjab,1996-1997,43.00
Puducherry,1996-1997,-
Rajasthan,1996-1997,271.00
Tamil Nadu,1996-1997,19.00
Tripura,1996-1997,1.00
Uttar Pradesh,1996-1997,72.00
West Bengal,1996-1997,6.00
India,1996-1997,1319.00
Andhra Pradesh,1997-1998,134.00
Assam,1997-1998,4.00
Bihar,1997-1998,92.00
Gujarat,1997-1998,103.00
Haryana,1997-1998,7.00
Jammu & Kashmir,1997-1998,1.00
Karnataka,1997-1998,36.00
Kerala,1997-1998,3.00
Madhya Pradesh,1997-1998,39.00
Maharashtra,1997-1998,196.00
Odisha,1997-1998,52.00
Puducherry,1997-1998,1.00
Punjab,1997-1998,32.00
Rajasthan,1997-1998,164.00
Tamil Nadu,1997-1998,39.00
Tripura,1997-1998,1.00
Uttar Pradesh,1997-1998,42.00
West Bengal,1997-1998,6.00
India,1997-1998,950.00
Andhra Pradesh,1998-1999,217.00
Assam,1998-1999,4.00
Bihar,1998-1999,125.00
Gujarat,1998-1999,71.00
Haryana,1998-1999,5.00
Jammu & Kashmir,1998-1999,1.00
Karnataka,1998-1999,68.00
Kerala,1998-1999,3.00
Madhya Pradesh,1998-1999,37.00
Maharashtra,1998-1999,382.00
Odisha,1998-1999,45.00
Punjab,1998-1999,26.00
Rajasthan,1998-1999,59.00
Tamil Nadu,1998-1999,67.00
Tripura,1998-1999,1.00
Uttar Pradesh,1998-1999,47.00
West Bengal,1998-1999,5.00
India,1998-1999,1162.00
Andhra Pradesh,1999-2000,211.00
Assam,1999-2000,4.00
Bihar,1999-2000,101.00
Gujarat,1999-2000,29.00
Haryana,1999-2000,2.00
Himachal Pradesh,1999-2000,-
Jammu & Kashmir,1999-2000,1.00
Karnataka,1999-2000,134.00
Kerala,1999-2000,2.00
Madhya Pradesh,1999-2000,34.00
Maharashtra,1999-2000,314.00
Odisha,1999-2000,39.00
Puducherry,1999-2000,1.00
Punjab,1999-2000,23.00
Rajasthan,1999-2000,41.00
Tamil Nadu,1999-2000,77.00
Tripura,1999-2000,1.00
Uttar Pradesh,1999-2000,58.00
West Bengal,1999-2000,9.00
India,1999-2000,1077.00
Andhra Pradesh,2000-2001,184.00
Assam,2000-2001,3.00
Bihar,2000-2001,108.00
Chhattisgarh,2000-2001,4.00
Gujarat,2000-2001,40.00
Haryana,2000-2001,2.00
Jammu & Kashmir,2000-2001,1.00
Jharkhand,2000-2001,1.00
Karnataka,2000-2001,185.00
Kerala,2000-2001,1.00
Madhya Pradesh,2000-2001,23.00
Maharashtra,2000-2001,244.00
Odisha,2000-2001,29.00
Puducherry,2000-2001,1.00
Punjab,2000-2001,18.00
Rajasthan,2000-2001,79.00
Tamil Nadu,2000-2001,61.00
Tripura,2000-2001,1.00
Uttar Pradesh,2000-2001,33.00
West Bengal,2000-2001,7.00
India,2000-2001,1023.00
Andhra Pradesh,2001-2002,155.00
Assam,2001-2002,4.00
Bihar,2001-2002,107.00
Chhattisgarh,2001-2002,5.00
Gujarat,2001-2002,78.00
Haryana,2001-2002,4.00
Jammu & Kashmir,2001-2002,1.00
Karnataka,2001-2002,67.00
Kerala,2001-2002,1.00
Madhya Pradesh,2001-2002,1.00
Maharashtra,2001-2002,297.00
Odisha,2001-2002,51.00
Punjab,2001-2002,11.00
Rajasthan,2001-2002,207.00
Tamil Nadu,2001-2002,58.00
Tripura,2001-2002,1.00
Uttar Pradesh,2001-2002,30.00
West Bengal,2001-2002,6.00
India,2001-2002,1111.00
Andhra Pradesh,2002-2003,117.00
Assam,2002-2003,30.00
Bihar,2002-2003,119.00
Chhattisgarh,2002-2003,4.00
Gujarat,2002-2003,35.00
Haryana,2002-2003,4.00
Jammu & Kashmir,2002-2003,1.00
Jharkhand,2002-2003,5.00
Karnataka,2002-2003,28.00
Madhya Pradesh,2002-2003,24.00
Maharashtra,2002-2003,382.00
Odisha,2002-2003,38.00
Punjab,2002-2003,11.00
Rajasthan,2002-2003,33.00
Tamil Nadu,2002-2003,37.00
Tripura,2002-2003,-
Uttar Pradesh,2002-2003,24.00
West Bengal,2002-2003,5.00
India,2002-2003,867.00
Andhra Pradesh,2003-2004,312.00
Assam,2003-2004,4.00
Bihar,2003-2004,93.00
Chhattisgarh,2003-2004,5.00
Gujarat,2003-2004,124.00
Haryana,2003-2004,4.00
Jammu & Kashmir,2003-2004,1.00
Jharkhand,2003-2004,5.00
Karnataka,2003-2004,42.00
Madhya Pradesh,2003-2004,32.00
Maharashtra,2003-2004,395.00
Odisha,2003-2004,60.00
Puducherry,2003-2004,-
Punjab,2003-2004,16.00
Rajasthan,2003-2004,514.00
Tamil Nadu,2003-2004,53.00
Tripura,2003-2004,1.00
Uttar Pradesh,2003-2004,39.00
West Bengal,2003-2004,5.00
India,2003-2004,1702.00
Andhra Pradesh,2004-2005,160.00
Assam,2004-2005,4.00
Bihar,2004-2005,100.00
Chhattisgarh,2004-2005,4.00
Gujarat,2004-2005,73.00
Haryana,2004-2005,11.00
Jammu & Kashmir,2004-2005,1.00
Jharkhand,2004-2005,6.00
Karnataka,2004-2005,84.00
Madhya Pradesh,2004-2005,29.00
