State,Year,Value
Haryana,1970-1971,5.00
Jammu & Kashmir,1970-1971,10.00
Maharashtra,1970-1971,41.00
Punjab,1970-1971,1.00
Rajasthan,1970-1971,404.00
Uttar Pradesh,1970-1971,2.00
India,1970-1971,463.00
Haryana,1971-1972,4.00
Jammu & Kashmir,1971-1972,9.00
Maharashtra,1971-1972,26.00
Punjab,1971-1972,1.00
Rajasthan,1971-1972,265.00
Uttar Pradesh,1971-1972,3.00
India,1971-1972,308.00
Haryana,1972-1973,2.00
Jammu & Kashmir,1972-1973,7.00
Maharashtra,1972-1973,12.00
Punjab,1972-1973,1.00
Rajasthan,1972-1973,75.00
Uttar Pradesh,1972-1973,4.00
India,1972-1973,101.00
Haryana,1973-1974,1.00
Maharashtra,1973-1974,43.00
Punjab,1973-1974,1.00
Rajasthan,1973-1974,377.00
Uttar Pradesh,1973-1974,2.00
India,1973-1974,424.00
Haryana,1974-1975,3.00
Jammu & Kashmir,1974-1975,9.00
Maharashtra,1974-1975,52.00
Punjab,1974-1975,1.00
Rajasthan,1974-1975,84.00
Uttar Pradesh,1974-1975,2.00
India,1974-1975,151.00
Haryana,1975-1976,7.00
Jammu & Kashmir,1975-1976,7.00
Maharashtra,1975-1976,64.00
Punjab,1975-1976,1.00
Rajasthan,1975-1976,371.00
Uttar Pradesh,1975-1976,2.00
India,1975-1976,452.00
Haryana,1976-1977,7.00
Jammu & Kashmir,1976-1977,6.00
Maharashtra,1976-1977,53.00
Punjab,1976-1977,1.00
Rajasthan,1976-1977,424.00
Uttar Pradesh,1976-1977,2.00
India,1976-1977,493.00
Haryana,1977-1978,2.00
Jammu & Kashmir,1977-1978,6.00
Maharashtra,1977-1978,51.00
Rajasthan,1977-1978,371.00
Uttar Pradesh,1977-1978,2.00
India,1977-1978,432.00
Haryana,1978-1979,1.00
Jammu & Kashmir,1978-1979,10.00
Maharashtra,1978-1979,41.00
Punjab,1978-1979,1.00
Rajasthan,1978-1979,154.00
Uttar Pradesh,1978-1979,1.00
India,1978-1979,208.00
Haryana,1979-1980,1.00
Jammu & Kashmir,1979-1980,9.00
Maharashtra,1979-1980,37.00
Rajasthan,1979-1980,34.00
Uttar Pradesh,1979-1980,-
India,1979-1980,81.00
Haryana,1980-1981,1.00
Jammu & Kashmir,1980-1981,13.00
Maharashtra,1980-1981,33.00
Punjab,1980-1981,1.00
Rajasthan,1980-1981,161.00
Uttar Pradesh,1980-1981,1.00
India,1980-1981,208.00
Haryana,1981-1982,1.00
Jammu & Kashmir,1981-1982,12.00
Maharashtra,1981-1982,35.00
Punjab,1981-1982,-
Rajasthan,1981-1982,158.00
Uttar Pradesh,1981-1982,1.00
India,1981-1982,207.00
Gujarat,1982-1983,33.00
Haryana,1982-1983,1.00
Jammu & Kashmir,1982-1983,12.00
Maharashtra,1982-1983,26.00
Punjab,1982-1983,1.00
Rajasthan,1982-1983,143.00
Uttar Pradesh,1982-1983,-
India,1982-1983,216.00
Gujarat,1983-1984,44.00
Haryana,1983-1984,1.00
Jammu & Kashmir,1983-1984,11.00
Maharashtra,1983-1984,46.00
Punjab,1983-1984,1.00
Rajasthan,1983-1984,315.00
Uttar Pradesh,1983-1984,-
India,1983-1984,418.00
Gujarat,1984-1985,29.00
Jammu & Kashmir,1984-1985,11.00
Maharashtra,1984-1985,36.00
Punjab,1984-1985,1.00
Rajasthan,1984-1985,192.00
Uttar Pradesh,1984-1985,-
India,1984-1985,268.00
Gujarat,1985-1986,5.00
Haryana,1985-1986,1.00
Jammu & Kashmir,1985-1986,10.00
Maharashtra,1985-1986,38.00
Punjab,1985-1986,1.00
Rajasthan,1985-1986,49.00
Uttar Pradesh,1985-1986,-
India,1985-1986,103.00
Gujarat,1986-1987,4.00
Jammu & Kashmir,1986-1987,10.00
Maharashtra,1986-1987,35.00
Punjab,1986-1987,1.00
Rajasthan,1986-1987,43.00
Uttar Pradesh,1986-1987,-
India,1986-1987,93.00
Gujarat,1987-1988,1.00
Jammu & Kashmir,1987-1988,7.00
Maharashtra,1987-1988,32.00
Punjab,1987-1988,-
Rajasthan,1987-1988,7.00
Uttar Pradesh,1987-1988,-
India,1987-1988,47.00
Gujarat,1988-1989,17.00
Haryana,1988-1989,1.00
Maharashtra,1988-1989,40.00
Rajasthan,1988-1989,384.00
Uttar Pradesh,1988-1989,-
India,1988-1989,442.00
Gujarat,1989-1990,23.00
Haryana,1989-1990,-
Jammu & Kashmir,1989-1990,6.00
Maharashtra,1989-1990,46.00
Punjab,1989-1990,1.00
Rajasthan,1989-1990,240.00
Uttar Pradesh,1989-1990,-
India,1989-1990,317.00
Gujarat,1990-1991,17.00
Haryana,1990-1991,-
Jammu & Kashmir,1990-1991,6.00
Maharashtra,1990-1991,36.00
