State,Year,Value
Andhra Pradesh,1970-1971,13.00
Bihar,1970-1971,53.00
Haryana,1970-1971,4.00
Himachal Pradesh,1970-1971,10.00
Jammu & Kashmir,1970-1971,7.00
Karnataka,1970-1971,12.00
Kerala,1970-1971,2.00
Madhya Pradesh,1970-1971,122.00
Maharashtra,1970-1971,106.00
Punjab,1970-1971,12.00
Rajasthan,1970-1971,28.00
Tamil Nadu,1970-1971,24.00
Uttar Pradesh,1970-1971,52.00
West Bengal,1970-1971,25.00
India,1970-1971,470.00
Andhra Pradesh,1971-1972,11.00
Bihar,1971-1972,21.00
Haryana,1971-1972,4.00
Himachal Pradesh,1971-1972,9.00
Jammu & Kashmir,1971-1972,8.00
Karnataka,1971-1972,12.00
Kerala,1971-1972,1.00
Madhya Pradesh,1971-1972,129.00
Maharashtra,1971-1972,66.00
Punjab,1971-1972,12.00
Rajasthan,1971-1972,23.00
Tamil Nadu,1971-1972,30.00
Uttar Pradesh,1971-1972,29.00
West Bengal,1971-1972,19.00
India,1971-1972,372.00
Andhra Pradesh,1972-1973,8.00
Bihar,1972-1973,37.00
Dadra & Nagar Haveli  ,1972-1973,1.00
Haryana,1972-1973,5.00
Himachal Pradesh,1972-1973,6.00
Jammu & Kashmir,1972-1973,9.00
Karnataka,1972-1973,16.00
Kerala,1972-1973,1.00
Madhya Pradesh,1972-1973,110.00
Maharashtra,1972-1973,63.00
Punjab,1972-1973,15.00
Rajasthan,1972-1973,24.00
Tamil Nadu,1972-1973,49.00
Uttar Pradesh,1972-1973,57.00
West Bengal,1972-1973,23.00
India,1972-1973,426.00
Andhra Pradesh,1973-1974,14.00
Bihar,1973-1974,55.00
Dadra & Nagar Haveli  ,1973-1974,1.00
Gujarat,1973-1974,5.00
Haryana,1973-1974,8.00
Himachal Pradesh,1973-1974,8.00
Jammu & Kashmir,1973-1974,20.00
Karnataka,1973-1974,1.00
Kerala,1973-1974,130.00
Madhya Pradesh,1973-1974,138.00
Maharashtra,1973-1974,19.00
Punjab,1973-1974,24.00
Rajasthan,1973-1974,52.00
Tamil Nadu,1973-1974,62.00
Uttar Pradesh,1973-1974,27.00
West Bengal,1973-1974,-
India,1973-1974,564.00
Andhra Pradesh,1974-1975,10.00
Bihar,1974-1975,38.00
Dadra & Nagar Haveli  ,1974-1975,1.00
Haryana,1974-1975,4.00
Himachal Pradesh,1974-1975,8.00
Jammu & Kashmir,1974-1975,8.00
Karnataka,1974-1975,9.00
Kerala,1974-1975,1.00
Madhya Pradesh,1974-1975,132.00
Maharashtra,1974-1975,145.00
Punjab,1974-1975,12.00
Rajasthan,1974-1975,20.00
Tamil Nadu,1974-1975,26.00
Uttar Pradesh,1974-1975,58.00
West Bengal,1974-1975,32.00
India,1974-1975,505.00
Andhra Pradesh,1975-1976,7.00
Bihar,1975-1976,42.00
Dadra & Nagar Haveli  ,1975-1976,1.00
Haryana,1975-1976,5.00
Himachal Pradesh,1975-1976,9.00
Jammu & Kashmir,1975-1976,9.00
Karnataka,1975-1976,10.00
Kerala,1975-1976,1.00
Madhya Pradesh,1975-1976,169.00
Maharashtra,1975-1976,164.00
Punjab,1975-1976,10.00
Rajasthan,1975-1976,52.00
Tamil Nadu,1975-1976,21.00
Tripura,1975-1976,-
Uttar Pradesh,1975-1976,43.00
West Bengal,1975-1976,30.00
India,1975-1976,572.00
Andhra Pradesh,1976-1977,7.00
Bihar,1976-1977,38.00
Dadra & Nagar Haveli  ,1976-1977,1.00
Haryana,1976-1977,5.00
Himachal Pradesh,1976-1977,9.00
Jammu & Kashmir,1976-1977,7.00
Karnataka,1976-1977,8.00
Madhya Pradesh,1976-1977,143.00
Maharashtra,1976-1977,163.00
Punjab,1976-1977,8.00
Rajasthan,1976-1977,41.00
Tamil Nadu,1976-1977,42.00
Tripura,1976-1977,1.00
Uttar Pradesh,1976-1977,39.00
West Bengal,1976-1977,37.00
India,1976-1977,546.00
Andhra Pradesh,1977-1978,12.00
Bihar,1977-1978,44.00
Dadra & Nagar Haveli  ,1977-1978,1.00
Haryana,1977-1978,6.00
Himachal Pradesh,1977-1978,6.00
Jammu & Kashmir,1977-1978,9.00
Karnataka,1977-1978,12.00
Kerala,1977-1978,1.00
Madhya Pradesh,1977-1978,169.00
Maharashtra,1977-1978,165.00
Rajasthan,1977-1978,52.00
Tamil Nadu,1977-1978,62.00
Tripura,1977-1978,-
Uttar Pradesh,1977-1978,55.00
West Bengal,1977-1978,16.00
India,1977-1978,610.00
Andhra Pradesh,1978-1979,8.00
Bihar,1978-1979,49.00
Dadra & Nagar Haveli  ,1978-1979,1.00
Haryana,1978-1979,5.00
Himachal Pradesh,1978-1979,9.00
Jammu & Kashmir,1978-1979,11.00
Karnataka,1978-1979,13.00
Kerala,1978-1979,2.00
Madhya Pradesh,1978-1979,146.00
Maharashtra,1978-1979,148.00
Punjab,1978-1979,10.00
Rajasthan,1978-1979,36.00
Tamil Nadu,1978-1979,65.00
Tripura,1978-1979,-
Uttar Pradesh,1978-1979,43.00
West Bengal,1978-1979,14.00
India,1978-1979,559.00
Andhra Pradesh,1979-1980,13.00
Bihar,1979-1980,40.00
