State,Year,Value
Andhra Pradesh,1970-1971,77.00
Assam,1970-1971,17.00
Chandigarh,1970-1971,-
Karnataka,1970-1971,1.00
Madhya Pradesh,1970-1971,34.00
Maharashtra,1970-1971,8.00
Tripura,1970-1971,-
West Bengal,1970-1971,48.00
India,1970-1971,186.00
Andhra Pradesh,1971-1972,66.00
Assam,1971-1972,16.00
Delhi,1971-1972,-
Gujarat,1971-1972,-
Haryana,1971-1972,-
Karnataka,1971-1972,1.00
Madhya Pradesh,1971-1972,33.00
Maharashtra,1971-1972,10.00
Meghalaya,1971-1972,-
Nagaland,1971-1972,-
West Bengal,1971-1972,38.00
India,1971-1972,163.00
Andhra Pradesh,1972-1973,72.00
Assam,1972-1973,26.00
Gujarat,1972-1973,-
Haryana,1972-1973,-
Karnataka,1972-1973,2.00
Madhya Pradesh,1972-1973,26.00
Maharashtra,1972-1973,5.00
West Bengal,1972-1973,57.00
India,1972-1973,187.00
Andhra Pradesh,1973-1974,70.00
Assam,1973-1974,24.00
Gujarat,1973-1974,-
Haryana,1973-1974,-
Karnataka,1973-1974,1.00
Madhya Pradesh,1973-1974,24.00
Maharashtra,1973-1974,8.00
Meghalaya,1973-1974,-
Nagaland,1973-1974,-
West Bengal,1973-1974,53.00
India,1973-1974,180.00
Andhra Pradesh,1974-1975,76.00
Assam,1974-1975,18.00
Karnataka,1974-1975,1.00
Madhya Pradesh,1974-1975,10.00
Maharashtra,1974-1975,10.00
Puducherry,1974-1975,2.00
Tripura,1974-1975,-
West Bengal,1974-1975,50.00
India,1974-1975,166.00
Andhra Pradesh,1975-1976,77.00
Assam,1975-1976,15.00
Karnataka,1975-1976,1.00
Madhya Pradesh,1975-1976,15.00
Maharashtra,1975-1976,11.00
Puducherry,1975-1976,2.00
Tripura,1975-1976,-
West Bengal,1975-1976,64.00
India,1975-1976,185.00
Andhra Pradesh,1976-1977,58.00
Assam,1976-1977,17.00
Karnataka,1976-1977,1.00
Madhya Pradesh,1976-1977,9.00
Maharashtra,1976-1977,10.00
Puducherry,1976-1977,2.00
Tripura,1976-1977,-
West Bengal,1976-1977,50.00
India,1976-1977,147.00
Andhra Pradesh,1977-1978,39.00
Assam,1977-1978,15.00
Karnataka,1977-1978,1.00
Madhya Pradesh,1977-1978,12.00
Maharashtra,1977-1978,8.00
Puducherry,1977-1978,2.00
West Bengal,1977-1978,60.00
India,1977-1978,137.00
Andhra Pradesh,1978-1979,90.00
Assam,1978-1979,18.00
Karnataka,1978-1979,1.00
Madhya Pradesh,1978-1979,10.00
Maharashtra,1978-1979,9.00
Puducherry,1978-1979,2.00
West Bengal,1978-1979,37.00
India,1978-1979,167.00
Andhra Pradesh,1979-1980,79.00
Assam,1979-1980,15.00
Karnataka,1979-1980,1.00
Madhya Pradesh,1979-1980,6.00
Maharashtra,1979-1980,7.00
Odisha,1979-1980,102.00
Puducherry,1979-1980,2.00
West Bengal,1979-1980,49.00
India,1979-1980,262.00
Andhra Pradesh,1980-1981,99.00
Assam,1980-1981,18.00
Karnataka,1980-1981,1.00
Madhya Pradesh,1980-1981,17.00
Maharashtra,1980-1981,4.00
Odisha,1980-1981,166.00
Puducherry,1980-1981,2.00
West Bengal,1980-1981,44.00
India,1980-1981,351.00
Andhra Pradesh,1980-1981,78.00
Karnataka,1980-1981,3.00
Madhya Pradesh,1980-1981,17.00
Maharashtra,1980-1981,7.00
Odisha,1980-1981,166.00
Puducherry,1980-1981,1.00
West Bengal,1980-1981,37.00
India,1980-1981,310.00
Andhra Pradesh,1981-1982,78.00
Jammu & Kashmir,1981-1982,3.00
Kerala,1981-1982,17.00
Madhya Pradesh,1981-1982,7.00
Maharashtra,1981-1982,166.00
Odisha,1981-1982,1.00
West Bengal,1981-1982,37.00
India,1981-1982,310.00
Andhra Pradesh,1982-1983,112.00
Karnataka,1982-1983,3.00
Madhya Pradesh,1982-1983,17.00
Maharashtra,1982-1983,4.00
Odisha,1982-1983,156.00
West Bengal,1982-1983,31.00
India,1982-1983,324.00
Andhra Pradesh,1983-1984,120.00
Karnataka,1983-1984,3.00
Madhya Pradesh,1983-1984,18.00
Maharashtra,1983-1984,8.00
Odisha,1983-1984,183.00
Puducherry,1983-1984,1.00
Tripura,1983-1984,-
West Bengal,1983-1984,36.00
India,1983-1984,368.00
Andhra Pradesh,1984-1985,180.00
Karnataka,1984-1985,7.00
Madhya Pradesh,1984-1985,16.00
Maharashtra,1984-1985,6.00
Odisha,1984-1985,221.00
Puducherry,1984-1985,1.00
Tripura,1984-1985,-
West Bengal,1984-1985,19.00
India,1984-1985,451.00
Andhra Pradesh,1985-1986,202.00
Karnataka,1985-1986,9.00
Madhya Pradesh,1985-1986,15.00
Maharashtra,1985-1986,6.00
Odisha,1985-1986,198.00
Puducherry,1985-1986,1.00
West Bengal,1985-1986,23.00
India,1985-1986,454.00
Andhra Pradesh,1986-1987,278.00
Karnataka,1986-1987,8.00
Madhya Pradesh,1986-1987,10.00
Maharashtra,1986-1987,5.00
Odisha,1986-1987,186.00
Puducherry,1986-1987,1.00
West Bengal,1986-1987,33.00
India,1986-1987,521.00
Andhra Pradesh,1987-1988,271.30
Karnataka,1987-1988,7.40
Madhya Pradesh,1987-1988,9.80
Maharashtra,1987-1988,4.50
Odisha,1987-1988,178.20
Puducherry,1987-1988,1.10
Tripura,1987-1988,0.20
Uttar Pradesh,1987-1988,32.20
West Bengal,1987-1988,21.80
India,1987-1988,526.50
