State,Year,Value
Andhra Pradesh,1970-1971,90.00
Assam,1970-1971,17.00
Bihar,1970-1971,53.00
Haryana,1970-1971,4.00
Himachal Pradesh,1970-1971,10.00
Jammu & Kashmir,1970-1971,7.00
Karnataka,1970-1971,14.00
Kerala,1970-1971,2.00
Madhya Pradesh,1970-1971,156.00
Maharashtra,1970-1971,114.00
Punjab,1970-1971,12.00
Rajasthan,1970-1971,28.00
Tamil Nadu,1970-1971,24.00
Tripura,1970-1971,-
Uttar Pradesh,1970-1971,52.00
West Bengal,1970-1971,74.00
India,1970-1971,656.00
Andhra Pradesh,1971-1972,76.00
Assam,1971-1972,16.00
Bihar,1971-1972,21.00
Haryana,1971-1972,4.00
Himachal Pradesh,1971-1972,9.00
Jammu & Kashmir,1971-1972,8.00
Karnataka,1971-1972,13.00
Kerala,1971-1972,1.00
Madhya Pradesh,1971-1972,162.00
Maharashtra,1971-1972,75.00
Punjab,1971-1972,12.00
Rajasthan,1971-1972,23.00
Tamil Nadu,1971-1972,30.00
Tripura,1971-1972,-
Uttar Pradesh,1971-1972,29.00
West Bengal,1971-1972,57.00
India,1971-1972,535.00
Andhra Pradesh,1972-1973,80.00
Assam,1972-1973,26.00
Bihar,1972-1973,37.00
Dadra & Nagar Haveli  ,1972-1973,1.00
Haryana,1972-1973,5.00
Himachal Pradesh,1972-1973,6.00
Jammu & Kashmir,1972-1973,9.00
Karnataka,1972-1973,18.00
Kerala,1972-1973,1.00
Madhya Pradesh,1972-1973,136.00
Maharashtra,1972-1973,68.00
Punjab,1972-1973,15.00
Rajasthan,1972-1973,24.00
Tamil Nadu,1972-1973,49.00
Tripura,1972-1973,-
Uttar Pradesh,1972-1973,57.00
West Bengal,1972-1973,80.00
India,1972-1973,613.00
Andhra Pradesh,1973-1974,85.00
Assam,1973-1974,24.00
Bihar,1973-1974,55.00
Dadra & Nagar Haveli  ,1973-1974,1.00
Haryana,1973-1974,5.00
Himachal Pradesh,1973-1974,8.00
Jammu & Kashmir,1973-1974,8.00
Karnataka,1973-1974,21.00
Kerala,1973-1974,1.00
Madhya Pradesh,1973-1974,154.00
Maharashtra,1973-1974,145.00
Punjab,1973-1974,19.00
Rajasthan,1973-1974,24.00
Tamil Nadu,1973-1974,52.00
Uttar Pradesh,1973-1974,62.00
West Bengal,1973-1974,80.00
India,1973-1974,744.00
Andhra Pradesh,1974-1975,86.00
Assam,1974-1975,18.00
Bihar,1974-1975,38.00
Dadra & Nagar Haveli  ,1974-1975,1.00
Haryana,1974-1975,4.00
Himachal Pradesh,1974-1975,8.00
Jammu & Kashmir,1974-1975,8.00
Karnataka,1974-1975,10.00
Kerala,1974-1975,1.00
Madhya Pradesh,1974-1975,141.00
