State,Year,Value
Andaman & Nicobar Islands,2018-2019,370
Andhra Pradesh,2018-2019,182
Arunachal Pradesh,2018-2019,864
Assam,2018-2019,833
Bihar,2018-2019,1852
Chhattisgarh,2018-2019,480
Dadra & Nagar Haveli  ,2018-2019,1335
Gujarat,2018-2019,1209
Haryana,2018-2019,1211
Himachal Pradesh,2018-2019,510
Jharkhand,2018-2019,1014
Karnataka,2018-2019,639
Kerala,2018-2019,1674
Madhya Pradesh,2018-2019,846
Maharashtra,2018-2019,662
Manipur,2018-2019,1055
Meghalaya,2018-2019,1295
Mizoram,2018-2019,1006
Nagaland,2018-2019,910
Odisha,2018-2019,1022
Punjab,2018-2019,1047
Rajasthan,2018-2019,941
Tamil Nadu,2018-2019,1248
Telangana,2018-2019,647
Tripura,2018-2019,759
Uttarakhand,2018-2019,805
Uttar Pradesh,2018-2019,1084
West Bengal,2018-2019,1543
India,2018-2019,729
Andhra Pradesh,2019-2020,486
Arunachal Pradesh,2019-2020,869
Assam,2019-2020,864
Bihar,2019-2020,1681
Chhattisgarh,2019-2020,628
Dadra & Nagar Haveli  ,2019-2020,1000
Daman & Diu  ,2019-2020,1000
Gujarat,2019-2020,991
Haryana,2019-2020,1120
Himachal Pradesh,2019-2020,650
Jharkhand,2019-2020,1048
Karnataka,2019-2020,729
Kerala,2019-2020,1668
Madhya Pradesh,2019-2020,1103
Maharashtra,2019-2020,907
Manipur,2019-2020,898
Meghalaya,2019-2020,1298
Mizoram,2019-2020,940
Nagaland,2019-2020,910
Odisha,2019-2020,1124
Punjab,2019-2020,1095
Rajasthan,2019-2020,586
Tamil Nadu,2019-2020,1273
Telangana,2019-2020,903
Tripura,2019-2020,802
Uttarakhand,2019-2020,851
Uttar Pradesh,2019-2020,980
West Bengal,2019-2020,852
India,2019-2020,859
Andhra Pradesh,2020-2021,363
Assam,2020-2021,856
Bihar,2020-2021,1606
Chhattisgarh,2020-2021,599
Gujarat,2020-2021,1186
Haryana,2020-2021,1250
Himachal Pradesh,2020-2021,875
Jharkhand,2020-2021,1104
Karnataka,2020-2021,759
Kerala,2020-2021,1647
Madhya Pradesh,2020-2021,1305
Maharashtra,2020-2021,1042
Manipur,2020-2021,1018
Meghalaya,2020-2021,1302
Mizoram,2020-2021,1030
Nagaland,2020-2021,919
Odisha,2020-2021,1166
Punjab,2020-2021,1163
Rajasthan,2020-2021,879
Tamil Nadu,2020-2021,1049
Telangana,2020-2021,775
Tripura,2020-2021,780
Uttarakhand,2020-2021,1185
Uttar Pradesh,2020-2021,1005
West Bengal,2020-2021,1210
India,2020-2021,914
Andhra Pradesh,2021-2022,271
Arunachal Pradesh,2021-2022,879
Assam,2021-2022,858
Bihar,2021-2022,1607
Chhattisgarh,2021-2022,574
Gujarat,2021-2022,1161
Haryana,2021-2022,1181
Himachal Pradesh,2021-2022,875
Jharkhand,2021-2022,1129
Karnataka,2021-2022,666
Kerala,2021-2022,1652
Madhya Pradesh,2021-2022,844
Maharashtra,2021-2022,1042
Manipur,2021-2022,982
Meghalaya,2021-2022,1305
Mizoram,2021-2022,1022
Nagaland,2021-2022,880
Odisha,2021-2022,1036
Punjab,2021-2022,1014
Rajasthan,2021-2022,915
Tamil Nadu,2021-2022,936
Telangana,2021-2022,769
Tripura,2021-2022,783
Uttarakhand,2021-2022,1066
Uttar Pradesh,2021-2022,1223
West Bengal,2021-2022,1569
India,2021-2022,861
