State,Year,Value
Andhra Pradesh,2013-2014,1264
Assam,2013-2014,698
Bihar,2013-2014,1147
Chhattisgarh,2013-2014,771
Dadra & Nagar Haveli  ,2013-2014,1000
Delhi ,2013-2014,1500
Gujarat,2013-2014,1251
Haryana,2013-2014,904
Himachal Pradesh,2013-2014,1000
Jharkhand,2013-2014,1166
Karnataka,2013-2014,757
Kerala ,2013-2014,-
Madhya Pradesh,2013-2014,1044
Maharashtra,2013-2014,891
Manipur,2013-2014,875
Meghalaya,2013-2014,989
Nagaland,2013-2014,838
Odisha,2013-2014,768
Punjab,2013-2014,1211
Rajasthan ,2013-2014,853
Tamil Nadu,2013-2014,653
Telangana,2013-2014,2162
Tripura,2013-2014,769
Uttar Pradesh,2013-2014,824
Uttarakhand,2013-2014,786
West Bengal,2013-2014,1175
India ,2013-2014,960
Andhra Pradesh,2014-2015,1143
Assam,2014-2015,938
Bihar,2014-2015,958
Chhattisgarh,2014-2015,1035
Dadra & Nagar Haveli  ,2014-2015,1000
Gujarat,2014-2015,1236
Haryana,2014-2015,646
Himachal Pradesh,2014-2015,927
Jharkhand,2014-2015,1160
Karnataka,2014-2015,718
Kerala ,2014-2015,833
Madhya Pradesh,2014-2015,1039
Maharashtra,2014-2015,762
Manipur,2014-2015,838
Meghalaya,2014-2015,1033
Nagaland,2014-2015,842
Odisha,2014-2015,770
Punjab,2014-2015,1056
Rajasthan ,2014-2015,725
Tamil Nadu,2014-2015,645
Telangana,2014-2015,1372
Tripura,2014-2015,750
Uttar Pradesh,2014-2015,659
Uttarakhand,2014-2015,821
West Bengal,2014-2015,1178
India ,2014-2015,889
Andhra Pradesh,2015-2016,1062
Assam,2015-2016,704
Bihar,2015-2016,986
Chhattisgarh,2015-2016,722
Dadra & Nagar Haveli  ,2015-2016,10500
Delhi ,2015-2016,1317
Gujarat,2015-2016,1330
Haryana,2015-2016,619
Himachal Pradesh,2015-2016,1047
Jharkhand,2015-2016,995
Karnataka,2015-2016,466
Kerala ,2015-2016,936
Madhya Pradesh,2015-2016,1115
Maharashtra,2015-2016,539
Manipur,2015-2016,922
Meghalaya,2015-2016,1059
Nagaland,2015-2016,844
Odisha,2015-2016,769
Punjab,2015-2016,1294
Rajasthan ,2015-2016,892
Tamil Nadu,2015-2016,653
Telangana,2015-2016,714
Tripura,2015-2016,780
Uttar Pradesh,2015-2016,612
Uttarakhand,2015-2016,846
West Bengal,2015-2016,1192
India ,2015-2016,840
Andhra Pradesh,2016-2017,960
Assam,2016-2017,651
Bihar,2016-2017,1120
Chhattisgarh,2016-2017,1171
Dadra & Nagar Haveli  ,2016-2017,1050
Delhi ,2016-2017,2120
Gujarat,2016-2017,1116
Haryana,2016-2017,1189
Himachal Pradesh,2016-2017,923
Jharkhand,2016-2017,1174
Karnataka,2016-2017,590
Kerala ,2016-2017,917
Madhya Pradesh,2016-2017,1100
Maharashtra,2016-2017,891
Manipur,2016-2017,949
Meghalaya,2016-2017,1065
Nagaland,2016-2017,827
Odisha,2016-2017,768
Punjab,2016-2017,1375
Rajasthan ,2016-2017,911
Tamil Nadu,2016-2017,648
Telangana,2016-2017,1294
Tripura,2016-2017,780
Uttar Pradesh,2016-2017,1114
Uttarakhand,2016-2017,1000
West Bengal,2016-2017,1013
India ,2016-2017,974
Andhra Pradesh,2017-2018,1132
Assam,2017-2018,687
Bihar,2017-2018,1154
Chhattisgarh,2017-2018,1010
Delhi ,2017-2018,2000
Gujarat,2017-2018,1285
Haryana,2017-2018,1125
Himachal Pradesh,2017-2018,1042
Jammu & Kashmir,2017-2018,217
Jharkhand,2017-2018,1228
Karnataka,2017-2018,619
Kerala ,2017-2018,965
Madhya Pradesh,2017-2018,1280
Maharashtra,2017-2018,917
Manipur,2017-2018,933
Meghalaya,2017-2018,1066
Nagaland,2017-2018,846
Odisha,2017-2018,778
Punjab,2017-2018,1181
Rajasthan ,2017-2018,1074
Tamil Nadu,2017-2018,926
Telangana,2017-2018,1516
Tripura,2017-2018,791
Uttar Pradesh,2017-2018,1155
Uttarakhand,2017-2018,782
West Bengal,2017-2018,1150
India ,2017-2018,1078
Andhra Pradesh,2018-2019,508
Arunachal Pradesh,2018-2019,0
Assam,2018-2019,699
Bihar,2018-2019,1199
Chhattisgarh,2018-2019,1026
Dadra & Nagar Haveli  ,2018-2019,1328
Gujarat,2018-2019,1358
Haryana,2018-2019,1385
Himachal Pradesh,2018-2019,1040
Jharkhand,2018-2019,1166
Karnataka,2018-2019,509
Kerala,2018-2019,790
Madhya Pradesh,2018-2019,1288
Maharashtra,2018-2019,825
Manipur,2018-2019,929
Meghalaya,2018-2019,1068
Nagaland,2018-2019,842
Odisha,2018-2019,780
Punjab,2018-2019,1330
Rajasthan,2018-2019,1152
Tamil Nadu,2018-2019,926
Telangana,2018-2019,1569
Tripura,2018-2019,665
Uttarakhand,2018-2019,800
Uttar Pradesh,2018-2019,1272
West Bengal,2018-2019,1179
India,2018-2019,1041
Andhra Pradesh,2019-2020,1218
Assam,2019-2020,698
Bihar,2019-2020,730
Chhattisgarh,2019-2020,231
Gujarat,2019-2020,1568
Haryana,2019-2020,1072
Himachal Pradesh,2019-2020,1070
Jammu & Kashmir,2019-2020,300
Jharkhand,2019-2020,1197
Karnataka,2019-2020,782
Kerala,2019-2020,757
Madhya Pradesh,2019-2020,1417
Maharashtra,2019-2020,1096
Manipur,2019-2020,917
Meghalaya,2019-2020,1072
Nagaland,2019-2020,842
Odisha,2019-2020,779
Punjab,2019-2020,1219
Rajasthan,2019-2020,1079
Tamil Nadu,2019-2020,926
Telangana,2019-2020,1532
Tripura,2019-2020,619
Uttarakhand,2019-2020,763
Uttar Pradesh,2019-2020,1371
West Bengal,2019-2020,1313
India,2019-2020,1142
Andhra Pradesh,2020-2021,1136
Assam,2020-2021,739
Bihar,2020-2021,1052
Chhattisgarh,2020-2021,887
Gujarat,2020-2021,1568
Haryana,2020-2021,1005
Himachal Pradesh,2020-2021,1024
Jharkhand,2020-2021,1257
Karnataka,2020-2021,625
