State,Year,Value
Assam,1976-1977,418
Bihar,1976-1977,472
Madhya Pradesh,1976-1977,207
Maharashtra,1976-1977,233
West Bengal,1976-1977,543
India,1976-1977,342
Assam,1977-1978,413
Bihar,1977-1978,411
Madhya Pradesh,1977-1978,400
Maharashtra,1977-1978,192
West Bengal,1977-1978,591
India,1977-1978,404
Assam,1978-1979,522
Bihar,1978-1979,454
Madhya Pradesh,1978-1979,344
Maharashtra,1978-1979,221
West Bengal,1978-1979,480
India,1978-1979,383
Assam,1979-1980,423
Bihar,1979-1980,458
Madhya Pradesh,1979-1980,163
Maharashtra,1979-1980,317
West Bengal,1979-1980,494
India,1979-1980,321
Assam,1980-1981,413
Bihar,1980-1981,619
Madhya Pradesh,1980-1981,323
Maharashtra,1980-1981,184
West Bengal,1980-1981,367
India,1980-1981,415
Bihar,1981-1982,628
Madhya Pradesh,1981-1982,246
Maharashtra,1981-1982,197
West Bengal,1981-1982,536
India,1981-1982,381
Bihar,1982-1983,565
Madhya Pradesh,1982-1983,292
Maharashtra,1982-1983,173
West Bengal,1982-1983,449
India,1982-1983,373
Bihar,1983-1984,744
Madhya Pradesh,1983-1984,321
Maharashtra,1983-1984,234
West Bengal,1983-1984,623
India,1983-1984,445
Bihar,1984-1985,732
Madhya Pradesh,1984-1985,269
Maharashtra,1984-1985,275
West Bengal,1984-1985,585
India,1984-1985,428
Bihar,1985-1986,787
Madhya Pradesh,1985-1986,284
Maharashtra,1985-1986,280
West Bengal,1985-1986,641
India,1985-1986,452
Bihar,1986-1987,709
Madhya Pradesh,1986-1987,299
Maharashtra,1986-1987,253
West Bengal,1986-1987,633
India,1986-1987,460
Bihar,1987-1988,673
Madhya Pradesh,1987-1988,365
Maharashtra,1987-1988,272
West Bengal,1987-1988,535
India,1987-1988,474
Bihar,1988-1989,702
Madhya Pradesh,1988-1989,326
Maharashtra,1988-1989,501
West Bengal,1988-1989,772
India,1988-1989,488
Bihar,1989-1990,703
Madhya Pradesh,1989-1990,386
Maharashtra,1989-1990,429
West Bengal,1989-1990,749
India,1989-1990,514
Bihar,1990-1991,790
Madhya Pradesh,1990-1991,412
Maharashtra,1990-1991,400
West Bengal,1990-1991,650
India,1990-1991,530
Bihar,1991-1992,783
Madhya Pradesh,1991-1992,527
Maharashtra,1991-1992,216
West Bengal,1991-1992,636
India,1991-1992,598
Bihar,1992-1993,812
Madhya Pradesh,1992-1993,482
Maharashtra,1992-1993,254
West Bengal,1992-1993,1155
India,1992-1993,580
Bihar,1993-1994,899
Madhya Pradesh,1993-1994,552
Maharashtra,1993-1994,432
West Bengal,1993-1994,1044
India,1993-1994,641
Bihar,1994-1995,977
Madhya Pradesh,1994-1995,508
Maharashtra,1994-1995,400
West Bengal,1994-1995,803
India,1994-1995,605
Bihar,1995-1996,657
Madhya Pradesh,1995-1996,374
Maharashtra,1995-1996,505
West Bengal,1995-1996,1108
India,1995-1996,456
Bihar,1996-1997,891
Madhya Pradesh,1996-1997,529
Maharashtra,1996-1997,546
West Bengal,1996-1997,1206
India,1996-1997,623
Bihar,1997-1998,865
Madhya Pradesh,1997-1998,72
Maharashtra,1997-1998,402
West Bengal,1997-1998,1127
India,1997-1998,288
Bihar,1998-1999,919
Madhya Pradesh,1998-1999,517
Maharashtra,1998-1999,407
West Bengal,1998-1999,897
India,1998-1999,621
Bihar,1999-2000,994
Madhya Pradesh,1999-2000,676
Maharashtra,1999-2000,488
West Bengal,1999-2000,1079
India,1999-2000,756
Bihar,2000-2001,915
Chhattisgarh,2000-2001,434
Madhya Pradesh,2000-2001,587
Maharashtra,2000-2001,375
West Bengal,2000-2001,1054
India,2000-2001,639
Bihar,2001-2002,826
Chhattisgarh,2001-2002,553
Madhya Pradesh,2001-2002,715
Maharashtra,2001-2002,533
West Bengal,2001-2002,827
India,2001-2002,640
Bihar,2002-2003,810
Chhattisgarh,2002-2003,516
Madhya Pradesh,2002-2003,686
Maharashtra,2002-2003,429
West Bengal,2002-2003,826
India,2002-2003,617
Bihar,2003-2004,921
Chhattisgarh,2003-2004,605
Madhya Pradesh,2003-2004,756
Maharashtra,2003-2004,414
West Bengal,2003-2004,1146
India,2003-2004,694
Bihar,2004-2005,674
Chhattisgarh,2004-2005,369
Madhya Pradesh,2004-2005,686
Maharashtra,2004-2005,289
West Bengal,2004-2005,951
India,2004-2005,474
Bihar,2005-2006,853
Chhattisgarh,2005-2006,455
Madhya Pradesh,2005-2006,660
Maharashtra,2005-2006,467
West Bengal,2005-2006,913
India,2005-2006,552
Bihar,2006-2007,863
Chhattisgarh,2006-2007,532
Madhya Pradesh,2006-2007,688
Maharashtra,2006-2007,466
West Bengal,2006-2007,947
