State,Year,Value
Andhra Pradesh,1976-1977,160
Bihar,1976-1977,352
Himachal Pradesh,1976-1977,337
Jammu & Kashmir,1976-1977,346
Karnataka,1976-1977,341
Madhya Pradesh,1976-1977,232
Maharashtra,1976-1977,312
Odisha,1976-1977,328
Tamil Nadu,1976-1977,232
India,1976-1977,281
Andhra Pradesh,1977-1978,238
Bihar,1977-1978,412
Himachal Pradesh,1977-1978,404
Jammu & Kashmir,1977-1978,324
Karnataka,1977-1978,498
Madhya Pradesh,1977-1978,299
Maharashtra,1977-1978,304
Odisha,1977-1978,478
Tamil Nadu,1977-1978,236
India,1977-1978,360
Andhra Pradesh,1978-1979,208
Bihar,1978-1979,479
Himachal Pradesh,1978-1979,321
Jammu & Kashmir,1978-1979,344
Karnataka,1978-1979,436
Madhya Pradesh,1978-1979,277
Maharashtra,1978-1979,287
Odisha,1978-1979,438
Tamil Nadu,1978-1979,238
India,1978-1979,343
Andhra Pradesh,1979-1980,184
Bihar,1979-1980,470
Himachal Pradesh,1979-1980,231
Jammu & Kashmir,1979-1980,300
Karnataka,1979-1980,360
Madhya Pradesh,1979-1980,215
Maharashtra,1979-1980,283
Odisha,1979-1980,358
Tamil Nadu,1979-1980,233
India,1979-1980,301
Andhra Pradesh,1980-1981,119
Bihar,1980-1981,387
Himachal Pradesh,1980-1981,333
Jammu & Kashmir,1980-1981,393
Karnataka,1980-1981,300
Madhya Pradesh,1980-1981,265
Maharashtra,1980-1981,180
Odisha,1980-1981,433
Tamil Nadu,1980-1981,233
India,1980-1981,253
Andhra Pradesh,1981-1982,264
Bihar,1981-1982,505
Himachal Pradesh,1981-1982,145
Jammu & Kashmir,1981-1982,348
Karnataka,1981-1982,410
Madhya Pradesh,1981-1982,295
Maharashtra,1981-1982,218
Odisha,1981-1982,438
Tamil Nadu,1981-1982,242
India,1981-1982,330
Andhra Pradesh,1982-1983,311
Bihar,1982-1983,435
Himachal Pradesh,1982-1983,0
Jammu & Kashmir,1982-1983,333
Karnataka,1982-1983,271
Madhya Pradesh,1982-1983,241
Maharashtra,1982-1983,218
Odisha,1982-1983,483
Tamil Nadu,1982-1983,436
India,1982-1983,295
Andhra Pradesh,1983-1984,299
Bihar,1983-1984,454
Himachal Pradesh,1983-1984,308
Jammu & Kashmir,1983-1984,286
Karnataka,1983-1984,397
Madhya Pradesh,1983-1984,309
Maharashtra,1983-1984,318
Tamil Nadu,1983-1984,398
India,1983-1984,364
Andhra Pradesh,1984-1985,206
Bihar,1984-1985,522
Himachal Pradesh,1984-1985,195
Jammu & Kashmir,1984-1985,286
Karnataka,1984-1985,344
Madhya Pradesh,1984-1985,256
Maharashtra,1984-1985,315
Odisha,1984-1985,515
Tamil Nadu,1984-1985,392
India,1984-1985,333
Andhra Pradesh,1985-1986,269
Bihar,1985-1986,546
Himachal Pradesh,1985-1986,230
Jammu & Kashmir,1985-1986,300
Karnataka,1985-1986,203
Madhya Pradesh,1985-1986,237
Maharashtra,1985-1986,286
Odisha,1985-1986,633
