State,Year,Value
Andhra Pradesh,1976-1977,228
Karnataka,1976-1977,130
Madhya Pradesh,1976-1977,186
Maharashtra,1976-1977,200
Odisha,1976-1977,392
West Bengal,1976-1977,595
India,1976-1977,272
Andhra Pradesh,1977-1978,252
Karnataka,1977-1978,140
Madhya Pradesh,1977-1978,286
Maharashtra,1977-1978,158
Odisha,1977-1978,461
West Bengal,1977-1978,489
India,1977-1978,328
Andhra Pradesh,1978-1979,272
Karnataka,1978-1979,137
Madhya Pradesh,1978-1979,295
Maharashtra,1978-1979,195
Odisha,1978-1979,459
West Bengal,1978-1979,439
India,1978-1979,333
Andhra Pradesh,1979-1980,231
Bihar,1979-1980,444
Kerala,1979-1980,482
Madhya Pradesh,1979-1980,222
Maharashtra,1979-1980,240
Odisha,1979-1980,303
West Bengal,1979-1980,439
India,1979-1980,309
Andhra Pradesh,1980-1981,237
Karnataka,1980-1981,282
Kerala,1980-1981,701
Madhya Pradesh,1980-1981,274
Maharashtra,1980-1981,200
Odisha,1980-1981,468
West Bengal,1980-1981,483
India,1980-1981,364
Andhra Pradesh,1981-1982,237
Karnataka,1981-1982,282
Kerala,1981-1982,701
Madhya Pradesh,1981-1982,274
Maharashtra,1981-1982,167
Odisha,1981-1982,468
West Bengal,1981-1982,500
India,1981-1982,364
Andhra Pradesh,1982-1983,311
Karnataka,1982-1983,250
Kerala,1982-1983,678
Madhya Pradesh,1982-1983,281
Maharashtra,1982-1983,164
Odisha,1982-1983,504
West Bengal,1982-1983,536
India,1982-1983,387
Andhra Pradesh,1983-1984,285
Karnataka,1983-1984,415
Kerala,1983-1984,672
Madhya Pradesh,1983-1984,292
Maharashtra,1983-1984,241
Odisha,1983-1984,592
West Bengal,1983-1984,500
India,1983-1984,453
Andhra Pradesh,1984-1985,287
Karnataka,1984-1985,221
Kerala,1984-1985,731
Madhya Pradesh,1984-1985,280
Maharashtra,1984-1985,248
Odisha,1984-1985,422
West Bengal,1984-1985,484
India,1984-1985,341
Andhra Pradesh,1985-1986,311
Karnataka,1985-1986,340
Kerala,1985-1986,744
Madhya Pradesh,1985-1986,287
Maharashtra,1985-1986,277
Odisha,1985-1986,491
West Bengal,1985-1986,537
India,1985-1986,422
Andhra Pradesh,1986-1987,338
Karnataka,1986-1987,463
Kerala,1986-1987,727
Madhya Pradesh,1986-1987,267
Maharashtra,1986-1987,242
Odisha,1986-1987,440
West Bengal,1986-1987,500
India,1986-1987,428
Andhra Pradesh,1987-1988,279
Karnataka,1987-1988,417
Kerala,1987-1988,735
Madhya Pradesh,1987-1988,284
Maharashtra,1987-1988,264
Odisha,1987-1988,484
West Bengal,1987-1988,517
India,1987-1988,434
Andhra Pradesh,1988-1989,242
Karnataka,1988-1989,262
Kerala,1988-1989,745
Madhya Pradesh,1988-1989,265
Maharashtra,1988-1989,400
Odisha,1988-1989,521
India,1988-1989,432
Andhra Pradesh,1989-1990,270
Karnataka,1989-1990,318
Kerala,1989-1990,767
Madhya Pradesh,1989-1990,284
Maharashtra,1989-1990,430
Odisha,1989-1990,531
West Bengal,1989-1990,488
India,1989-1990,449
Andhra Pradesh,1990-1991,378
Karnataka,1990-1991,261
Kerala,1990-1991,747
Madhya Pradesh,1990-1991,289
Maharashtra,1990-1991,391
Odisha,1990-1991,486
West Bengal,1990-1991,462
India,1990-1991,433
Andhra Pradesh,1991-1992,381
Karnataka,1991-1992,438
Kerala,1991-1992,730
Madhya Pradesh,1991-1992,297
Maharashtra,1991-1992,241
Odisha,1991-1992,495
West Bengal,1991-1992,483
India,1991-1992,465
Andhra Pradesh,1992-1993,376
Karnataka,1992-1993,415
Kerala,1992-1993,978
