State,Year,Value
Andhra Pradesh,1976-1977,200
Bihar,1976-1977,349
Himachal Pradesh,1976-1977,333
Jammu & Kashmir,1976-1977,333
Karnataka,1976-1977,286
Madhya Pradesh,1976-1977,230
Maharashtra,1976-1977,308
Odisha,1976-1977,388
Tamil Nadu,1976-1977,232
West Bengal,1976-1977,595
India,1976-1977,278
Andhra Pradesh,1977-1978,247
Bihar,1977-1978,412
Himachal Pradesh,1977-1978,404
Jammu & Kashmir,1977-1978,324
Karnataka,1977-1978,422
Madhya Pradesh,1977-1978,298
Maharashtra,1977-1978,297
Odisha,1977-1978,462
Tamil Nadu,1977-1978,236
West Bengal,1977-1978,489
India,1977-1978,350
Andhra Pradesh,1978-1979,247
Bihar,1978-1979,479
Himachal Pradesh,1978-1979,321
Jammu & Kashmir,1978-1979,344
Karnataka,1978-1979,378
Madhya Pradesh,1978-1979,278
Maharashtra,1978-1979,282
Odisha,1978-1979,459
Tamil Nadu,1978-1979,238
West Bengal,1978-1979,439
India,1978-1979,340
Andhra Pradesh,1979-1980,214
Bihar,1979-1980,454
Himachal Pradesh,1979-1980,231
Jammu & Kashmir,1979-1980,300
Karnataka,1979-1980,360
Kerala,1979-1980,482
Madhya Pradesh,1979-1980,215
Maharashtra,1979-1980,281
Odisha,1979-1980,305
Tamil Nadu,1979-1980,233
West Bengal,1979-1980,429
India,1979-1980,304
Andhra Pradesh,1980-1981,191
Bihar,1980-1981,387
Himachal Pradesh,1980-1981,333
Jammu & Kashmir,1980-1981,393
Karnataka,1980-1981,296
Kerala,1980-1981,701
Madhya Pradesh,1980-1981,266
Maharashtra,1980-1981,180
Odisha,1980-1981,467
Tamil Nadu,1980-1981,233
West Bengal,1980-1981,483
India,1980-1981,291
Andhra Pradesh,1981-1982,263
Bihar,1981-1982,505
Himachal Pradesh,1981-1982,145
Jammu & Kashmir,1981-1982,348
Karnataka,1981-1982,406
Kerala,1981-1982,680
Madhya Pradesh,1981-1982,294
Maharashtra,1981-1982,216
Odisha,1981-1982,468
Tamil Nadu,1981-1982,242
West Bengal,1981-1982,500
India,1981-1982,352
Andhra Pradesh,1982-1983,311
Bihar,1982-1983,435
Himachal Pradesh,1982-1983,0
