State,Year,Value
Arunachal Pradesh,2018-2019,777
Assam,2018-2019,732
Bihar,2018-2019,1001
Chhattisgarh,2018-2019,364
Haryana,2018-2019,722
Himachal Pradesh,2018-2019,880
Jharkhand,2018-2019,875
Madhya Pradesh,2018-2019,783
Manipur,2018-2019,923
Meghalaya,2018-2019,1107
Nagaland,2018-2019,821
Odisha,2018-2019,528
Punjab,2018-2019,681
Rajasthan,2018-2019,1164
Tripura,2018-2019,746
Uttarakhand,2018-2019,882
Uttar Pradesh,2018-2019,1026
West Bengal,2018-2019,831
India,2018-2019,901
Arunachal Pradesh,2019-2020,784
Assam,2019-2020,764
Bihar,2019-2020,630
Chhattisgarh,2019-2020,323
Haryana,2019-2020,1125
Himachal Pradesh,2019-2020,930
Jammu & Kashmir,2019-2020,717
Jharkhand,2019-2020,849
Madhya Pradesh,2019-2020,777
Manipur,2019-2020,923
Nagaland,2019-2020,824
Odisha,2019-2020,529
Punjab,2019-2020,543
Rajasthan,2019-2020,1375
Tripura,2019-2020,748
Uttarakhand,2019-2020,1014
Uttar Pradesh,2019-2020,978
West Bengal,2019-2020,836
India,2019-2020,847
Arunachal Pradesh,2020-2021,793
Assam,2020-2021,729
Bihar,2020-2021,912
Chhattisgarh,2020-2021,404
Haryana,2020-2021,795
Himachal Pradesh,2020-2021,657
Jammu & Kashmir,2020-2021,713
Jharkhand,2020-2021,880
Madhya Pradesh,2020-2021,1135
Manipur,2020-2021,923
Nagaland,2020-2021,824
Odisha,2020-2021,526
Punjab,2020-2021,598
Rajasthan,2020-2021,1332
Tripura,2020-2021,728
Uttarakhand,2020-2021,751
Uttar Pradesh,2020-2021,1014
West Bengal,2020-2021,897
India,2020-2021,1017
Arunachal Pradesh,2021-2022,795
Assam,2021-2022,788
Bihar,2021-2022,933
Chhattisgarh,2021-2022,401
Haryana,2021-2022,965
Himachal Pradesh,2021-2022,1463
Jammu & Kashmir,2021-2022,586
Jharkhand,2021-2022,880
Madhya Pradesh,2021-2022,899
Manipur,2021-2022,963
Nagaland,2021-2022,855
Odisha,2021-2022,528
Punjab,2021-2022,553
Rajasthan,2021-2022,1326
Tripura,2021-2022,766
Uttarakhand,2021-2022,875
Uttar Pradesh,2021-2022,944
West Bengal,2021-2022,769
India,2021-2022,899
