State,Year,Value
Haryana,1970-1971,417
Jammu & Kashmir,1970-1971,906
Maharashtra,1970-1971,277
Punjab,1970-1971,500
Rajasthan,1970-1971,260
Uttar Pradesh,1970-1971,250
India,1970-1971,267
Haryana,1971-1972,444
Jammu & Kashmir,1971-1972,754
Maharashtra,1971-1972,227
Punjab,1971-1972,500
Rajasthan,1971-1972,170
Uttar Pradesh,1971-1972,375
India,1971-1972,180
Haryana,1972-1973,400
Jammu & Kashmir,1972-1973,693
Maharashtra,1972-1973,197
Punjab,1972-1973,333
Rajasthan,1972-1973,51
Uttar Pradesh,1972-1973,500
India,1972-1973,64
Haryana,1973-1974,143
Maharashtra,1973-1974,264
Punjab,1973-1974,333
Rajasthan,1973-1974,248
Uttar Pradesh,1973-1974,250
India,1973-1974,249
Haryana,1974-1975,375
Jammu & Kashmir,1974-1975,738
Maharashtra,1974-1975,313
Punjab,1974-1975,500
Rajasthan,1974-1975,53
Uttar Pradesh,1974-1975,286
India,1974-1975,85
Haryana,1975-1976,700
Jammu & Kashmir,1975-1976,617
Maharashtra,1975-1976,331
Punjab,1975-1976,500
Rajasthan,1975-1976,205
Uttar Pradesh,1975-1976,286
India,1975-1976,223
Haryana,1976-1977,778
Jammu & Kashmir,1976-1977,547
Maharashtra,1976-1977,297
Punjab,1976-1977,1000
Rajasthan,1976-1977,237
Uttar Pradesh,1976-1977,286
India,1976-1977,247
Haryana,1977-1978,667
Jammu & Kashmir,1977-1978,670
Maharashtra,1977-1978,294
Rajasthan,1977-1978,243
Uttar Pradesh,1977-1978,333
India,1977-1978,250
Haryana,1978-1979,500
Jammu & Kashmir,1978-1979,971
Maharashtra,1978-1979,252
Punjab,1978-1979,1000
Rajasthan,1978-1979,127
Uttar Pradesh,1978-1979,200
India,1978-1979,149
Haryana,1979-1980,1000
Jammu & Kashmir,1979-1980,876
Maharashtra,1979-1980,252
Rajasthan,1979-1980,31
Uttar Pradesh,1979-1980,-
India,1979-1980,63
Haryana,1980-1981,1000
Jammu & Kashmir,1980-1981,1144
Maharashtra,1980-1981,188
Punjab,1980-1981,1000
Rajasthan,1980-1981,121
Uttar Pradesh,1980-1981,250
India,1980-1981,137
Haryana,1981-1982,500
Jammu & Kashmir,1981-1982,1151
Maharashtra,1981-1982,219
Punjab,1981-1982,-
