State,Year,Value
Andhra Pradesh,1970-1971,217
Bihar,1970-1971,486
Haryana,1970-1971,400
Himachal Pradesh,1970-1971,357
Jammu & Kashmir,1970-1971,389
Karnataka,1970-1971,194
Kerala,1970-1971,500
Madhya Pradesh,1970-1971,256
Maharashtra,1970-1971,254
Punjab,1970-1971,462
Rajasthan,1970-1971,509
Tamil Nadu,1970-1971,247
Uttar Pradesh,1970-1971,342
West Bengal,1970-1971,610
India,1970-1971,302
Andhra Pradesh,1971-1972,204
Bihar,1971-1972,223
Haryana,1971-1972,400
Himachal Pradesh,1971-1972,360
Jammu & Kashmir,1971-1972,400
Karnataka,1971-1972,207
Kerala,1971-1972,333
Madhya Pradesh,1971-1972,267
Maharashtra,1971-1972,224
Punjab,1971-1972,522
Rajasthan,1971-1972,434
Tamil Nadu,1971-1972,309
Uttar Pradesh,1971-1972,199
West Bengal,1971-1972,594
India,1971-1972,267
Andhra Pradesh,1972-1973,163
Bihar,1972-1973,370
Dadra & Nagar Haveli  ,1972-1973,500
Haryana,1972-1973,417
Himachal Pradesh,1972-1973,286
Jammu & Kashmir,1972-1973,450
Karnataka,1972-1973,471
Kerala,1972-1973,333
Madhya Pradesh,1972-1973,213
Maharashtra,1972-1973,210
Punjab,1972-1973,484
Rajasthan,1972-1973,393
Tamil Nadu,1972-1973,331
Uttar Pradesh,1972-1973,377
West Bengal,1972-1973,605
India,1972-1973,286
Andhra Pradesh,1973-1974,259
Bihar,1973-1974,519
Dadra & Nagar Haveli  ,1973-1974,500
Gujarat,1973-1974,-
Haryana,1973-1974,615
Himachal Pradesh,1973-1974,296
Jammu & Kashmir,1973-1974,833
Karnataka,1973-1974,27
Kerala,1973-1974,43333
Madhya Pradesh,1973-1974,238
Maharashtra,1973-1974,39
Punjab,1973-1974,615
Rajasthan,1973-1974,525
Tamil Nadu,1973-1974,392
Uttar Pradesh,1973-1974,165
West Bengal,1973-1974,0
India,1973-1974,307
Andhra Pradesh,1974-1975,208
Bihar,1974-1975,330
Dadra & Nagar Haveli  ,1974-1975,500
Haryana,1974-1975,364
Himachal Pradesh,1974-1975,333
Jammu & Kashmir,1974-1975,381
Karnataka,1974-1975,237
Kerala,1974-1975,333
Madhya Pradesh,1974-1975,229
Maharashtra,1974-1975,306
Punjab,1974-1975,462
Rajasthan,1974-1975,183
Tamil Nadu,1974-1975,271
Uttar Pradesh,1974-1975,384
West Bengal,1974-1975,593
India,1974-1975,289
Andhra Pradesh,1975-1976,167
Bihar,1975-1976,382
Dadra & Nagar Haveli  ,1975-1976,500
Haryana,1975-1976,625
Himachal Pradesh,1975-1976,346
Jammu & Kashmir,1975-1976,375
Karnataka,1975-1976,244
Kerala,1975-1976,333
Madhya Pradesh,1975-1976,301
Maharashtra,1975-1976,345
Punjab,1975-1976,417
Rajasthan,1975-1976,510
Tamil Nadu,1975-1976,228
Tripura,1975-1976,-
Uttar Pradesh,1975-1976,295
West Bengal,1975-1976,652
India,1975-1976,336
Andhra Pradesh,1976-1977,179
Bihar,1976-1977,380
Dadra & Nagar Haveli  ,1976-1977,500
Haryana,1976-1977,625
Himachal Pradesh,1976-1977,360
Jammu & Kashmir,1976-1977,389
Karnataka,1976-1977,216
Madhya Pradesh,1976-1977,251
Maharashtra,1976-1977,356
Punjab,1976-1977,444
Rajasthan,1976-1977,451
Tamil Nadu,1976-1977,350
Tripura,1976-1977,1000
Uttar Pradesh,1976-1977,291
West Bengal,1976-1977,627
India,1976-1977,325
Andhra Pradesh,1977-1978,279
Bihar,1977-1978,400
Dadra & Nagar Haveli  ,1977-1978,500
Haryana,1977-1978,600
Himachal Pradesh,1977-1978,300
Jammu & Kashmir,1977-1978,391
Karnataka,1977-1978,300
Kerala,1977-1978,333
Madhya Pradesh,1977-1978,282
Maharashtra,1977-1978,355
Rajasthan,1977-1978,481
Tamil Nadu,1977-1978,425
Tripura,1977-1978,-
Uttar Pradesh,1977-1978,372
West Bengal,1977-1978,667
India,1977-1978,350
Andhra Pradesh,1978-1979,167
Bihar,1978-1979,485
Dadra & Nagar Haveli  ,1978-1979,500
Haryana,1978-1979,625
Himachal Pradesh,1978-1979,375
Jammu & Kashmir,1978-1979,440
Karnataka,1978-1979,277
Kerala,1978-1979,667
Madhya Pradesh,1978-1979,235
Maharashtra,1978-1979,327
Punjab,1978-1979,455
Rajasthan,1978-1979,321
Tamil Nadu,1978-1979,389
Tripura,1978-1979,-
Uttar Pradesh,1978-1979,247
West Bengal,1978-1979,609
India,1978-1979,305
Andhra Pradesh,1979-1980,236
Bihar,1979-1980,354
Dadra & Nagar Haveli  ,1979-1980,500
Haryana,1979-1980,600
Himachal Pradesh,1979-1980,200
Jammu & Kashmir,1979-1980,381
Karnataka,1979-1980,241
Kerala,1979-1980,333
Madhya Pradesh,1979-1980,170
Maharashtra,1979-1980,327
Odisha,1979-1980,286
Punjab,1979-1980,350
Rajasthan,1979-1980,125
Tamil Nadu,1979-1980,326
Tripura,1979-1980,-
Uttar Pradesh,1979-1980,162
West Bengal,1979-1980,606
India,1979-1980,248
Andhra Pradesh,1980-1981,157
Bihar,1980-1981,467
Dadra & Nagar Haveli  ,1980-1981,500
Haryana,1980-1981,615
Himachal Pradesh,1980-1981,300
Jammu & Kashmir,1980-1981,435
Karnataka,1980-1981,308
Kerala,1980-1981,667
Madhya Pradesh,1980-1981,241
Maharashtra,1980-1981,224
Odisha,1980-1981,490
Punjab,1980-1981,429
Rajasthan,1980-1981,398
Tamil Nadu,1980-1981,268
Tripura,1980-1981,-
Uttar Pradesh,1980-1981,275
West Bengal,1980-1981,645
India,1980-1981,294
Andhra Pradesh,1980-1981,255
Bihar,1980-1981,484
Dadra & Nagar Haveli  ,1980-1981,500
Haryana,1980-1981,600
Himachal Pradesh,1980-1981,133
Jammu & Kashmir,1980-1981,333
Karnataka,1980-1981,280
Kerala,1980-1981,667
Madhya Pradesh,1980-1981,280
Maharashtra,1980-1981,345
Odisha,1980-1981,556
Punjab,1980-1981,389
Rajasthan,1980-1981,351
Tamil Nadu,1980-1981,295
Tripura,1980-1981,-
Uttar Pradesh,1980-1981,317
West Bengal,1980-1981,658
India,1980-1981,343
Andhra Pradesh,1981-1982,255
Bihar,1981-1982,484
Dadra & Nagar Haveli  ,1981-1982,500
Gujarat,1981-1982,600
Haryana,1981-1982,133
Himachal Pradesh,1981-1982,333
Jammu & Kashmir,1981-1982,280
Karnataka,1981-1982,667
Kerala,1981-1982,280
Madhya Pradesh,1981-1982,345
Maharashtra,1981-1982,556
Punjab,1981-1982,389
Rajasthan,1981-1982,351
Tamil Nadu,1981-1982,295
Tripura,1981-1982,-
Uttar Pradesh,1981-1982,317
West Bengal,1981-1982,658
India,1981-1982,343
Andhra Pradesh,1982-1983,295
Bihar,1982-1983,420
Dadra & Nagar Haveli  ,1982-1983,500
Gujarat,1982-1983,413
Haryana,1982-1983,625
Himachal Pradesh,1982-1983,167
Jammu & Kashmir,1982-1983,333
Karnataka,1982-1983,229
Kerala,1982-1983,667
Madhya Pradesh,1982-1983,248
Maharashtra,1982-1983,324
Odisha,1982-1983,553
Punjab,1982-1983,438
Rajasthan,1982-1983,336
Tamil Nadu,1982-1983,301
Tripura,1982-1983,-
Uttar Pradesh,1982-1983,255
West Bengal,1982-1983,543
India,1982-1983,322
Andhra Pradesh,1983-1984,255
Bihar,1983-1984,434
Dadra & Nagar Haveli  ,1983-1984,500
Gujarat,1983-1984,462
Haryana,1983-1984,667
Himachal Pradesh,1983-1984,300
Jammu & Kashmir,1983-1984,360
Karnataka,1983-1984,298
Kerala,1983-1984,667
Madhya Pradesh,1983-1984,311
Maharashtra,1983-1984,356
Odisha,1983-1984,538
Punjab,1983-1984,500
Rajasthan,1983-1984,558
Sikkim,1983-1984,750
Tamil Nadu,1983-1984,209
Tripura,1983-1984,-
Uttar Pradesh,1983-1984,234
West Bengal,1983-1984,564
India,1983-1984,356
Andhra Pradesh,1984-1985,209
Bihar,1984-1985,440
Dadra & Nagar Haveli  ,1984-1985,500
Gujarat,1984-1985,447
Haryana,1984-1985,800
Himachal Pradesh,1984-1985,174
Jammu & Kashmir,1984-1985,375
Karnataka,1984-1985,245
Kerala,1984-1985,500
Madhya Pradesh,1984-1985,271
Maharashtra,1984-1985,194
Odisha,1984-1985,590
Punjab,1984-1985,583
Rajasthan,1984-1985,481
Sikkim,1984-1985,1000
Tamil Nadu,1984-1985,311
Tripura,1984-1985,-
Uttar Pradesh,1984-1985,280
West Bengal,1984-1985,606
India,1984-1985,321
Andhra Pradesh,1985-1986,286
Bihar,1985-1986,455
Dadra & Nagar Haveli  ,1985-1986,1000
Gujarat,1985-1986,272
Haryana,1985-1986,750
Himachal Pradesh,1985-1986,190
Jammu & Kashmir,1985-1986,348
Karnataka,1985-1986,439
Kerala,1985-1986,1000
Madhya Pradesh,1985-1986,223
Maharashtra,1985-1986,388
Odisha,1985-1986,538
Punjab,1985-1986,615
Rajasthan,1985-1986,111
Sikkim,1985-1986,1000
Tamil Nadu,1985-1986,377
Tripura,1985-1986,-
Uttar Pradesh,1985-1986,244
West Bengal,1985-1986,667
India,1985-1986,323
Andhra Pradesh,1986-1987,476
Bihar,1986-1987,525
Dadra & Nagar Haveli  ,1986-1987,700
Gujarat,1986-1987,414
Haryana,1986-1987,655
Himachal Pradesh,1986-1987,159
Jammu & Kashmir,1986-1987,305
Karnataka,1986-1987,224
Kerala,1986-1987,818
Madhya Pradesh,1986-1987,229
Maharashtra,1986-1987,327
Odisha,1986-1987,551
Punjab,1986-1987,583
Rajasthan,1986-1987,113
Sikkim,1986-1987,977
Tamil Nadu,1986-1987,337
Tripura,1986-1987,500
Uttar Pradesh,1986-1987,256
West Bengal,1986-1987,487
India,1986-1987,311
Andhra Pradesh,1987-1988,551
Bihar,1987-1988,447
Dadra & Nagar Haveli  ,1987-1988,700
Gujarat,1987-1988,197
Haryana,1987-1988,394
Himachal Pradesh,1987-1988,82
Jammu & Kashmir,1987-1988,169
Karnataka,1987-1988,395
Kerala,1987-1988,842
Madhya Pradesh,1987-1988,212
Maharashtra,1987-1988,454
Odisha,1987-1988,435
Punjab,1987-1988,484
Rajasthan,1987-1988,131
Sikkim,1987-1988,250
Tamil Nadu,1987-1988,778
Tripura,1987-1988,429
Uttar Pradesh,1987-1988,296
West Bengal,1987-1988,557
India,1987-1988,355
Andhra Pradesh,1988-1989,474
Bihar,1988-1989,519
Dadra & Nagar Haveli  ,1988-1989,500
Gujarat,1988-1989,626
Haryana,1988-1989,500
Himachal Pradesh,1988-1989,100
Karnataka,1988-1989,319
Kerala,1988-1989,1000
Madhya Pradesh,1988-1989,307
Maharashtra,1988-1989,419
Odisha,1988-1989,516
Punjab,1988-1989,455
Rajasthan,1988-1989,486
Sikkim,1988-1989,286
Tamil Nadu,1988-1989,414
Tripura,1988-1989,1000
Uttar Pradesh,1988-1989,341
West Bengal,1988-1989,450
India,1988-1989,405
Andhra Pradesh,1989-1990,419
Bihar,1989-1990,598
Dadra & Nagar Haveli  ,1989-1990,500
Gujarat,1989-1990,586
Haryana,1989-1990,500
Himachal Pradesh,1989-1990,211
Jammu & Kashmir,1989-1990,316
Karnataka,1989-1990,292
Kerala,1989-1990,500
Madhya Pradesh,1989-1990,280
Maharashtra,1989-1990,450
Odisha,1989-1990,610
Punjab,1989-1990,429
Rajasthan,1989-1990,362
