State,Year,Value
Andhra Pradesh,1970-1971,-
Assam,1970-1971,340
Chandigarh,1970-1971,-
Karnataka,1970-1971,167
Madhya Pradesh,1970-1971,224
Maharashtra,1970-1971,211
Tripura,1970-1971,-
West Bengal,1970-1971,358
India,1970-1971,365
Andhra Pradesh,1971-1972,500
Assam,1971-1972,314
Delhi,1971-1972,-
Gujarat,1971-1972,-
Haryana,1971-1972,-
Karnataka,1971-1972,-
Madhya Pradesh,1971-1972,-
Maharashtra,1971-1972,-
Meghalaya,1971-1972,-
Nagaland,1971-1972,-
West Bengal,1971-1972,-
India,1971-1972,344
Andhra Pradesh,1972-1973,541
Assam,1972-1973,-
Gujarat,1972-1973,-
Haryana,1972-1973,-
Karnataka,1972-1973,-
Madhya Pradesh,1972-1973,-
Maharashtra,1972-1973,-
West Bengal,1972-1973,-
India,1972-1973,398
Andhra Pradesh,1973-1974,429
Assam,1973-1974,490
Gujarat,1973-1974,-
Haryana,1973-1974,-
Karnataka,1973-1974,-
Madhya Pradesh,1973-1974,-
Maharashtra,1973-1974,-
Meghalaya,1973-1974,-
Nagaland,1973-1974,-
West Bengal,1973-1974,-
India,1973-1974,338
Andhra Pradesh,1974-1975,528
Assam,1974-1975,375
Karnataka,1974-1975,167
Madhya Pradesh,1974-1975,227
Maharashtra,1974-1975,270
Puducherry,1974-1975,667
Tripura,1974-1975,-
West Bengal,1974-1975,362
India,1974-1975,396
Andhra Pradesh,1975-1976,527
Assam,1975-1976,326
Karnataka,1975-1976,167
Madhya Pradesh,1975-1976,208
Maharashtra,1975-1976,324
Puducherry,1975-1976,667
Tripura,1975-1976,-
West Bengal,1975-1976,430
India,1975-1976,405
Andhra Pradesh,1976-1977,423
Assam,1976-1977,347
Karnataka,1976-1977,167
Madhya Pradesh,1976-1977,167
Maharashtra,1976-1977,270
Puducherry,1976-1977,667
Tripura,1976-1977,-
West Bengal,1976-1977,472
India,1976-1977,374
Andhra Pradesh,1977-1978,348
Assam,1977-1978,313
Karnataka,1977-1978,143
Madhya Pradesh,1977-1978,176
Maharashtra,1977-1978,211
Puducherry,1977-1978,500
West Bengal,1977-1978,397
India,1977-1978,319
Andhra Pradesh,1978-1979,503
Assam,1978-1979,375
Karnataka,1978-1979,143
Madhya Pradesh,1978-1979,152
Maharashtra,1978-1979,243
Puducherry,1978-1979,500
West Bengal,1978-1979,363
India,1978-1979,377
Andhra Pradesh,1979-1980,418
Assam,1979-1980,326
Karnataka,1979-1980,167
Madhya Pradesh,1979-1980,128
Maharashtra,1979-1980,292
Odisha,1979-1980,341
Puducherry,1979-1980,500
West Bengal,1979-1980,454
India,1979-1980,363
Andhra Pradesh,1980-1981,547
Assam,1980-1981,383
Karnataka,1980-1981,333
Madhya Pradesh,1980-1981,181
Maharashtra,1980-1981,211
Odisha,1980-1981,539
Puducherry,1980-1981,500
West Bengal,1980-1981,427
India,1980-1981,462
Andhra Pradesh,1980-1981,453
Karnataka,1980-1981,429
Madhya Pradesh,1980-1981,147
Maharashtra,1980-1981,212
Odisha,1980-1981,539
Puducherry,1980-1981,500
West Bengal,1980-1981,381
India,1980-1981,421
Andhra Pradesh,1981-1982,453
Jammu & Kashmir,1981-1982,429
Kerala,1981-1982,147
Madhya Pradesh,1981-1982,212
Maharashtra,1981-1982,539
Odisha,1981-1982,500
West Bengal,1981-1982,381
India,1981-1982,421
Andhra Pradesh,1982-1983,651
Karnataka,1982-1983,500
Madhya Pradesh,1982-1983,163
Maharashtra,1982-1983,182
Odisha,1982-1983,545
West Bengal,1982-1983,373
India,1982-1983,479
Andhra Pradesh,1983-1984,678
Karnataka,1983-1984,375
Madhya Pradesh,1983-1984,170
Maharashtra,1983-1984,242
Odisha,1983-1984,640
Puducherry,1983-1984,1000
Tripura,1983-1984,-
West Bengal,1983-1984,493
India,1983-1984,538
Andhra Pradesh,1984-1985,933
Karnataka,1984-1985,412
Madhya Pradesh,1984-1985,170
Maharashtra,1984-1985,300
Odisha,1984-1985,715
Puducherry,1984-1985,333
Tripura,1984-1985,-
West Bengal,1984-1985,396
India,1984-1985,660
Andhra Pradesh,1985-1986,802
Karnataka,1985-1986,563
Madhya Pradesh,1985-1986,163
Maharashtra,1985-1986,286
Odisha,1985-1986,627
Puducherry,1985-1986,500
West Bengal,1985-1986,442
India,1985-1986,605
Andhra Pradesh,1986-1987,883
Karnataka,1986-1987,450
Madhya Pradesh,1986-1987,150
Maharashtra,1986-1987,256
Odisha,1986-1987,561
Puducherry,1986-1987,650
West Bengal,1986-1987,404
India,1986-1987,626
Andhra Pradesh,1987-1988,807
Karnataka,1987-1988,385
Madhya Pradesh,1987-1988,180
Maharashtra,1987-1988,281
Odisha,1987-1988,517
Puducherry,1987-1988,846
Tripura,1987-1988,500
Uttar Pradesh,1987-1988,587
West Bengal,1987-1988,589
India,1987-1988,609
Andhra Pradesh,1988-1989,1000
Karnataka,1988-1989,133
Madhya Pradesh,1988-1989,184
Maharashtra,1988-1989,448
Odisha,1988-1989,578
Puducherry,1988-1989,1000
Tripura,1988-1989,0
Uttar Pradesh,1988-1989,475
West Bengal,1988-1989,620
India,1988-1989,722
Andhra Pradesh,1989-1990,812
Karnataka,1989-1990,333
Madhya Pradesh,1989-1990,182
Maharashtra,1989-1990,429
Odisha,1989-1990,525
Puducherry,1989-1990,1000
Tripura,1989-1990,0
Uttar Pradesh,1989-1990,484
West Bengal,1989-1990,620
India,1989-1990,642
Andhra Pradesh,1989-1990,763
Bihar,1989-1990,598
Dadra & Nagar Haveli  ,1989-1990,500
Gujarat,1989-1990,586
Haryana,1989-1990,500
Himachal Pradesh,1989-1990,211
Jammu & Kashmir,1989-1990,316
Karnataka,1989-1990,299
Kerala,1989-1990,500
Madhya Pradesh,1989-1990,275
Maharashtra,1989-1990,451
Odisha,1989-1990,557
Puducherry,1989-1990,1000
Punjab,1989-1990,429
Rajasthan,1989-1990,362
Sikkim,1989-1990,778
Tamil Nadu,1989-1990,370
Tripura,1989-1990,500
Uttar Pradesh,1989-1990,338
West Bengal,1989-1990,627
India,1989-1990,467
Andhra Pradesh,1990-1991,713
Karnataka,1990-1991,333
Madhya Pradesh,1990-1991,231
Maharashtra,1990-1991,438
Odisha,1990-1991,579
Puducherry,1990-1991,667
Tripura,1990-1991,0
Uttar Pradesh,1990-1991,463
West Bengal,1990-1991,642
India,1990-1991,619
Andhra Pradesh,1990-1991,678
Bihar,1990-1991,667
Delhi,1990-1991,-
Gujarat,1990-1991,500
Haryana,1990-1991,0
Himachal Pradesh,1990-1991,250
Jammu & Kashmir,1990-1991,316
Karnataka,1990-1991,260
Kerala,1990-1991,500
Madhya Pradesh,1990-1991,285
Maharashtra,1990-1991,494
Odisha,1990-1991,580
Puducherry,1990-1991,667
Punjab,1990-1991,375
Rajasthan,1990-1991,359
Sikkim,1990-1991,750
Tamil Nadu,1990-1991,411
Tripura,1990-1991,500
Uttar Pradesh,1990-1991,364
West Bengal,1990-1991,591
India,1990-1991,473
Andhra Pradesh,1991-1992,635
Assam,1991-1992,429
Karnataka,1991-1992,375
Madhya Pradesh,1991-1992,290
Maharashtra,1991-1992,222
Odisha,1991-1992,580
Puducherry,1991-1992,1000
Sikkim,1991-1992,800
Tripura,1991-1992,0
Uttar Pradesh,1991-1992,594
West Bengal,1991-1992,653
India,1991-1992,591
Andhra Pradesh,1992-1993,684
Assam,1992-1993,436
Karnataka,1992-1993,352
Madhya Pradesh,1992-1993,270
Maharashtra,1992-1993,254
Odisha,1992-1993,379
Puducherry,1992-1993,520
Sikkim,1992-1993,750
Tripura,1992-1993,429
Uttar Pradesh,1992-1993,453
West Bengal,1992-1993,678
India,1992-1993,612
Andhra Pradesh,1993-1994,504
Assam,1993-1994,534
Karnataka,1993-1994,460
Madhya Pradesh,1993-1994,275
Maharashtra,1993-1994,433
Odisha,1993-1994,205
Puducherry,1993-1994,700
Sikkim,1993-1994,765
Tamil Nadu,1993-1994,419
Tripura,1993-1994,400
Uttar Pradesh,1993-1994,451
West Bengal,1993-1994,644
India,1993-1994,486
Andhra Pradesh,1994-1995,487
Assam,1994-1995,531
Karnataka,1994-1995,293
Madhya Pradesh,1994-1995,241
Maharashtra,1994-1995,420
Odisha,1994-1995,250
Puducherry,1994-1995,704
Sikkim,1994-1995,775
Tamil Nadu,1994-1995,523
Tripura,1994-1995,400
Uttar Pradesh,1994-1995,426
West Bengal,1994-1995,527
India,1994-1995,479
Andhra Pradesh,1995-1996,658
Assam,1995-1996,451
Karnataka,1995-1996,321
Madhya Pradesh,1995-1996,269
Maharashtra,1995-1996,504
Odisha,1995-1996,348
