State,Year,Value
Andhra Pradesh,1970-1971,474
Assam,1970-1971,340
Bihar,1970-1971,486
Haryana,1970-1971,400
Himachal Pradesh,1970-1971,357
Jammu & Kashmir,1970-1971,389
Karnataka,1970-1971,206
Kerala,1970-1971,500
Madhya Pradesh,1970-1971,248
Maharashtra,1970-1971,249
Punjab,1970-1971,462
Rajasthan,1970-1971,509
Tamil Nadu,1970-1971,247
Tripura,1970-1971,-
Uttar Pradesh,1970-1971,342
West Bengal,1970-1971,423
India,1970-1971,317
Andhra Pradesh,1971-1972,409
Assam,1971-1972,314
Bihar,1971-1972,223
Haryana,1971-1972,400
Himachal Pradesh,1971-1972,360
Jammu & Kashmir,1971-1972,400
Karnataka,1971-1972,206
Kerala,1971-1972,333
Madhya Pradesh,1971-1972,259
Maharashtra,1971-1972,222
Punjab,1971-1972,522
Rajasthan,1971-1972,434
Tamil Nadu,1971-1972,309
Tripura,1971-1972,-
Uttar Pradesh,1971-1972,199
West Bengal,1971-1972,429
India,1971-1972,286
Andhra Pradesh,1972-1973,440
Assam,1972-1973,520
Bihar,1972-1973,370
Dadra & Nagar Haveli  ,1972-1973,500
Haryana,1972-1973,417
Himachal Pradesh,1972-1973,286
Jammu & Kashmir,1972-1973,450
Karnataka,1972-1973,419
Kerala,1972-1973,333
Madhya Pradesh,1972-1973,213
Maharashtra,1972-1973,209
Punjab,1972-1973,484
Rajasthan,1972-1973,393
Tamil Nadu,1972-1973,331
Tripura,1972-1973,-
Uttar Pradesh,1972-1973,377
West Bengal,1972-1973,482
India,1972-1973,313
Andhra Pradesh,1973-1974,392
Assam,1973-1974,490
Bihar,1973-1974,519
Dadra & Nagar Haveli  ,1973-1974,500
Haryana,1973-1974,385
Himachal Pradesh,1973-1974,296
Jammu & Kashmir,1973-1974,333
Karnataka,1973-1974,477
Kerala,1973-1974,333
Madhya Pradesh,1973-1974,220
Maharashtra,1973-1974,278
Punjab,1973-1974,487
Rajasthan,1973-1974,242
Tamil Nadu,1973-1974,329
Uttar Pradesh,1973-1974,378
West Bengal,1973-1974,394
India,1973-1974,314
Andhra Pradesh,1974-1975,448
Assam,1974-1975,375
Bihar,1974-1975,330
Dadra & Nagar Haveli  ,1974-1975,500
Haryana,1974-1975,364
Himachal Pradesh,1974-1975,333
Jammu & Kashmir,1974-1975,381
Karnataka,1974-1975,227
Kerala,1974-1975,333
Madhya Pradesh,1974-1975,227
Maharashtra,1974-1975,301
Puducherry,1974-1975,667
Punjab,1974-1975,462
Rajasthan,1974-1975,183
Tamil Nadu,1974-1975,271
Tripura,1974-1975,-
Uttar Pradesh,1974-1975,387
West Bengal,1974-1975,429
India,1974-1975,309
Andhra Pradesh,1975-1976,447
Assam,1975-1976,326
Bihar,1975-1976,382
Dadra & Nagar Haveli  ,1975-1976,500
Haryana,1975-1976,625
Himachal Pradesh,1975-1976,346
Jammu & Kashmir,1975-1976,375
Karnataka,1975-1976,234
Kerala,1975-1976,333
Madhya Pradesh,1975-1976,291
Maharashtra,1975-1976,343
Puducherry,1975-1976,667
Punjab,1975-1976,417
Rajasthan,1975-1976,510
Tamil Nadu,1975-1976,228
Tripura,1975-1976,500
Uttar Pradesh,1975-1976,295
West Bengal,1975-1976,474
India,1975-1976,350
Andhra Pradesh,1976-1977,367
Assam,1976-1977,347
Bihar,1976-1977,380
Dadra & Nagar Haveli  ,1976-1977,500
Haryana,1976-1977,625
Himachal Pradesh,1976-1977,360
Jammu & Kashmir,1976-1977,389
Karnataka,1976-1977,186
Madhya Pradesh,1976-1977,244
Maharashtra,1976-1977,349
Puducherry,1976-1977,667
Punjab,1976-1977,444
Rajasthan,1976-1977,451
Tamil Nadu,1976-1977,350
Tripura,1976-1977,500
Uttar Pradesh,1976-1977,291
